"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","35-181","TOR","","IND",7,1,"17:29",0,0,NA,0,0,NA,0,0,NA,2,6,8,0,1,0,4,1,0,-0.2,1,10
2,2,"2015-10-30","35-183","TOR","@","BOS",10,1,"22:26",4,9,0.444,1,1,1,0,0,NA,3,6,9,1,1,0,2,2,9,7.1,11,23.3
3,3,"2015-11-01","35-185","TOR","","MIL",19,1,"21:29",3,9,0.333,0,0,NA,1,2,0.5,3,4,7,1,0,1,0,2,7,5.4,6,19.3
4,4,"2015-11-03","35-187","TOR","@","DAL",11,1,"31:19",9,13,0.692,1,2,0.5,0,0,NA,2,10,12,1,2,0,0,2,19,19.8,15,41.5
5,5,"2015-11-04","35-188","TOR","@","OKC",5,1,"19:01",1,6,0.167,0,0,NA,0,0,NA,0,5,5,1,1,0,0,0,2,1.4,-11,11.8
6,6,"2015-11-06","35-190","TOR","@","ORL",-5,1,"21:04",3,11,0.273,1,1,1,0,0,NA,3,3,6,4,1,0,2,1,7,4.9,3,22
7,7,"2015-11-08","35-192","TOR","@","MIA",-20,1,"22:17",3,5,0.6,1,2,0.5,0,0,NA,0,4,4,1,0,1,1,3,7,5.1,-3,15.5
8,8,"2015-11-10","35-194","TOR","","NYK",-2,1,"21:39",3,10,0.3,0,2,0,5,6,0.833,2,5,7,1,1,0,0,0,11,9.4,-1,23.3
9,9,"2015-11-11","35-195","TOR","@","PHI",16,1,"18:33",10,15,0.667,1,2,0.5,0,0,NA,2,3,5,1,1,1,1,4,21,16.6,20,32.8
10,10,"2015-11-13","35-197","TOR","","NOP",19,1,"21:44",4,8,0.5,1,1,1,0,0,NA,1,2,3,0,0,0,0,2,9,5.5,12,13.3
11,11,"2015-11-15","35-199","TOR","@","SAC",-6,1,"20:02",1,5,0.2,1,2,0.5,0,0,NA,2,2,4,0,1,0,0,4,3,1.3,-4,10.5
12,12,"2015-11-17","35-201","TOR","@","GSW",-5,1,"27:48",3,7,0.429,0,2,0,0,2,0,1,4,5,0,1,0,2,5,6,0.4,-7,13.3
13,13,"2015-11-18","35-202","TOR","@","UTA",-4,1,"29:50",10,15,0.667,2,2,1,0,0,NA,2,3,5,1,0,0,0,5,22,16.5,-7,30.8
14,14,"2015-11-20","35-204","TOR","@","LAL",11,1,"24:49",5,11,0.455,1,3,0.333,0,0,NA,1,4,5,1,0,1,2,3,11,5.4,-13,20.3
15,15,"2015-11-22","35-206","TOR","@","LAC",11,1,"31:01",8,16,0.5,1,3,0.333,3,3,1,2,6,8,1,0,0,2,3,20,12.7,3,31
16,16,"2015-11-25","35-209","TOR","","CLE",4,1,"29:58",7,11,0.636,1,1,1,0,0,NA,1,6,7,0,1,0,0,1,15,13.2,-3,26.3
17,17,"2015-11-28","35-212","TOR","@","WAS",2,1,"25:52",3,6,0.5,0,1,0,0,0,NA,2,4,6,0,0,0,2,3,6,2.4,-9,12.5
18,18,"2015-11-29","35-213","TOR","","PHO",-5,1,"17:40",2,5,0.4,2,3,0.667,3,4,0.75,0,4,4,1,0,0,0,0,9,7.8,2,16.5
19,19,"2015-12-02","35-216","TOR","@","ATL",10,1,"19:46",3,8,0.375,0,2,0,2,2,1,0,9,9,0,1,0,1,2,8,5.5,-9,20.8
20,20,"2015-12-03","35-217","TOR","","DEN",-1,1,"21:31",3,8,0.375,0,2,0,2,2,1,1,0,1,1,1,0,0,3,8,4.8,10,12.8
21,21,"2015-12-05","35-219","TOR","","GSW",-3,1,"20:26",2,9,0.222,0,0,NA,6,6,1,2,2,4,2,0,0,0,5,10,5.9,8,18
22,22,"2015-12-07","35-221","TOR","","LAL",9,1,"16:32",0,3,0,0,0,NA,2,2,1,0,1,1,2,1,0,2,3,2,-0.6,-9,7.3
23,23,"2015-12-09","35-223","TOR","","SAS",3,1,"33:27",8,14,0.571,0,1,0,0,1,0,1,7,8,1,1,0,2,4,16,9.9,16,28.5
24,24,"2015-12-11","35-225","TOR","","MIL",7,1,"29:56",6,11,0.545,0,1,0,0,0,NA,4,4,8,2,0,1,2,3,12,9.6,-12,26
25,25,"2015-12-13","35-227","TOR","","PHI",20,1,"27:09",10,14,0.714,2,4,0.5,0,0,NA,1,4,5,0,2,0,2,3,22,16.9,16,32.3
26,26,"2015-12-14","35-228","TOR","@","IND",-16,1,"18:27",2,7,0.286,0,0,NA,0,0,NA,1,4,5,0,2,0,0,1,4,3.4,-12,14.3
