"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","27-103","ATL","","DET",-12,0,"5:29",2,4,0.5,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,4,2.3,1,5.3
2,2,"2015-10-29","27-105","ATL","@","NYK",11,0,"11:10",1,4,0.25,0,1,0,0,0,NA,0,1,1,1,0,0,0,2,2,-0.2,-3,4.8
3,3,"2015-10-30","27-106","ATL","","CHO",3,0,"13:02",0,3,0,0,0,NA,0,0,NA,1,2,3,3,0,0,0,2,0,0.5,-4,8.3
4,4,"2015-11-01","27-108","ATL","@","CHO",2,0,"13:04",0,3,0,0,2,0,0,0,NA,0,3,3,2,0,0,0,1,0,-0.2,5,6.8
5,5,"2015-11-03","27-110","ATL","@","MIA",6,0,"12:01",2,5,0.4,1,2,0.5,2,2,1,1,2,3,0,0,0,0,1,7,5.2,6,11.3
6,6,"2015-11-04","27-111","ATL","","BRK",14,0,"14:05",1,3,0.333,0,0,NA,2,2,1,0,0,0,1,0,0,0,1,4,2.6,0,5.5
7,7,"2015-11-06","27-113","ATL","@","NOP",6,0,"13:47",3,5,0.6,1,3,0.333,2,2,1,1,1,2,1,0,0,2,1,9,6,6,12.5
8,8,"2015-11-07","27-114","ATL","","WAS",15,0,"14:00",3,3,1,0,0,NA,2,2,1,2,2,4,2,0,0,2,1,8,8.1,-2,15
9,9,"2015-11-09","27-116","ATL","","MIN",-10,0,"11:20",3,4,0.75,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,7,5.7,-22,8.8
10,10,"2015-11-11","27-118","ATL","","NOP",8,0,"5:32",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
11,11,"2015-11-13","27-120","ATL","@","BOS",-13,0,"11:39",1,4,0.25,0,1,0,0,0,NA,0,1,1,1,1,0,0,1,2,1.2,-7,6.8
13,12,"2015-11-17","27-124","ATL","@","BRK",-2,0,"13:13",2,6,0.333,0,2,0,2,3,0.667,1,3,4,2,0,1,1,1,6,4.5,14,15.5
15,13,"2015-11-21","27-128","ATL","@","CLE",-12,0,"3:09",1,1,1,0,0,NA,0,0,NA,0,1,1,1,1,0,0,1,2,3.3,7,6.8
16,14,"2015-11-24","27-131","ATL","","BOS",24,0,"17:56",6,8,0.75,2,3,0.667,1,1,1,0,1,1,1,0,0,3,3,15,8.6,14,17.3
17,15,"2015-11-25","27-132","ATL","@","MIN",-4,0,"13:06",1,5,0.2,0,3,0,1,2,0.5,0,0,0,1,0,1,0,0,3,0.9,-9,6.5
18,16,"2015-11-27","27-134","ATL","@","MEM",15,0,"7:56",1,3,0.333,0,0,NA,0,0,NA,1,2,3,1,0,0,1,1,2,0.9,-7,6.8
19,17,"2015-11-28","27-135","ATL","@","SAS",-20,0,"14:09",5,9,0.556,2,3,0.667,0,0,NA,1,1,2,3,0,1,0,0,12,11.5,6,22
20,18,"2015-11-30","27-137","ATL","","OKC",6,0,"9:15",1,2,0.5,0,1,0,3,4,0.75,1,1,2,1,0,0,0,0,5,5.3,1,9
21,19,"2015-12-02","27-139","ATL","","TOR",-10,0,"11:05",2,6,0.333,1,2,0.5,0,0,NA,1,3,4,0,0,0,3,0,5,0.2,1,9
