"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","31-178","ATL","","DET",-12,0,"18:56",1,3,0.333,0,1,0,0,0,NA,1,6,7,3,4,0,0,1,2,8.5,-1,23.3
3,2,"2015-10-30","31-181","ATL","","CHO",3,0,"20:55",2,4,0.5,0,0,NA,0,2,0,1,5,6,3,2,0,1,1,4,6.1,12,19.5
4,3,"2015-11-01","31-183","ATL","@","CHO",2,0,"17:36",2,5,0.4,1,1,1,0,0,NA,2,2,4,0,2,0,3,1,5,2.9,0,13
6,4,"2015-11-04","31-186","ATL","","BRK",14,0,"21:40",2,4,0.5,1,2,0.5,1,2,0.5,0,3,3,2,1,1,0,0,6,7.6,10,17.3
8,5,"2015-11-07","31-189","ATL","","WAS",15,0,"20:24",4,5,0.8,0,0,NA,2,2,1,1,4,5,0,2,1,2,2,10,9.9,9,21.3
9,6,"2015-11-09","31-191","ATL","","MIN",-10,0,"16:44",4,5,0.8,2,3,0.667,0,0,NA,0,1,1,1,2,0,0,1,10,10.7,-6,17.8
10,7,"2015-11-11","31-193","ATL","","NOP",8,0,"24:13",2,3,0.667,1,1,1,2,4,0.5,2,3,5,2,1,1,1,0,7,9.3,-7,20.3
11,8,"2015-11-13","31-195","ATL","@","BOS",-13,0,"21:24",5,8,0.625,0,0,NA,0,0,NA,1,4,5,0,1,0,0,0,10,9.3,5,18.3
12,9,"2015-11-15","31-197","ATL","","UTA",-1,0,"23:04",2,6,0.333,1,3,0.333,0,0,NA,1,5,6,0,1,2,3,2,5,2.4,-5,17.5
13,10,"2015-11-17","31-199","ATL","@","BRK",-2,0,"29:49",3,9,0.333,1,5,0.2,1,2,0.5,0,7,7,1,0,1,1,1,8,4.6,-8,20.3
14,11,"2015-11-18","31-200","ATL","","SAC",6,0,"21:19",0,2,0,0,1,0,3,4,0.75,1,2,3,2,2,0,1,1,3,4.5,2,13.3
15,12,"2015-11-21","31-203","ATL","@","CLE",-12,1,"29:44",6,12,0.5,1,3,0.333,0,0,NA,1,4,5,1,1,0,0,2,13,9.8,-6,23.3
16,13,"2015-11-24","31-206","ATL","","BOS",24,1,"26:07",7,8,0.875,0,0,NA,1,1,1,1,6,7,3,3,3,1,3,15,19.7,17,39.8
17,14,"2015-11-25","31-207","ATL","@","MIN",-4,1,"31:31",4,4,1,2,2,1,0,0,NA,0,6,6,0,0,1,1,2,10,9.5,-10,20
19,15,"2015-11-28","31-210","ATL","@","SAS",-20,1,"24:42",3,5,0.6,1,3,0.333,1,2,0.5,0,4,4,0,1,0,2,4,8,3.9,-26,14.5
20,16,"2015-11-30","31-212","ATL","","OKC",6,1,"38:32",0,5,0,0,2,0,0,0,NA,0,8,8,6,4,0,1,3,0,4.9,2,26.5
21,17,"2015-12-02","31-214","ATL","","TOR",-10,1,"33:19",6,12,0.5,1,5,0.2,0,0,NA,1,4,5,1,2,2,0,0,13,13,-1,29.3
22,18,"2015-12-04","31-216","ATL","","LAL",13,1,"31:43",3,7,0.429,2,4,0.5,0,0,NA,2,3,5,1,1,1,3,1,8,5.6,3,19.3
23,19,"2015-12-09","31-221","ATL","@","DAL",3,1,"25:37",3,6,0.5,1,1,1,0,0,NA,0,6,6,2,0,1,0,1,7,7.5,-8,20
24,20,"2015-12-10","31-222","ATL","@","OKC",-13,1,"34:51",5,8,0.625,0,2,0,1,4,0.25,1,2,3,1,4,0,2,1,11,9.8,-3,23.3
25,21,"2015-12-12","31-224","ATL","","SAS",-25,1,"19:52",2,6,0.333,1,2,0.5,0,0,NA,1,0,1,2,0,1,1,1,5,3,-20,11.3
26,22,"2015-12-14","31-226","ATL","","MIA",-12,0,"9:24",0,3,0,0,3,0,0,0,NA,0,1,1,0,0,0,4,1,0,-6.2,-7,-0.8
