"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-200","WAS","@","ORL",1,0,"14:04",0,2,0,0,0,NA,4,6,0.667,0,3,3,2,1,0,0,1,4,4.7,-19,12.8
2,2,"2015-10-30","29-202","WAS","@","MIL",5,0,"26:14",8,12,0.667,2,3,0.667,5,6,0.833,0,0,0,0,2,0,2,2,23,16.6,16,27
3,3,"2015-10-31","29-203","WAS","","NYK",-7,0,"12:15",1,4,0.25,0,2,0,5,5,1,1,1,2,3,0,0,1,1,7,6.3,2,13.5
4,4,"2015-11-04","29-207","WAS","","SAS",3,0,"16:13",1,5,0.2,1,1,1,2,2,1,0,2,2,3,2,0,1,0,5,5.6,-10,16
5,5,"2015-11-06","29-209","WAS","@","BOS",-20,0,"19:32",1,8,0.125,0,0,NA,4,4,1,1,2,3,2,2,0,1,2,6,3.7,-24,16.3
6,6,"2015-11-07","29-210","WAS","@","ATL",-15,0,"14:34",2,2,1,0,0,NA,0,0,NA,1,1,2,1,1,0,1,1,4,4.7,-7,9.5
7,7,"2015-11-10","29-213","WAS","","OKC",-24,0,"22:46",6,9,0.667,1,2,0.5,2,5,0.4,0,2,2,5,1,1,2,2,15,12.9,-3,28.5
8,8,"2015-11-14","29-217","WAS","","ORL",9,0,"13:55",2,5,0.4,0,0,NA,1,3,0.333,0,4,4,5,0,0,3,1,5,2.8,0,16
9,9,"2015-11-17","29-220","WAS","","MIL",29,0,"19:50",2,5,0.4,0,0,NA,3,4,0.75,0,0,0,1,1,0,1,3,7,3.4,-4,10
10,10,"2015-11-21","29-224","WAS","@","DET",2,0,"20:56",2,5,0.4,2,3,0.667,8,10,0.8,0,4,4,9,1,0,0,4,14,17.4,22,35.5
11,11,"2015-11-24","29-227","WAS","","IND",-17,0,"17:28",4,5,0.8,1,1,1,1,2,0.5,0,1,1,3,2,0,3,2,10,8.3,7,18.8
12,12,"2015-11-25","29-228","WAS","@","CHO",-14,0,"12:27",0,5,0,0,2,0,0,0,NA,0,2,2,0,1,0,1,2,0,-3.7,-12,4
13,13,"2015-11-27","29-230","WAS","@","BOS",-33,0,"24:16",3,8,0.375,1,3,0.333,2,2,1,0,1,1,3,1,0,1,1,9,6.6,-7,16.8
14,14,"2015-11-28","29-231","WAS","","TOR",-2,0,"24:51",0,7,0,0,3,0,3,4,0.75,1,6,7,2,0,0,0,2,3,0.8,-6,14.8
15,15,"2015-12-01","29-234","WAS","@","CLE",12,0,"14:06",1,3,0.333,0,1,0,2,2,1,0,1,1,2,0,0,0,1,4,3.6,-6,8.3
16,16,"2015-12-02","29-235","WAS","","LAL",-4,0,"11:45",2,5,0.4,0,0,NA,0,0,NA,0,1,1,1,2,0,1,0,4,3.3,-11,10.3
