"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
22,1,"2015-12-11","25-168","CLE","@","ORL",35,0,"24:36",5,7,0.714,2,3,0.667,2,3,0.667,0,3,3,0,0,0,0,2,14,10.8,19,18.8
23,2,"2015-12-15","25-172","CLE","@","BOS",12,0,"13:32",2,4,0.5,2,3,0.667,0,0,NA,0,1,1,1,0,1,1,1,6,4.3,4,11.3
25,3,"2015-12-20","25-177","CLE","","PHI",22,0,"15:40",1,5,0.2,0,1,0,1,2,0.5,0,2,2,4,1,0,0,0,3,3.9,3,13.5
26,4,"2015-12-23","25-180","CLE","","NYK",7,0,"26:30",2,7,0.286,2,5,0.4,2,2,1,1,3,4,1,1,2,0,2,8,7.8,15,21.5
27,5,"2015-12-25","25-182","CLE","@","GSW",-6,0,"29:21",0,6,0,0,3,0,0,0,NA,1,3,4,1,1,0,0,4,0,-2.5,-5,8.5
28,6,"2015-12-26","25-183","CLE","@","POR",-29,0,"24:57",2,8,0.25,1,4,0.25,0,0,NA,0,4,4,2,1,0,3,1,5,0.4,-13,14
29,7,"2015-12-28","25-185","CLE","@","PHO",4,0,"21:28",2,3,0.667,1,2,0.5,0,0,NA,1,2,3,1,0,0,3,4,5,1.1,-7,9.3
30,8,"2015-12-29","25-186","CLE","@","DEN",6,0,"31:04",7,13,0.538,2,5,0.4,0,0,NA,1,2,3,2,2,0,0,1,16,14,-1,27.8
31,9,"2016-01-02","25-190","CLE","","ORL",25,0,"21:27",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,1,0,0,0,2,3,1.8,21,7.5
32,10,"2016-01-04","25-192","CLE","","TOR",22,0,"30:11",2,5,0.4,1,3,0.333,0,0,NA,0,3,3,3,1,0,2,4,5,2.7,18,14.8
33,11,"2016-01-06","25-194","CLE","@","WAS",6,0,"29:49",2,4,0.5,1,3,0.333,0,0,NA,1,5,6,3,1,0,0,1,5,7.9,19,19.5
34,12,"2016-01-08","25-196","CLE","@","MIN",26,0,"28:54",9,19,0.474,3,6,0.5,2,2,1,0,3,3,1,4,0,0,1,23,18.5,12,37.8
35,13,"2016-01-10","25-198","CLE","@","PHI",10,0,"16:44",1,5,0.2,0,2,0,0,0,NA,0,2,2,0,0,1,0,0,2,0.2,-5,6.5
36,14,"2016-01-12","25-200","CLE","@","DAL",3,0,"23:17",4,11,0.364,2,7,0.286,0,0,NA,0,2,2,2,3,1,2,4,10,6,-5,23.5
37,15,"2016-01-14","25-202","CLE","@","SAS",-4,0,"18:46",3,3,1,1,1,1,0,0,NA,0,1,1,1,2,0,2,1,7,6.7,-13,13.3
38,16,"2016-01-15","25-203","CLE","@","HOU",14,0,"27:32",1,7,0.143,0,3,0,0,0,NA,2,1,3,3,2,1,1,2,2,2.2,7,15.8
39,17,"2016-01-18","25-206","CLE","","GSW",-34,0,"29:07",4,6,0.667,0,1,0,2,3,0.667,0,2,2,0,0,0,3,6,10,2.2,-16,11
40,18,"2016-01-20","25-208","CLE","@","BRK",13,0,"29:58",2,7,0.286,1,3,0.333,1,2,0.5,1,2,3,1,2,2,1,0,6,5.9,15,19.3
41,19,"2016-01-21","25-209","CLE","","LAC",13,0,"20:30",3,6,0.5,1,3,0.333,0,0,NA,1,1,2,1,0,0,1,4,7,3.1,-7,11
42,20,"2016-01-23","25-211","CLE","","CHI",-13,0,"22:26",1,6,0.167,0,3,0,0,0,NA,1,2,3,1,0,0,1,2,2,-1.6,-9,6.8
43,21,"2016-01-25","25-213","CLE","","MIN",7,0,"22:47",3,7,0.429,2,3,0.667,1,1,1,0,3,3,2,0,1,1,3,9,6.1,4,18.3
44,22,"2016-01-27","25-215","CLE","","PHO",22,0,"27:06",2,4,0.5,1,2,0.5,0,0,NA,0,3,3,3,2,0,3,0,5,5,8,16.3
45,23,"2016-01-29","25-217","CLE","@","DET",8,0,"15:18",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,1,3,3,0.1,-1,4.3
46,24,"2016-01-30","25-218","CLE","","SAS",14,0,"27:41",1,3,0.333,0,2,0,0,0,NA,0,5,5,2,0,0,0,2,2,2.4,9,11.3
47,25,"2016-02-01","25-220","CLE","@","IND",5,0,"22:05",1,2,0.5,0,0,NA,2,2,1,1,3,4,2,0,0,1,0,4,5,2,11.5
48,26,"2016-02-03","25-222","CLE","@","CHO",-9,0,"22:23",1,4,0.25,1,2,0.5,1,2,0.5,0,1,1,2,1,0,3,2,4,0.1,-1,9.3
49,27,"2016-02-05","25-224","CLE","","BOS",-1,0,"34:34",1,6,0.167,1,5,0.2,1,2,0.5,3,5,8,3,5,1,1,4,4,8.6,5,30.5
50,28,"2016-02-06","25-225","CLE","","NOP",15,0,"23:06",2,7,0.286,1,6,0.167,0,0,NA,0,4,4,1,0,2,2,1,5,1.8,11,15
51,29,"2016-02-08","25-227","CLE","","SAC",20,0,"24:44",3,7,0.429,0,0,NA,0,1,0,2,9,11,1,0,0,2,4,6,3.1,7,20.3
52,30,"2016-02-10","25-229","CLE","","LAL",9,0,"18:27",2,6,0.333,0,2,0,0,0,NA,0,4,4,0,1,0,2,4,4,-0.8,-4,10
53,31,"2016-02-18","25-237","CLE","","CHI",11,0,"25:33",2,6,0.333,1,2,0.5,0,0,NA,1,6,7,1,2,0,2,3,5,3.6,3,18.8
57,32,"2016-02-26","25-245","CLE","@","TOR",-2,0,"22:05",1,2,0.5,0,0,NA,0,0,NA,0,3,3,3,0,0,1,5,2,1,-12,9.8
58,33,"2016-02-28","25-247","CLE","@","WAS",-14,0,"34:18",4,12,0.333,1,6,0.167,3,4,0.75,1,4,5,3,3,0,1,3,12,9.6,-8,28.8
59,34,"2016-02-29","25-248","CLE","","IND",4,0,"16:52",0,6,0,0,3,0,0,0,NA,0,0,0,1,0,0,0,2,0,-4.3,-4,1.5
60,35,"2016-03-04","25-252","CLE","","WAS",25,1,"30:25",0,3,0,0,2,0,2,2,1,0,3,3,3,1,1,1,2,2,2.8,25,13.8
61,36,"2016-03-05","25-253","CLE","","BOS",17,0,"34:42",4,8,0.5,2,4,0.5,2,2,1,6,10,16,4,2,0,2,5,12,16,26,43.5
62,37,"2016-03-07","25-255","CLE","","MEM",-3,0,"21:34",3,5,0.6,1,2,0.5,2,2,1,0,4,4,1,2,0,0,1,9,10.2,3,20
63,38,"2016-03-09","25-257","CLE","@","SAC",9,0,"18:39",1,4,0.25,1,3,0.333,1,2,0.5,0,5,5,2,0,0,0,2,4,3.3,6,13.8
64,39,"2016-03-10","25-258","CLE","@","LAL",12,0,"25:46",1,4,0.25,0,2,0,0,0,NA,0,5,5,1,0,0,1,4,2,-0.8,3,9.3
65,40,"2016-03-13","25-261","CLE","@","LAC",24,0,"26:30",2,4,0.5,0,2,0,0,0,NA,1,6,7,1,0,0,0,1,4,4.8,17,14.3
66,41,"2016-03-14","25-262","CLE","@","UTA",-9,0,"18:32",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,2,1,0,0,0,3,4,0,9.8
67,42,"2016-03-16","25-264","CLE","","DAL",1,1,"31:40",1,2,0.5,0,0,NA,0,0,NA,2,2,4,5,3,1,2,3,2,7,-5,21.5
68,43,"2016-03-18","25-266","CLE","@","ORL",6,0,"22:20",3,6,0.5,2,5,0.4,0,0,NA,1,2,3,2,1,0,1,1,8,7.3,12,17.3
69,44,"2016-03-19","25-267","CLE","@","MIA",-21,1,"22:18",1,4,0.25,0,2,0,2,2,1,1,2,3,4,0,0,0,2,4,4.9,-10,13.8
70,45,"2016-03-21","25-269","CLE","","DEN",33,0,"23:08",2,4,0.5,1,2,0.5,0,0,NA,0,4,4,4,1,1,1,3,5,6.5,10,20
71,46,"2016-03-23","25-271","CLE","","MIL",9,0,"14:15",1,4,0.25,1,3,0.333,2,2,1,0,2,2,0,1,1,0,1,5,4.5,1,12
72,47,"2016-03-24","25-272","CLE","@","BRK",-9,0,"16:25",1,3,0.333,1,3,0.333,0,0,NA,1,4,5,0,0,0,0,2,3,2.4,-8,9.8
73,48,"2016-03-26","25-274","CLE","@","NYK",14,0,"21:18",1,3,0.333,0,1,0,0,0,NA,0,2,2,1,1,1,1,2,2,1.5,-8,9.5
74,49,"2016-03-29","25-277","CLE","","HOU",-6,1,"34:41",4,14,0.286,2,6,0.333,1,2,0.5,1,2,3,2,1,2,1,4,11,4.9,-6,24.3
75,50,"2016-03-31","25-279","CLE","","BRK",20,0,"19:45",1,4,0.25,0,2,0,4,5,0.8,0,8,8,2,1,0,1,1,6,6.6,20,20.5
76,51,"2016-04-01","25-280","CLE","@","ATL",2,0,"28:52",4,10,0.4,1,3,0.333,2,2,1,0,5,5,0,2,0,0,1,11,8.7,-3,21.8
77,52,"2016-04-03","25-282","CLE","","CHO",9,0,"31:50",4,6,0.667,0,1,0,0,0,NA,1,1,2,3,1,0,1,1,8,8.1,13,16.5
78,53,"2016-04-05","25-284","CLE","@","MIL",29,0,"15:52",1,1,1,0,0,NA,0,0,NA,0,3,3,1,0,0,3,1,2,-0.1,10,5.8
79,54,"2016-04-06","25-285","CLE","@","IND",-14,1,"35:00",0,4,0,0,3,0,4,4,1,0,3,3,1,1,0,2,4,4,0.2,5,10.3
