"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
9,1,"2015-11-14","26-061","SAS","","PHI",9,0,"8:31",0,0,NA,0,0,NA,2,2,1,1,1,2,2,1,0,0,0,2,5.4,-8,9.5
12,2,"2015-11-20","26-067","SAS","@","NOP",-14,0,"2:59",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,-2,1.3
14,3,"2015-11-23","26-070","SAS","","PHO",14,0,"6:43",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3,2,0.5,-1,2
16,4,"2015-11-27","26-074","SAS","@","DEN",11,0,"26:34",4,8,0.5,1,4,0.25,3,3,1,0,2,2,1,2,0,5,2,12,5.5,12,18
17,5,"2015-11-28","26-075","SAS","","ATL",20,0,"8:16",2,5,0.4,0,1,0,1,1,1,0,0,0,1,0,0,0,1,5,2.6,-6,6.5
19,6,"2015-12-02","26-079","SAS","","MIL",25,0,"20:09",4,6,0.667,0,1,0,0,1,0,0,1,1,2,0,0,1,0,8,5.7,12,11.8
20,7,"2015-12-03","26-080","SAS","@","MEM",20,0,"7:58",1,1,1,0,0,NA,1,2,0.5,0,3,3,2,0,0,1,2,3,2.8,-3,9.3
22,8,"2015-12-07","26-084","SAS","@","PHI",51,0,"24:16",4,13,0.308,0,0,NA,6,8,0.75,2,2,4,2,0,0,1,4,14,6.5,25,21.5
23,9,"2015-12-09","26-086","SAS","@","TOR",-3,0,"14:39",2,2,1,1,1,1,3,3,1,0,0,0,2,0,0,2,4,8,5.2,10,10.5
24,10,"2015-12-11","26-088","SAS","","LAL",22,0,"18:56",2,3,0.667,0,0,NA,5,5,1,1,1,2,1,0,0,2,3,9,6.2,17,12
25,11,"2015-12-12","26-089","SAS","@","ATL",25,0,"19:00",2,5,0.4,1,1,1,4,4,1,1,6,7,2,0,0,2,2,9,7.4,6,20.3
26,12,"2015-12-14","26-091","SAS","","UTA",37,0,"22:54",3,12,0.25,1,4,0.25,0,0,NA,0,4,4,4,2,0,1,1,7,4.4,2,22
27,13,"2015-12-16","26-093","SAS","","WAS",19,0,"4:07",1,1,1,1,1,1,0,0,NA,0,0,0,1,0,0,1,2,3,1.6,0,4.5
28,14,"2015-12-18","26-095","SAS","","LAC",8,0,"8:27",2,2,1,1,1,1,0,0,NA,0,1,1,0,1,0,0,3,5,4.5,17,8.8
29,15,"2015-12-21","26-098","SAS","","IND",14,0,"11:13",3,4,0.75,1,1,1,0,0,NA,0,3,3,2,0,0,2,1,7,5.3,3,13.3
30,16,"2015-12-23","26-100","SAS","@","MIN",25,0,"7:44",1,1,1,0,0,NA,1,2,0.5,0,0,0,0,1,0,0,0,3,3.3,4,5
31,17,"2015-12-25","26-102","SAS","@","HOU",-4,0,"8:58",1,2,0.5,0,1,0,0,0,NA,0,1,1,3,0,0,1,2,2,1.6,-9,7.3
32,18,"2015-12-26","26-103","SAS","","DEN",15,0,"15:46",0,2,0,0,0,NA,0,0,NA,0,0,0,2,2,0,1,2,0,0.2,-6,6.5
33,19,"2015-12-28","26-105","SAS","","MIN",6,0,"2:49",0,2,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,-0.7,0,1.5
34,20,"2015-12-30","26-107","SAS","","PHO",33,0,"18:43",3,4,0.75,0,0,NA,2,4,0.5,0,3,3,2,0,0,1,2,8,6.1,9,14.3
35,21,"2016-01-02","26-110","SAS","","HOU",18,0,"9:14",3,4,0.75,0,1,0,0,0,NA,0,1,1,1,0,1,1,2,6,4.3,0,10.3
36,22,"2016-01-04","26-112","SAS","@","MIL",25,0,"20:13",6,7,0.857,0,0,NA,6,7,0.857,0,3,3,0,0,0,1,3,18,13.8,21,21.3
37,23,"2016-01-06","26-114","SAS","","UTA",25,0,"17:15",5,7,0.714,2,4,0.5,1,1,1,0,0,0,1,1,0,3,4,13,7.2,9,16
38,24,"2016-01-08","26-116","SAS","","NYK",1,0,"9:17",1,2,0.5,0,0,NA,0,1,0,0,1,1,0,0,0,0,0,2,0.9,-8,3.3
39,25,"2016-01-11","26-119","SAS","@","BRK",27,0,"11:16",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,2,2,1.2,2,4.5
40,26,"2016-01-12","26-120","SAS","@","DET",10,0,"6:27",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,1,1,2,0,-2.5,3,1.5
41,27,"2016-01-14","26-122","SAS","","CLE",4,0,"8:58",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,2,1.5,5,4.5
42,28,"2016-01-17","26-125","SAS","","DAL",29,0,"15:16",5,7,0.714,2,2,1,2,2,1,0,3,3,2,1,0,0,3,14,13.2,15,23.8
43,29,"2016-01-21","26-129","SAS","@","PHO",28,0,"24:59",5,9,0.556,1,2,0.5,2,5,0.4,0,1,1,1,1,0,2,3,13,6.3,12,17.3
44,30,"2016-01-22","26-130","SAS","@","LAL",13,0,"19:20",3,6,0.5,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,6,2.9,-2,7.5
45,31,"2016-01-25","26-133","SAS","@","GSW",-30,0,"25:12",3,7,0.429,0,1,0,0,0,NA,0,3,3,1,2,0,4,4,6,0.3,-17,13.3
46,32,"2016-01-27","26-135","SAS","","HOU",31,0,"12:00",1,4,0.25,0,1,0,3,3,1,1,0,1,0,0,0,1,2,5,1.5,2,5.8
47,33,"2016-01-30","26-138","SAS","@","CLE",-14,0,"18:20",4,5,0.8,0,0,NA,0,0,NA,0,2,2,2,0,1,0,3,8,7.6,2,15.5
48,34,"2016-02-01","26-140","SAS","","ORL",15,0,"16:22",2,5,0.4,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,4,0.9,2,6.3
49,35,"2016-02-03","26-142","SAS","","NOP",13,0,"0:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,2,1.5
50,36,"2016-02-05","26-144","SAS","@","DAL",26,0,"22:36",2,4,0.5,1,2,0.5,3,4,0.75,0,0,0,2,1,1,1,3,8,6.5,11,15
51,37,"2016-02-06","26-145","SAS","","LAL",4,0,"24:17",3,10,0.3,1,3,0.333,2,2,1,2,1,3,2,0,0,0,2,9,5.5,-6,16.3
52,38,"2016-02-09","26-148","SAS","@","MIA",18,0,"22:43",5,9,0.556,0,0,NA,0,1,0,1,3,4,1,0,0,2,3,10,4.4,5,15.5
53,39,"2016-02-10","26-149","SAS","@","ORL",2,0,"16:28",0,4,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,3,0,-5,-4,-0.5
54,40,"2016-02-18","26-157","SAS","@","LAC",-19,0,"18:21",2,5,0.4,0,1,0,1,2,0.5,0,4,4,0,2,1,4,4,5,0.2,-6,14
55,41,"2016-02-19","26-158","SAS","@","LAL",6,0,"18:24",3,4,0.75,1,1,1,0,0,NA,1,2,3,1,0,0,1,0,7,6.4,-6,12.3
56,42,"2016-02-21","26-160","SAS","@","PHO",7,0,"11:06",1,2,0.5,0,0,NA,5,6,0.833,0,2,2,1,0,0,2,1,7,4.5,0,10
57,43,"2016-02-24","26-163","SAS","@","SAC",16,0,"13:38",2,4,0.5,0,0,NA,1,1,1,0,2,2,2,1,0,0,1,5,5.6,8,12.5
58,44,"2016-02-25","26-164","SAS","@","UTA",18,0,"8:14",1,2,0.5,1,1,1,0,0,NA,1,2,3,0,1,0,2,3,3,1.1,-1,8.3
59,45,"2016-02-27","26-166","SAS","@","HOU",10,0,"1:44",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-8,0
60,46,"2016-03-02","26-170","SAS","","DET",16,0,"8:25",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,0,2
62,47,"2016-03-05","26-173","SAS","","SAC",10,1,"14:34",0,2,0,0,1,0,0,0,NA,0,2,2,2,0,0,0,2,0,-0.2,-5,5.5
64,48,"2016-03-08","26-176","SAS","@","MIN",25,0,"18:06",2,5,0.4,0,0,NA,2,2,1,1,2,3,1,1,0,0,1,6,5.9,-3,13.3
