"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-286","BRK","","CHI",-15,0,"15:28",0,4,0,0,0,NA,2,2,1,1,1,2,0,1,0,0,1,2,0.8,-9,6.5
2,2,"2015-10-30","27-288","BRK","@","SAS",-27,0,"4:37",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,1,0,0,-0.7,-4,1.5
19,3,"2015-12-04","27-323","BRK","@","NYK",-17,0,"3:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,3,-0.5
20,4,"2015-12-06","27-325","BRK","","GSW",-16,0,"4:09",1,1,1,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,2,3.1,4,5
23,5,"2015-12-12","27-331","BRK","","LAC",-5,0,"6:25",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,4,-0.5
24,6,"2015-12-14","27-333","BRK","","ORL",-23,0,"4:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,2,0,0,-1.3,0,0.5
25,7,"2015-12-16","27-335","BRK","","MIA",-6,0,"12:21",2,2,1,0,0,NA,1,1,1,1,0,1,3,0,0,0,0,5,7.2,-6,10.8
26,8,"2015-12-18","27-337","BRK","@","IND",-7,0,"23:59",3,7,0.429,0,0,NA,0,0,NA,0,6,6,3,0,0,2,2,6,3.4,1,17
27,9,"2015-12-20","27-339","BRK","","MIN",-15,0,"19:45",3,7,0.429,0,1,0,0,0,NA,0,3,3,4,1,0,0,1,6,6.6,-2,17.8
28,10,"2015-12-21","27-340","BRK","@","CHI",3,0,"17:26",3,7,0.429,0,1,0,0,0,NA,1,3,4,6,0,0,2,1,6,5.7,1,19
29,11,"2015-12-23","27-342","BRK","","DAL",-1,0,"10:13",1,3,0.333,0,0,NA,0,0,NA,1,2,3,6,1,0,0,1,2,6.4,-2,16.8
30,12,"2015-12-26","27-345","BRK","","WAS",-15,0,"6:13",0,0,NA,0,0,NA,1,2,0.5,0,1,1,3,0,0,1,1,1,1.6,4,6.3
33,13,"2016-01-02","27-352","BRK","@","BOS",3,0,"7:53",1,2,0.5,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,2,1.3,-11,3.5
34,14,"2016-01-04","27-354","BRK","","BOS",-9,0,"21:29",2,5,0.4,1,2,0.5,0,0,NA,1,3,4,3,1,0,2,1,5,4.6,-3,16
35,15,"2016-01-06","27-356","BRK","","TOR",-17,0,"19:00",1,3,0.333,0,0,NA,0,0,NA,0,3,3,4,1,0,4,0,2,1,-7,11.8
36,16,"2016-01-08","27-358","BRK","","ORL",-6,0,"18:03",1,4,0.25,1,2,0.5,0,2,0,0,2,2,5,0,0,0,0,3,3.9,6,13.5
37,17,"2016-01-09","27-359","BRK","@","DET",-14,0,"23:47",5,8,0.625,2,3,0.667,3,4,0.75,0,2,2,10,0,0,3,1,15,15.2,5,33.5
38,18,"2016-01-11","27-361","BRK","","SAS",-27,1,"24:05",1,4,0.25,0,1,0,0,0,NA,0,0,0,5,0,1,1,1,2,2.4,-14,11
39,19,"2016-01-13","27-363","BRK","","NYK",6,1,"22:47",3,6,0.5,2,3,0.667,0,0,NA,0,4,4,3,1,0,1,0,8,8.3,8,20
40,20,"2016-01-15","28-000","BRK","","POR",-12,1,"32:09",5,6,0.833,2,3,0.667,3,4,0.75,2,7,9,9,0,0,3,2,15,18.4,5,39.3
41,21,"2016-01-16","28-001","BRK","@","ATL",-28,1,"25:17",1,5,0.2,0,2,0,2,2,1,0,4,4,12,0,0,3,2,4,6.7,-4,25.5
42,22,"2016-01-18","28-003","BRK","@","TOR",-12,1,"34:28",4,10,0.4,1,4,0.25,4,4,1,0,8,8,6,0,0,2,3,13,11,-6,31.5
43,23,"2016-01-20","28-005","BRK","","CLE",-13,1,"24:54",6,10,0.6,0,2,0,0,0,NA,0,1,1,9,1,0,3,0,12,12,3,27.3
44,24,"2016-01-22","28-007","BRK","","UTA",-22,1,"25:24",0,4,0,0,0,NA,2,2,1,3,1,4,6,0,0,1,1,2,4.4,-14,15.5
45,25,"2016-01-24","28-009","BRK","","OKC",10,1,"27:28",2,6,0.333,2,2,1,5,10,0.5,1,5,6,2,2,0,1,2,11,9.4,7,26
46,26,"2016-01-26","28-011","BRK","","MIA",-4,1,"23:26",4,8,0.5,2,3,0.667,0,0,NA,0,2,2,2,0,0,3,2,10,4.2,-5,15
47,27,"2016-01-29","28-014","BRK","@","DAL",-12,1,"35:29",5,11,0.455,2,5,0.4,1,1,1,0,2,2,4,2,0,2,0,13,10.7,4,25.5
48,28,"2016-01-30","28-015","BRK","@","NOP",-2,1,"21:54",0,3,0,0,0,NA,2,2,1,2,1,3,3,0,0,0,0,2,3.7,-1,10.3
49,29,"2016-02-01","28-017","BRK","","DET",-5,1,"25:37",2,4,0.5,1,1,1,0,0,NA,0,5,5,4,1,0,2,2,5,5.5,-13,18.8
50,30,"2016-02-03","28-019","BRK","","IND",-14,1,"32:26",4,12,0.333,0,4,0,3,4,0.75,0,3,3,7,1,0,1,2,11,8.8,-4,26.8
