"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-192","MEM","","CLE",-30,0,"5:59",1,4,0.25,0,0,NA,1,1,1,0,2,2,0,1,0,1,1,3,0.8,-1,7
4,2,"2015-11-02","24-197","MEM","@","GSW",-50,0,"6:26",2,5,0.4,1,2,0.5,0,2,0,1,0,1,0,0,0,1,1,5,0.8,-10,6.3
5,3,"2015-11-03","24-198","MEM","@","SAC",14,0,"2:57",0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1.3,-3,2
6,4,"2015-11-05","24-200","MEM","@","POR",-19,0,"3:34",0,1,0,0,1,0,0,0,NA,0,0,0,2,0,0,1,0,0,-0.3,5,2.5
9,5,"2015-11-11","24-206","MEM","","GSW",-16,0,"13:00",1,2,0.5,0,0,NA,3,4,0.75,0,1,1,0,1,0,1,1,5,3.5,-13,7.8
12,6,"2015-11-16","24-211","MEM","","OKC",8,0,"0:02",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
13,7,"2015-11-20","24-215","MEM","","HOU",12,0,"1:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-1,0
15,8,"2015-11-24","24-219","MEM","","DAL",14,0,"1:26",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
17,9,"2015-11-27","24-222","MEM","","ATL",-15,0,"1:09",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
20,10,"2015-12-03","24-228","MEM","","SAS",-20,0,"4:24",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,2,0.7,-1,3
22,11,"2015-12-08","24-233","MEM","","OKC",-37,0,"8:59",1,1,1,0,0,NA,2,2,1,0,3,3,3,0,0,0,0,4,6.7,-4,12.3
24,12,"2015-12-11","24-236","MEM","","CHO",-24,0,"7:24",1,2,0.5,0,0,NA,0,0,NA,0,0,0,3,1,0,0,2,2,3.3,-6,8.5
26,13,"2015-12-14","24-239","MEM","","WAS",17,0,"1:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-3,1.5
28,14,"2015-12-18","24-243","MEM","@","DAL",-9,0,"1:12",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,4,1.5
33,15,"2015-12-27","24-252","MEM","","LAL",16,0,"6:51",0,1,0,0,0,NA,0,2,0,0,2,2,0,2,1,2,0,0,-0.2,-9,7.5
