"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","30-299","ATL","","DET",-12,0,"16:18",2,5,0.4,0,0,NA,0,0,NA,3,1,4,0,0,1,0,4,4,2.8,-3,11
2,2,"2015-10-29","30-301","ATL","@","NYK",11,0,"23:16",4,6,0.667,0,0,NA,2,2,1,0,2,2,2,0,1,2,4,10,6.5,8,16.5
3,3,"2015-10-30","30-302","ATL","","CHO",3,0,"15:48",2,7,0.286,0,0,NA,3,3,1,1,2,3,0,1,0,1,1,7,3.8,7,12.3
4,4,"2015-11-01","30-304","ATL","@","CHO",2,0,"17:30",3,4,0.75,0,0,NA,1,2,0.5,3,4,7,1,2,0,1,2,7,9.2,11,20.8
5,5,"2015-11-03","30-306","ATL","@","MIA",6,0,"20:30",2,6,0.333,0,0,NA,2,2,1,2,5,7,1,1,0,0,2,6,6.4,-2,18.3
6,6,"2015-11-04","30-307","ATL","","BRK",14,0,"19:48",4,7,0.571,0,0,NA,0,0,NA,1,2,3,2,1,0,2,4,8,4.8,21,15.8
7,7,"2015-11-06","30-309","ATL","@","NOP",6,0,"20:25",1,5,0.2,0,0,NA,4,4,1,2,3,5,0,0,0,0,1,6,4.8,-4,12.3
9,8,"2015-11-09","30-312","ATL","","MIN",-10,0,"16:25",2,3,0.667,0,1,0,0,0,NA,0,3,3,2,0,0,1,0,4,4,10,10.3
10,9,"2015-11-11","30-314","ATL","","NOP",8,0,"18:33",4,5,0.8,0,0,NA,0,0,NA,1,2,3,1,1,1,0,3,8,8.6,-2,17.3
11,10,"2015-11-13","30-316","ATL","@","BOS",-13,0,"13:58",1,3,0.333,0,0,NA,1,2,0.5,1,2,3,0,0,0,0,0,3,2.2,-8,6.8
12,11,"2015-11-15","30-318","ATL","","UTA",-1,0,"18:15",1,4,0.25,0,0,NA,0,0,NA,1,1,2,0,1,0,2,2,2,-1.2,4,5.5
