"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","22-023","PHI","","UTA",-28,0,"21:17",3,6,0.5,2,3,0.667,4,5,0.8,0,3,3,2,0,0,1,0,12,9.9,-6,19.3
3,2,"2015-11-02","22-026","PHI","","CLE",-7,1,"28:31",4,10,0.4,3,9,0.333,4,4,1,0,4,4,1,1,0,2,3,15,9.3,-16,24
4,3,"2015-11-04","22-028","PHI","@","MIL",-4,1,"34:44",5,19,0.263,3,14,0.214,1,1,1,1,6,7,4,0,0,4,1,14,3.6,17,28.3
5,4,"2015-11-06","22-030","PHI","@","CLE",-6,1,"37:39",6,10,0.6,2,6,0.333,0,0,NA,0,3,3,2,1,0,3,2,14,8.9,-15,22.3
6,5,"2015-11-07","22-031","PHI","","ORL",-8,1,"36:24",6,15,0.4,3,10,0.3,3,4,0.75,0,3,3,5,0,1,0,2,18,13.8,-2,32.8
7,6,"2015-11-09","22-033","PHI","","CHI",-23,1,"33:10",2,13,0.154,1,7,0.143,0,0,NA,0,5,5,2,3,0,1,0,5,1.6,-23,20.3
8,7,"2015-11-11","22-035","PHI","","TOR",-16,1,"29:58",3,11,0.273,2,7,0.286,0,0,NA,0,1,1,3,0,0,1,1,8,2.5,-20,14.3
9,8,"2015-11-13","22-037","PHI","@","OKC",-17,1,"29:04",4,10,0.4,2,5,0.4,1,4,0.25,1,3,4,3,2,0,1,1,11,8.7,-11,25
10,9,"2015-11-14","22-038","PHI","@","SAS",-9,1,"18:12",0,6,0,0,3,0,0,0,NA,0,0,0,0,0,0,2,0,0,-6.2,-7,-1
11,10,"2015-11-16","22-040","PHI","","DAL",-6,1,"16:01",0,4,0,0,2,0,0,0,NA,0,2,2,1,0,0,1,2,0,-3.3,-14,3.5
12,11,"2015-11-18","22-042","PHI","","IND",-27,1,"21:06",3,8,0.375,1,4,0.25,0,0,NA,1,0,1,1,1,1,2,2,7,2.9,-7,13.3
13,12,"2015-11-20","22-044","PHI","@","CHO",-25,1,"31:42",5,12,0.417,3,8,0.375,2,2,1,1,1,2,3,0,1,0,0,15,12.4,-2,25.5
14,13,"2015-11-21","22-045","PHI","@","MIA",-5,1,"24:38",3,8,0.375,2,7,0.286,0,0,NA,0,1,1,2,0,1,0,1,8,5.6,-11,15.3
15,14,"2015-11-23","22-047","PHI","@","MIN",-5,1,"11:50",0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,2,2,0.5,3,2
17,15,"2015-11-27","22-051","PHI","@","HOU",-2,0,"14:33",1,4,0.25,1,3,0.333,1,2,0.5,0,2,2,3,2,0,0,0,4,5.9,17,15.5
18,16,"2015-11-29","22-053","PHI","@","MEM",-8,0,"12:59",2,6,0.333,1,3,0.333,0,0,NA,0,1,1,1,1,1,1,2,5,2.5,-5,11.8
19,17,"2015-12-01","22-055","PHI","","LAL",12,0,"14:30",2,5,0.4,2,4,0.5,0,0,NA,0,1,1,0,1,0,0,3,6,3.4,-1,10.3
20,18,"2015-12-02","22-056","PHI","@","NYK",-12,0,"23:46",2,4,0.5,2,3,0.667,1,2,0.5,0,2,2,2,1,0,1,1,7,6.2,0,15
