"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-053","LAC","@","SAC",7,1,"19:08",3,5,0.6,1,2,0.5,0,0,NA,1,1,2,2,1,0,1,0,7,7.1,11,14.5
2,2,"2015-10-29","25-054","LAC","","DAL",16,1,"20:52",1,5,0.2,1,4,0.25,0,0,NA,0,2,2,2,0,0,1,3,3,-0.3,7,8.5
3,3,"2015-10-31","25-056","LAC","","SAC",5,1,"24:17",3,6,0.5,0,1,0,1,2,0.5,0,2,2,4,0,0,2,3,7,3.8,20,14.5
4,4,"2015-11-02","25-058","LAC","","PHO",6,1,"18:20",2,6,0.333,0,0,NA,1,1,1,1,5,6,2,0,0,1,3,5,3,0,15
5,5,"2015-11-04","25-060","LAC","@","GSW",-4,1,"22:56",2,5,0.4,2,2,1,1,2,0.5,0,5,5,3,0,0,1,3,7,5.3,15,18.3
6,6,"2015-11-07","25-063","LAC","","HOU",-4,1,"21:55",2,6,0.333,1,2,0.5,2,2,1,1,2,3,3,2,0,0,2,7,8.2,-7,19.8
7,7,"2015-11-09","25-065","LAC","","MEM",2,1,"20:56",1,4,0.25,1,2,0.5,0,0,NA,1,2,3,1,0,0,4,0,3,-1.4,-4,6.8
8,8,"2015-11-11","25-067","LAC","@","DAL",-10,1,"20:30",3,9,0.333,0,2,0,0,0,NA,2,0,2,0,0,0,1,1,6,0.9,-19,8
9,9,"2015-11-12","25-068","LAC","@","PHO",-14,1,"30:01",5,13,0.385,0,3,0,1,2,0.5,2,3,5,2,2,1,4,2,11,5.1,-9,24.3
10,10,"2015-11-14","25-070","LAC","","DET",5,0,"1:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-8,-0.5
12,11,"2015-11-20","25-076","LAC","@","POR",-11,1,"18:45",1,2,0.5,0,0,NA,0,2,0,0,0,0,1,0,1,0,1,2,1.2,-6,5.5
13,12,"2015-11-22","25-078","LAC","","TOR",-11,0,"5:25",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,3,0,-0.2,-11,2
14,13,"2015-11-24","25-080","LAC","@","DEN",17,0,"14:52",1,1,1,0,0,NA,2,2,1,1,1,2,0,1,0,1,1,4,4.3,5,8
15,14,"2015-11-25","25-081","LAC","","UTA",-11,0,"11:31",0,1,0,0,0,NA,0,0,NA,1,1,2,0,1,0,1,1,0,-0.1,-8,4
16,15,"2015-11-27","25-083","LAC","","NOP",21,0,"26:09",3,7,0.429,1,2,0.5,3,4,0.75,0,5,5,4,0,0,2,1,10,7.8,11,21.8
17,16,"2015-11-29","25-085","LAC","","MIN",8,0,"19:43",3,6,0.5,1,1,1,2,2,1,2,4,6,3,1,0,0,2,9,10.9,7,23.5
18,17,"2015-11-30","25-086","LAC","","POR",15,0,"17:22",1,2,0.5,0,1,0,0,0,NA,0,10,10,3,0,0,2,0,2,4.1,-6,18
19,18,"2015-12-02","25-088","LAC","","IND",-12,0,"28:09",8,11,0.727,3,4,0.75,0,0,NA,1,2,3,3,1,0,2,5,19,14.9,-8,29.8
20,19,"2015-12-05","25-091","LAC","","ORL",2,0,"18:10",0,2,0,0,1,0,0,0,NA,0,2,2,1,2,0,0,2,0,1.1,-7,8
