"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","32-348","MIA","@","CLE",-10,0,"11:58",1,2,0.5,0,0,NA,0,0,NA,2,1,3,0,0,0,0,2,2,1.9,-16,5.8
11,2,"2015-11-19","33-003","MIA","","SAC",7,0,"8:17",4,5,0.8,0,0,NA,2,2,1,0,1,1,1,0,0,1,0,10,8.1,8,12.3
21,3,"2015-12-11","33-025","MIA","@","IND",-13,0,"7:04",0,2,0,0,0,NA,1,2,0.5,1,1,2,0,0,1,0,0,1,0.9,-1,5.5
29,4,"2015-12-26","33-040","MIA","@","ORL",7,0,"9:14",1,3,0.333,0,0,NA,0,0,NA,1,2,3,1,0,0,0,0,2,2.3,-1,7.3
30,5,"2015-12-28","33-042","MIA","","BRK",-6,0,"14:02",1,4,0.25,0,0,NA,2,2,1,0,3,3,1,1,0,1,2,4,2.4,-5,10.8
31,6,"2015-12-29","33-043","MIA","@","MEM",-9,0,"12:34",1,2,0.5,0,0,NA,4,6,0.667,2,1,3,2,0,1,1,2,6,6.2,-1,14.3
32,7,"2016-01-01","33-046","MIA","","DAL",24,0,"9:16",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,1,1,0,-0.1,2,3.5
34,8,"2016-01-04","33-049","MIA","","IND",3,0,"15:01",1,3,0.333,0,0,NA,0,2,0,2,3,5,0,1,1,1,0,2,2.5,3,11.8
36,9,"2016-01-08","33-053","MIA","@","PHO",8,0,"13:10",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,3,1,0,0,1.7,1,9.5
37,10,"2016-01-09","33-054","MIA","@","UTA",-15,0,"6:20",0,1,0,0,0,NA,2,2,1,1,1,2,0,0,0,0,0,2,2.3,-4,4.5
38,11,"2016-01-11","33-056","MIA","@","GSW",-8,0,"4:44",3,4,0.75,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,6,5,-4,8.5
40,12,"2016-01-15","33-060","MIA","@","DEN",3,0,"6:22",2,4,0.5,0,0,NA,1,1,1,2,0,2,1,0,0,0,1,5,4.7,-9,9
41,13,"2016-01-17","33-062","MIA","@","OKC",-25,0,"13:57",0,0,NA,0,0,NA,2,2,1,0,2,2,1,1,1,2,2,2,2.2,-13,9
42,14,"2016-01-19","33-064","MIA","","MIL",-12,0,"6:20",3,5,0.6,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,6,2.9,2,6
43,15,"2016-01-20","33-065","MIA","@","WAS",-19,0,"20:46",5,6,0.833,0,0,NA,1,2,0.5,1,2,3,0,0,0,4,2,11,4.9,6,12.8
44,16,"2016-01-22","33-067","MIA","@","TOR",-20,1,"17:49",4,5,0.8,0,0,NA,0,0,NA,2,3,5,0,0,0,2,2,8,5.6,-11,13.3
45,17,"2016-01-25","33-070","MIA","@","CHI",5,1,"25:36",3,7,0.429,0,0,NA,2,2,1,2,8,10,2,1,1,1,1,8,9.8,-2,27
46,18,"2016-01-26","33-071","MIA","@","BRK",4,1,"22:28",2,7,0.286,0,0,NA,0,0,NA,1,6,7,1,2,0,1,1,4,3.7,10,17.8
47,19,"2016-01-29","33-074","MIA","@","MIL",4,1,"23:33",6,9,0.667,0,0,NA,0,0,NA,2,6,8,0,0,2,0,3,12,11.5,-2,26
48,20,"2016-01-31","33-076","MIA","","ATL",18,1,"21:24",5,8,0.625,0,0,NA,3,4,0.75,5,7,12,0,3,1,2,1,13,15.9,16,36.5
49,21,"2016-02-02","33-078","MIA","@","HOU",-13,1,"23:39",6,12,0.5,0,0,NA,2,2,1,6,4,10,1,0,0,3,3,14,9.9,-5,28
50,22,"2016-02-03","33-079","MIA","@","DAL",3,1,"17:19",2,4,0.5,0,0,NA,2,2,1,1,4,5,1,0,4,0,2,6,8.6,1,21.8
51,23,"2016-02-05","33-081","MIA","@","CHO",3,1,"15:55",2,5,0.4,0,0,NA,3,6,0.5,0,5,5,0,0,2,0,1,7,5.6,-10,17.3
52,24,"2016-02-07","33-083","MIA","","LAC",-7,1,"15:34",1,2,0.5,0,0,NA,0,0,NA,1,7,8,1,0,0,1,1,2,3.1,-1,13
53,25,"2016-02-09","33-085","MIA","","SAS",-18,1,"12:39",1,3,0.333,0,0,NA,0,0,NA,0,8,8,2,0,2,0,3,2,4.3,0,19
54,26,"2016-02-19","33-095","MIA","@","ATL",4,1,"18:43",2,6,0.333,0,0,NA,2,4,0.5,2,4,6,1,0,0,1,0,6,4.1,1,14.5
55,27,"2016-02-20","33-096","MIA","","WAS",20,1,"16:33",2,3,0.667,0,0,NA,0,0,NA,0,6,6,2,0,2,1,4,4,4.7,14,18
56,28,"2016-02-22","33-098","MIA","","IND",8,1,"11:49",2,3,0.667,0,0,NA,0,0,NA,1,4,5,1,0,0,3,1,4,1.9,-11,10.3
57,29,"2016-02-24","33-100","MIA","","GSW",-6,1,"5:43",0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,0,-1.2,2,2.5
58,30,"2016-02-27","33-103","MIA","@","BOS",-12,1,"15:24",3,7,0.429,0,0,NA,0,0,NA,1,4,5,0,0,1,0,1,6,4.5,5,14.3
59,31,"2016-02-28","33-104","MIA","@","NYK",17,1,"21:57",4,7,0.571,0,0,NA,0,0,NA,3,4,7,2,0,1,1,5,8,7.1,15,21.3
60,32,"2016-03-01","33-106","MIA","","CHI",18,1,"14:59",3,3,1,0,0,NA,1,1,1,2,2,4,1,0,5,1,2,7,10.5,16,23
61,33,"2016-03-03","33-108","MIA","","PHO",16,1,"24:32",3,3,1,0,0,NA,2,2,1,3,6,9,0,0,3,2,5,8,9.1,17,24.3
62,34,"2016-03-04","33-109","MIA","@","PHI",10,1,"13:50",4,5,0.8,0,0,NA,4,5,0.8,2,2,4,0,1,0,1,3,12,10.5,-1,18.5
63,35,"2016-03-06","33-111","MIA","","PHI",5,1,"16:46",1,6,0.167,0,0,NA,0,0,NA,1,5,6,0,0,2,1,2,2,0,11,13
64,36,"2016-03-09","33-114","MIA","@","MIL",-6,1,"18:12",3,5,0.6,0,0,NA,0,0,NA,0,1,1,1,0,3,1,2,6,5,-7,14.3
65,37,"2016-03-11","33-116","MIA","@","CHI",22,1,"14:37",3,3,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,6,4.1,-2,5.5
66,38,"2016-03-12","33-117","MIA","@","TOR",-8,1,"19:31",1,4,0.25,0,0,NA,2,2,1,3,2,5,0,1,0,1,4,4,2.7,-1,11.8
67,39,"2016-03-14","33-119","MIA","","DEN",5,1,"10:32",2,2,1,0,0,NA,0,0,NA,0,0,0,1,0,0,1,2,4,2.3,-5,5
68,40,"2016-03-17","33-122","MIA","","CHO",-3,1,"20:35",3,3,1,0,0,NA,0,0,NA,0,3,3,0,0,0,0,1,6,5.6,-11,9.8
69,41,"2016-03-19","33-124","MIA","","CLE",21,1,"12:03",3,4,0.75,0,0,NA,2,2,1,2,3,5,1,0,0,2,4,8,5.8,9,14.8
70,42,"2016-03-22","33-127","MIA","@","NOP",14,1,"15:10",6,8,0.75,0,0,NA,4,4,1,5,4,9,0,0,2,1,2,16,17.1,3,30.8
71,43,"2016-03-23","33-128","MIA","@","SAS",-24,1,"13:48",1,5,0.2,0,0,NA,0,0,NA,0,4,4,0,0,2,1,1,2,0.1,-11,10.5
72,44,"2016-03-25","33-130","MIA","","ORL",11,1,"16:04",6,7,0.857,0,0,NA,1,3,0.333,2,3,5,0,1,0,0,3,13,11.8,5,21.3
73,45,"2016-03-28","33-133","MIA","","BRK",11,1,"16:58",3,3,1,0,0,NA,1,2,0.5,1,2,3,0,3,0,1,0,7,9,-5,16.3
74,46,"2016-03-30","33-135","MIA","@","LAL",-2,1,"14:13",2,5,0.4,0,0,NA,0,0,NA,1,2,3,0,0,1,0,3,4,2.1,7,9.8
75,47,"2016-04-01","33-137","MIA","@","SAC",6,1,"17:26",3,4,0.75,0,0,NA,2,2,1,0,4,4,0,0,0,1,1,8,6.2,9,12.5
76,48,"2016-04-02","33-138","MIA","@","POR",-17,1,"10:43",0,1,0,0,0,NA,2,2,1,1,0,1,0,0,0,2,1,2,-0.4,-9,2.3
77,49,"2016-04-05","33-141","MIA","","DET",18,1,"14:16",2,4,0.5,0,0,NA,0,0,NA,0,4,4,0,0,0,1,2,4,1.4,-3,8.5
78,50,"2016-04-07","33-143","MIA","","CHI",8,1,"16:03",5,8,0.625,0,0,NA,0,1,0,0,3,3,0,3,0,0,3,10,8.7,3,19.8
79,51,"2016-04-08","33-144","MIA","@","ORL",-3,1,"10:53",2,3,0.667,0,0,NA,0,0,NA,2,2,4,0,0,0,1,3,4,2.5,-4,8.5
81,52,"2016-04-12","33-148","MIA","@","DET",6,0,"5:58",2,3,0.667,0,0,NA,0,0,NA,0,1,1,0,0,0,0,3,4,1.8,0,5.3
