"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-28","29-190","IND","@","TOR",-7,0,"24:12",5,13,0.385,0,1,0,6,6,1,0,4,4,2,1,0,2,2,16,9.7,0,25
3,2,"2015-10-29","29-191","IND","","MEM",-9,0,"25:31",4,6,0.667,0,1,0,1,2,0.5,0,4,4,5,1,1,3,0,9,9.4,4,24
4,3,"2015-10-31","29-193","IND","","UTA",-21,0,"22:41",2,6,0.333,0,1,0,0,0,NA,0,2,2,1,1,0,1,1,4,1.5,-5,9.5
5,4,"2015-11-03","29-196","IND","@","DET",12,0,"26:16",9,14,0.643,0,1,0,5,6,0.833,0,4,4,2,1,0,2,2,23,17.2,16,32
6,5,"2015-11-04","29-197","IND","","BOS",2,0,"27:02",3,10,0.3,1,1,1,0,0,NA,2,3,5,0,0,0,1,3,7,1.3,-5,13.3
7,6,"2015-11-06","29-199","IND","","MIA",3,0,"10:24",3,6,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,6,4,-12,8.8
9,7,"2015-11-09","29-202","IND","","ORL",13,0,"17:49",3,8,0.375,0,2,0,0,0,NA,0,2,2,4,2,1,0,1,6,7.3,-2,20.5
14,8,"2015-11-21","29-214","IND","","MIL",37,0,"21:58",3,9,0.333,0,2,0,1,4,0.25,0,2,2,5,1,1,1,1,7,5.1,19,20.5
15,9,"2015-11-24","29-217","IND","@","WAS",17,0,"23:27",2,6,0.333,1,2,0.5,0,0,NA,0,2,2,3,0,0,3,1,5,0.9,-2,11
16,10,"2015-11-27","29-220","IND","","CHI",12,0,"28:15",2,6,0.333,1,1,1,3,4,0.75,0,3,3,0,2,0,3,4,8,2.5,5,14.8
17,11,"2015-11-29","29-222","IND","@","LAL",4,0,"27:09",3,11,0.273,0,1,0,5,5,1,1,6,7,2,0,0,2,1,11,6,-9,21.8
18,12,"2015-12-02","29-225","IND","@","LAC",12,0,"32:15",6,13,0.462,0,2,0,6,6,1,0,5,5,2,1,0,0,2,18,14.4,-3,29.3
19,13,"2015-12-03","29-226","IND","@","POR",-12,0,"31:10",4,11,0.364,1,3,0.333,8,8,1,2,3,5,6,3,0,1,0,17,19.4,-17,38.3
20,14,"2015-12-05","29-228","IND","@","UTA",-3,0,"32:22",8,14,0.571,1,3,0.333,6,7,0.857,2,1,3,3,0,0,2,3,23,16.6,2,30.8
21,15,"2015-12-08","29-231","IND","","GSW",-8,0,"20:12",1,5,0.2,0,2,0,3,3,1,0,1,1,3,1,0,2,0,5,3.3,-1,11.8
22,16,"2015-12-11","29-234","IND","","MIA",13,0,"28:36",2,9,0.222,0,1,0,2,2,1,0,2,2,2,0,0,2,1,6,0.1,4,10.5
23,17,"2015-12-12","29-235","IND","@","DET",-22,0,"23:05",5,8,0.625,0,1,0,0,0,NA,0,3,3,2,0,0,2,2,10,5.9,-5,15.8
24,18,"2015-12-14","29-237","IND","","TOR",16,0,"26:57",5,9,0.556,0,0,NA,0,0,NA,1,3,4,2,1,0,1,1,10,8.3,42,19.5
25,19,"2015-12-16","29-239","IND","","DAL",26,0,"26:16",5,11,0.455,1,1,1,1,1,1,0,3,3,7,2,0,1,3,12,11.9,15,30.3
26,20,"2015-12-18","29-241","IND","","BRK",7,0,"25:44",5,11,0.455,0,1,0,5,7,0.714,2,5,7,1,0,0,0,0,15,12.1,9,25.3
27,21,"2015-12-19","29-242","IND","@","MEM",-12,0,"27:38",3,7,0.429,1,3,0.333,4,5,0.8,0,2,2,2,0,1,3,3,11,5.4,-1,17.5
28,22,"2015-12-21","29-244","IND","@","SAS",-14,0,"26:30",6,11,0.545,2,4,0.5,2,3,0.667,0,4,4,4,0,0,3,0,16,11.3,-8,26.5
29,23,"2015-12-23","29-246","IND","","SAC",-2,0,"19:51",1,8,0.125,0,1,0,2,2,1,0,4,4,0,0,0,3,1,4,-3.4,-20,7.5
30,24,"2015-12-26","29-249","IND","@","MIN",14,0,"23:42",3,9,0.333,1,3,0.333,0,0,NA,1,4,5,8,1,0,2,0,7,8.4,23,26.8
31,25,"2015-12-28","29-251","IND","","ATL",6,0,"25:13",2,7,0.286,0,1,0,2,2,1,0,5,5,1,1,0,0,2,6,4.3,15,15.8
32,26,"2015-12-30","29-253","IND","@","CHI",-2,0,"31:28",5,12,0.417,0,1,0,3,5,0.6,1,1,2,1,1,1,0,2,13,8.4,-2,21
33,27,"2015-12-31","29-254","IND","","MIL",-4,0,"24:57",3,9,0.333,0,1,0,2,3,0.667,0,1,1,4,1,0,0,1,8,6.2,-1,17.3
34,28,"2016-01-02","29-256","IND","","DET",12,0,"25:21",1,4,0.25,0,1,0,1,2,0.5,0,3,3,2,0,0,0,3,3,1.3,-6,9.8
35,29,"2016-01-04","29-258","IND","@","MIA",-3,0,"29:58",3,11,0.273,0,2,0,6,7,0.857,1,4,5,3,0,0,1,3,12,6.9,-20,22.3
36,30,"2016-01-06","29-260","IND","@","ORL",9,0,"27:01",2,6,0.333,0,1,0,2,2,1,0,1,1,3,2,1,2,0,6,5.7,-12,16.8
37,31,"2016-01-08","29-262","IND","@","NOP",5,0,"28:27",4,9,0.444,0,2,0,0,0,NA,2,5,7,4,0,0,3,0,8,6,1,21.3
38,32,"2016-01-10","29-264","IND","@","HOU",-4,0,"29:38",6,10,0.6,0,1,0,1,1,1,0,4,4,2,2,0,2,2,13,10.2,-4,24
39,33,"2016-01-12","29-266","IND","","PHO",19,0,"4:26",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,-2,1.3
58,34,"2016-02-26","29-311","IND","","CHO",-1,0,"12:20",1,6,0.167,0,1,0,2,3,0.667,0,5,5,0,1,0,0,0,4,2.3,5,12.3
59,35,"2016-02-28","29-313","IND","","POR",-9,0,"18:51",3,7,0.429,0,1,0,0,2,0,0,2,2,1,0,0,1,0,6,1.8,-8,9.5
60,36,"2016-02-29","29-314","IND","@","CLE",-4,0,"17:33",1,3,0.333,0,0,NA,0,0,NA,0,1,1,6,1,0,0,1,2,5.4,1,14.3
61,37,"2016-03-02","29-316","IND","@","MIL",5,0,"18:45",5,7,0.714,2,4,0.5,3,4,0.75,0,1,1,2,0,0,1,2,15,11.6,7,19.8
62,38,"2016-03-04","29-318","IND","@","CHO",-7,0,"19:23",3,8,0.375,0,1,0,1,1,1,0,2,2,3,0,0,2,1,7,2.9,-12,13
63,39,"2016-03-05","29-319","IND","@","WAS",1,0,"17:43",2,4,0.5,0,0,NA,2,2,1,0,2,2,0,0,0,0,0,6,4.6,1,8.5
64,40,"2016-03-07","29-321","IND","","SAS",8,0,"18:33",3,7,0.429,1,1,1,5,5,1,0,2,2,3,1,0,0,1,12,11.6,5,21.5
65,41,"2016-03-12","29-326","IND","@","DAL",7,0,"23:20",2,5,0.4,1,2,0.5,5,5,1,0,1,1,2,2,1,3,2,10,7.9,-3,19.3
66,42,"2016-03-13","29-327","IND","@","ATL",-29,0,"10:01",1,3,0.333,0,1,0,0,0,NA,0,0,0,0,1,0,2,0,2,-0.7,-14,3
67,43,"2016-03-15","29-329","IND","","BOS",5,0,"19:27",3,6,0.5,0,0,NA,1,2,0.5,1,0,1,1,1,0,1,0,7,5,5,11.3
68,44,"2016-03-17","29-331","IND","","TOR",-7,0,"17:02",1,5,0.2,0,0,NA,1,2,0.5,0,1,1,3,2,0,1,1,3,2.5,-1,12.3
69,45,"2016-03-19","29-333","IND","","OKC",-4,0,"15:22",4,4,1,0,0,NA,0,0,NA,0,0,0,4,0,0,1,2,8,7.8,-12,13.5
70,46,"2016-03-21","29-335","IND","","PHI",16,0,"18:13",3,12,0.25,2,4,0.5,1,2,0.5,0,2,2,1,1,0,1,2,9,1.9,-1,15.5
71,47,"2016-03-24","29-338","IND","","NOP",8,0,"18:19",2,5,0.4,0,0,NA,4,4,1,0,0,0,2,0,0,0,1,8,6.3,-5,11
72,48,"2016-03-26","29-340","IND","@","BRK",-10,0,"17:00",1,6,0.167,1,3,0.333,3,4,0.75,0,0,0,2,1,0,3,3,6,0,3,10
73,49,"2016-03-27","29-341","IND","","HOU",3,0,"13:47",2,7,0.286,1,3,0.333,0,0,NA,0,1,1,0,0,0,0,0,5,1.2,1,6.8
74,50,"2016-03-29","29-343","IND","","CHI",-2,0,"16:30",1,5,0.2,0,1,0,2,2,1,0,2,2,2,1,0,1,3,4,1.7,-12,11
75,51,"2016-03-31","29-345","IND","","ORL",-20,0,"15:02",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,2,3,0,-2.5,-7,0.5
76,52,"2016-04-02","29-347","IND","@","PHI",13,0,"21:59",6,7,0.857,1,2,0.5,4,5,0.8,0,1,1,5,1,0,0,4,17,17.3,5,28.3
77,53,"2016-04-03","29-348","IND","@","NYK",5,0,"19:35",6,9,0.667,0,0,NA,5,5,1,1,3,4,1,0,0,2,2,17,12.6,12,22.5
78,54,"2016-04-06","29-351","IND","","CLE",14,0,"21:57",2,8,0.25,1,5,0.2,3,3,1,1,2,3,3,0,0,2,1,8,4.2,8,15.8
79,55,"2016-04-08","29-353","IND","@","TOR",-13,0,"15:57",2,7,0.286,0,0,NA,2,2,1,0,2,2,1,2,1,1,1,6,4.5,-7,15.5
80,56,"2016-04-10","29-355","IND","","BRK",24,0,"14:56",2,4,0.5,0,2,0,4,4,1,0,3,3,2,1,0,2,2,8,6.5,18,15.8
81,57,"2016-04-12","29-357","IND","","NYK",12,0,"25:45",4,10,0.4,0,2,0,2,4,0.5,1,2,3,4,2,0,0,0,10,9.9,3,23.8
82,58,"2016-04-13","29-358","IND","@","MIL",5,1,"22:36",4,8,0.5,0,2,0,4,4,1,0,4,4,6,0,0,2,0,12,11.4,1,25
