"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-29","23-221","ATL","@","NYK",11,0,"1:09",0,0,NA,0,0,NA,1,2,0.5,1,0,1,0,0,0,0,0,1,1.3,-3,2.3
8,2,"2015-11-07","23-230","ATL","","WAS",15,0,"0:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,0,0
16,3,"2015-11-24","23-247","ATL","","BOS",24,0,"2:51",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,0,0,-1,2.3
25,4,"2015-12-12","23-265","ATL","","SAS",-25,0,"7:15",1,3,0.333,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,3,0.9,-2,3
34,5,"2015-12-29","23-282","ATL","@","HOU",6,0,"10:15",3,5,0.6,0,0,NA,0,0,NA,3,3,6,0,1,0,2,1,6,5.3,-6,14.5
35,6,"2016-01-03","23-287","ATL","@","NYK",-14,0,"18:10",2,4,0.5,0,0,NA,0,2,0,1,3,4,0,0,3,1,0,4,3.9,0,14.5
36,7,"2016-01-05","23-289","ATL","","NYK",-6,0,"12:57",2,3,0.667,0,0,NA,1,2,0.5,1,2,3,0,0,2,0,2,5,5.2,-6,12.8
45,8,"2016-01-23","23-307","ATL","@","PHO",-3,0,"4:32",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,-5,1.5
50,9,"2016-02-01","23-316","ATL","","DAL",15,0,"3:17",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,-2,1.3
51,10,"2016-02-03","23-318","ATL","@","PHI",38,0,"8:06",2,3,0.667,0,0,NA,0,0,NA,1,3,4,0,0,1,1,2,4,3.2,9,10.5
62,11,"2016-03-04","23-348","ATL","@","LAL",29,0,"3:10",1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,2.7,6,4.8
