"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","27-139","ATL","","DET",-12,1,"31:52",7,16,0.438,1,3,0.333,3,4,0.75,0,2,2,4,0,0,5,1,18,7.2,-23,24.5
2,2,"2015-10-29","27-141","ATL","@","NYK",11,1,"29:45",7,12,0.583,0,2,0,9,10,0.9,0,4,4,8,1,0,3,1,23,21.4,18,40.5
3,3,"2015-10-30","27-142","ATL","","CHO",3,1,"33:41",6,14,0.429,0,4,0,2,2,1,0,1,1,4,0,1,3,2,14,6.6,-3,21.8
4,4,"2015-11-01","27-144","ATL","@","CHO",2,1,"32:11",6,16,0.375,2,4,0.5,4,4,1,0,6,6,4,1,0,1,2,18,13,-3,34
5,5,"2015-11-03","27-146","ATL","@","MIA",6,1,"34:23",9,18,0.5,2,2,1,6,7,0.857,2,4,6,9,1,0,3,3,26,22.3,20,48.5
6,6,"2015-11-04","27-147","ATL","","BRK",14,1,"28:11",4,8,0.5,0,2,0,8,10,0.8,0,1,1,6,3,1,2,2,16,16.6,-3,33.3
7,7,"2015-11-06","27-149","ATL","@","NOP",6,1,"31:53",5,16,0.313,1,4,0.25,8,10,0.8,1,1,2,7,1,1,3,2,19,12.8,2,35
8,8,"2015-11-07","27-150","ATL","","WAS",15,1,"27:07",4,16,0.25,2,4,0.5,0,0,NA,1,3,4,8,4,0,4,1,10,7.2,10,34
9,9,"2015-11-09","27-152","ATL","","MIN",-10,1,"34:52",10,17,0.588,1,4,0.25,3,3,1,0,2,2,9,1,3,6,3,24,18.9,-2,45.5
10,10,"2015-11-11","27-154","ATL","","NOP",8,1,"29:33",6,16,0.375,1,2,0.5,1,2,0.5,0,0,0,10,2,1,1,4,14,11.9,2,36.5
11,11,"2015-11-13","27-156","ATL","@","BOS",-13,1,"25:15",2,6,0.333,0,0,NA,2,2,1,1,3,4,3,0,0,3,1,6,2.9,-13,14
15,12,"2015-11-21","27-164","ATL","@","CLE",-12,0,"25:53",3,12,0.25,2,3,0.667,5,5,1,1,0,1,4,2,0,1,2,13,9.5,-14,24.8
16,13,"2015-11-24","27-167","ATL","","BOS",24,1,"25:43",4,10,0.4,1,2,0.5,7,9,0.778,0,0,0,9,2,0,3,5,16,13.1,13,32.5
17,14,"2015-11-25","27-168","ATL","@","MIN",-4,1,"33:46",8,17,0.471,1,5,0.2,5,7,0.714,1,4,5,5,2,0,2,2,22,17.1,-3,39.3
18,15,"2015-11-27","27-170","ATL","@","MEM",15,1,"29:13",5,7,0.714,4,6,0.667,6,6,1,0,2,2,7,1,0,1,2,20,21.8,29,36.5
19,16,"2015-11-28","27-171","ATL","@","SAS",-20,1,"22:30",2,10,0.2,1,4,0.25,1,2,0.5,1,2,3,4,0,0,4,3,6,-1.7,-23,14.3
20,17,"2015-11-30","27-173","ATL","","OKC",6,1,"31:02",10,17,0.588,2,4,0.5,3,3,1,1,2,3,5,0,0,6,4,25,14.3,5,34.3
21,18,"2015-12-02","27-175","ATL","","TOR",-10,1,"33:35",5,16,0.313,1,3,0.333,0,1,0,2,3,5,10,0,1,1,1,11,10,-6,35.8
22,19,"2015-12-04","27-177","ATL","","LAL",13,1,"31:29",5,9,0.556,1,3,0.333,2,2,1,0,1,1,5,2,0,1,0,13,13.5,8,25.8
23,20,"2015-12-09","27-182","ATL","@","DAL",3,1,"31:35",3,11,0.273,2,3,0.667,6,6,1,0,2,2,6,0,0,2,4,14,8.7,0,25.5
24,21,"2015-12-10","27-183","ATL","@","OKC",-13,1,"32:20",8,14,0.571,1,2,0.5,1,1,1,0,5,5,4,2,0,1,2,18,15.9,-9,34.3
25,22,"2015-12-12","27-185","ATL","","SAS",-25,1,"23:42",0,5,0,0,1,0,4,4,1,0,1,1,3,0,0,5,2,4,-2.9,-24,7.3
26,23,"2015-12-14","27-187","ATL","","MIA",-12,1,"28:21",2,12,0.167,1,3,0.333,2,2,1,0,1,1,4,0,0,0,4,7,0.9,-12,14.8
27,24,"2015-12-16","27-189","ATL","","PHI",21,1,"23:10",6,9,0.667,2,3,0.667,4,4,1,0,3,3,4,2,2,1,1,18,19.8,6,36.3
28,25,"2015-12-18","27-191","ATL","@","BOS",8,1,"19:55",1,6,0.167,0,1,0,4,4,1,1,1,2,6,0,0,2,2,6,4.6,-12,16.5
29,26,"2015-12-20","27-193","ATL","@","ORL",3,1,"27:23",4,7,0.571,0,0,NA,6,8,0.75,0,2,2,1,1,0,6,3,14,5,-1,17
30,27,"2015-12-21","27-194","ATL","","POR",9,1,"31:02",4,12,0.333,0,4,0,5,6,0.833,0,2,2,8,2,0,2,2,13,11.2,0,30.5
31,28,"2015-12-23","27-196","ATL","","DET",7,1,"31:52",10,19,0.526,0,3,0,3,5,0.6,4,2,6,9,4,0,2,3,23,23.4,7,51
32,29,"2015-12-26","27-199","ATL","","NYK",19,1,"25:46",6,12,0.5,1,2,0.5,4,4,1,2,0,2,4,2,0,1,2,17,15.4,1,29.5
33,30,"2015-12-28","27-201","ATL","@","IND",-6,1,"35:07",3,9,0.333,1,2,0.5,11,14,0.786,0,5,5,4,1,0,6,3,18,9.8,2,29.8
34,31,"2015-12-29","27-202","ATL","@","HOU",6,1,"33:34",8,18,0.444,2,3,0.667,4,5,0.8,0,2,2,8,3,0,1,2,22,19.6,23,43
