"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","30-040","PHO","","DAL",-16,0,"17:38",2,10,0.2,1,5,0.2,0,1,0,1,4,5,1,0,0,1,2,5,-0.8,4,12.8
2,2,"2015-10-30","30-042","PHO","","POR",18,0,"2:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,1,-1,2
3,3,"2015-10-31","30-043","PHO","@","POR",11,0,"4:03",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,2,0
4,4,"2015-11-02","30-045","PHO","@","LAC",-6,0,"4:48",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-1,0
5,5,"2015-11-04","30-047","PHO","","SAC",21,0,"6:19",1,1,1,1,1,1,0,0,NA,0,2,2,2,1,0,0,0,3,5.7,-3,11
6,6,"2015-11-06","30-049","PHO","","DET",-8,0,"8:43",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,3,2.3,-11,4.8
7,7,"2015-11-08","30-051","PHO","@","OKC",-21,0,"6:21",1,3,0.333,1,2,0.5,0,0,NA,1,0,1,0,0,0,0,1,3,1.6,3,4.8
8,8,"2015-11-12","30-055","PHO","","LAC",14,0,"18:19",2,7,0.286,2,6,0.333,0,0,NA,0,1,1,3,1,0,0,2,6,4.5,2,14.8
9,9,"2015-11-14","30-057","PHO","","DEN",24,0,"29:11",3,10,0.3,3,7,0.429,2,2,1,2,7,9,3,0,0,2,0,11,8.8,11,27.3
10,10,"2015-11-16","30-059","PHO","","LAL",19,0,"26:58",4,10,0.4,3,8,0.375,0,0,NA,2,2,4,1,1,1,0,1,11,9.6,13,23
11,11,"2015-11-18","30-061","PHO","","CHI",-6,0,"13:01",2,5,0.4,2,5,0.4,0,0,NA,0,3,3,1,0,0,0,0,6,4.9,13,12.3
12,12,"2015-11-20","30-063","PHO","@","DEN",7,0,"20:45",6,10,0.6,3,6,0.5,0,0,NA,2,3,5,3,0,1,2,3,15,12.3,2,28.3
13,13,"2015-11-22","30-065","PHO","@","NOP",-6,0,"23:49",4,10,0.4,3,7,0.429,0,0,NA,0,2,2,1,0,1,1,1,11,6.2,-1,18
14,14,"2015-11-23","30-066","PHO","@","SAS",-14,0,"22:30",3,7,0.429,3,4,0.75,0,0,NA,2,4,6,1,2,1,1,0,9,10.3,-4,25
15,15,"2015-11-25","30-068","PHO","","NOP",-6,0,"21:11",2,9,0.222,1,5,0.2,2,2,1,0,1,1,0,0,0,0,2,7,1,-9,8.8
16,16,"2015-11-27","30-070","PHO","","GSW",-19,0,"21:01",3,9,0.333,2,5,0.4,2,2,1,0,2,2,1,1,2,0,1,10,8.2,-1,21
17,17,"2015-11-29","30-072","PHO","@","TOR",5,0,"18:19",7,9,0.778,6,7,0.857,0,0,NA,1,1,2,1,0,0,0,0,20,18.2,-4,27
18,18,"2015-12-01","30-074","PHO","@","BRK",-3,0,"19:07",4,9,0.444,4,9,0.444,0,0,NA,0,5,5,0,0,0,0,3,12,7.6,-2,20.3
19,19,"2015-12-02","30-075","PHO","@","DET",-5,0,"39:05",7,13,0.538,4,7,0.571,0,0,NA,0,4,4,1,1,0,2,3,18,11.4,6,27.5
20,20,"2015-12-04","30-077","PHO","@","WAS",-3,0,"7:28",0,2,0,0,1,0,2,3,0.667,1,1,2,1,0,0,1,0,2,0.9,-9,5.5
21,21,"2015-12-06","30-079","PHO","@","MEM",-2,0,"24:26",5,10,0.5,3,8,0.375,1,2,0.5,0,6,6,0,1,0,0,3,14,10.2,-13,25
22,22,"2015-12-07","30-080","PHO","@","CHI",2,0,"31:26",7,12,0.583,4,6,0.667,2,2,1,1,3,4,2,0,2,1,0,20,17.8,12,33.5
23,23,"2015-12-09","30-082","PHO","","ORL",3,0,"28:29",5,10,0.5,4,8,0.5,1,2,0.5,0,5,5,3,0,0,2,3,15,10,0,26.8
24,24,"2015-12-11","30-084","PHO","","POR",-10,0,"24:56",5,12,0.417,4,10,0.4,1,2,0.5,0,6,6,2,0,0,2,1,15,9,6,26.5
25,25,"2015-12-13","30-086","PHO","","MIN",7,0,"20:13",4,7,0.571,0,2,0,0,1,0,0,2,2,0,0,0,1,1,8,3.5,2,10
26,26,"2015-12-14","30-087","PHO","@","DAL",-10,0,"15:29",0,5,0,0,3,0,0,0,NA,0,4,4,0,0,0,1,1,0,-3.7,-22,4.5
27,27,"2015-12-16","30-089","PHO","@","GSW",-25,0,"24:05",9,13,0.692,3,5,0.6,3,3,1,1,3,4,2,0,0,2,2,24,18.7,-6,32.5
28,28,"2015-12-18","30-091","PHO","","NOP",16,0,"2:53",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-8,2
29,29,"2015-12-20","30-093","PHO","","MIL",-6,0,"10:15",1,8,0.125,1,6,0.167,0,0,NA,0,4,4,1,0,0,1,1,3,-1.7,0,9.5
30,30,"2015-12-21","30-094","PHO","@","UTA",-21,0,"20:35",5,6,0.833,3,4,0.75,4,4,1,0,7,7,0,0,0,1,3,17,14.7,1,26.8
