"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-187","NYK","@","MIL",25,0,"19:31",5,5,1,0,0,NA,3,3,1,1,2,3,1,0,0,1,1,13,12.1,20,17.8
2,2,"2015-10-29","27-188","NYK","","ATL",-11,0,"22:23",2,6,0.333,2,3,0.667,2,2,1,0,3,3,1,0,0,2,3,8,3,-4,13.3
3,3,"2015-10-31","27-190","NYK","@","WAS",7,0,"26:08",6,8,0.75,0,0,NA,0,1,0,0,1,1,1,1,0,2,2,12,7.6,0,15.8
4,4,"2015-11-02","27-192","NYK","","SAS",-10,0,"16:07",1,4,0.25,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,-0.4,3,2
5,5,"2015-11-04","27-194","NYK","@","CLE",-10,0,"15:26",1,3,0.333,0,0,NA,0,1,0,1,0,1,1,0,0,1,3,2,-0.9,-10,4.3
6,6,"2015-11-06","27-196","NYK","","MIL",-7,0,"17:28",2,5,0.4,0,1,0,1,1,1,0,2,2,0,0,0,0,1,5,2.5,-9,7.5
7,7,"2015-11-08","27-198","NYK","","LAL",4,0,"18:14",2,3,0.667,0,0,NA,3,4,0.75,0,2,2,0,0,0,0,0,7,5.9,-4,9.5
8,8,"2015-11-10","27-200","NYK","@","TOR",2,0,"22:14",5,7,0.714,3,3,1,4,4,1,1,2,3,0,0,0,0,2,17,14.6,0,22.3
9,9,"2015-11-11","27-201","NYK","@","CHO",-2,0,"14:55",0,3,0,0,3,0,0,0,NA,1,0,1,1,0,0,0,2,0,-1.5,-9,2.8
10,10,"2015-11-13","27-203","NYK","","CLE",-6,0,"16:01",0,3,0,0,1,0,0,0,NA,0,1,1,0,1,0,3,3,0,-5,-9,1.8
11,11,"2015-11-15","27-205","NYK","","NOP",8,0,"20:00",2,8,0.25,1,3,0.333,2,2,1,0,1,1,0,0,0,1,1,7,1.1,5,8.3
12,12,"2015-11-17","27-207","NYK","","CHO",8,0,"9:51",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.8,-7,0
13,13,"2015-11-20","27-210","NYK","@","OKC",3,0,"19:32",5,9,0.556,2,3,0.667,0,0,NA,2,1,3,1,0,0,0,0,12,10.1,5,18.3
14,14,"2015-11-21","27-211","NYK","@","HOU",5,0,"24:22",3,8,0.375,0,2,0,2,2,1,1,2,3,2,1,0,1,2,8,5.5,-4,16.3
15,15,"2015-11-23","27-213","NYK","@","MIA",-17,0,"5:17",0,4,0,0,3,0,0,0,NA,0,1,1,0,0,0,0,2,0,-3.3,-13,1.3
16,16,"2015-11-25","27-215","NYK","@","ORL",-9,0,"18:41",1,3,0.333,0,1,0,4,4,1,1,0,1,0,0,0,0,0,6,5,-8,7.3
17,17,"2015-11-27","27-217","NYK","","MIA",-19,0,"13:35",1,4,0.25,0,1,0,2,2,1,1,0,1,1,0,0,0,1,4,2.6,-7,6.8
18,18,"2015-11-29","27-219","NYK","","HOU",-5,1,"36:22",6,10,0.6,1,2,0.5,2,2,1,1,2,3,0,0,0,2,2,15,8.9,-13,18.3
19,19,"2015-12-02","27-222","NYK","","PHI",12,0,"21:32",4,7,0.571,0,1,0,2,3,0.667,1,1,2,0,0,1,1,1,10,6.6,8,14
20,20,"2015-12-04","27-224","NYK","","BRK",17,0,"21:44",3,9,0.333,1,4,0.25,2,2,1,1,1,2,0,1,0,2,2,9,3.1,2,13
21,21,"2015-12-05","27-225","NYK","@","MIL",-15,0,"24:41",6,11,0.545,2,4,0.5,3,4,0.75,0,0,0,1,0,0,1,1,17,10.6,3,19
22,22,"2015-12-07","27-227","NYK","","DAL",-7,0,"27:17",4,9,0.444,2,5,0.4,1,1,1,0,2,2,0,0,0,2,3,11,3.7,5,13.5
