"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-30","29-101","GSW","@","HOU",20,0,"6:26",2,3,0.667,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,4,3.6,-3,7.8
5,2,"2015-11-02","29-104","GSW","","MEM",50,0,"10:10",1,3,0.333,0,0,NA,0,0,NA,1,3,4,2,2,1,1,1,2,4.6,8,15.5
7,3,"2015-11-06","29-108","GSW","","DEN",15,0,"7:03",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,2,2,2,-0.8,-2,2.3
8,4,"2015-11-07","29-109","GSW","@","SAC",9,0,"6:55",1,2,0.5,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,2,1.9,9,5.8
10,5,"2015-11-11","29-113","GSW","@","MEM",16,0,"1:00",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,2,2
14,6,"2015-11-19","29-121","GSW","@","LAC",7,0,"2:31",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,3,0,-1.6,4,1.3
17,7,"2015-11-24","29-126","GSW","","LAL",34,0,"12:00",1,4,0.25,0,0,NA,1,2,0.5,2,0,2,3,0,1,0,2,3,3.6,0,12
18,8,"2015-11-27","29-129","GSW","@","PHO",19,0,"4:14",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,0,0.9,-5,4
19,9,"2015-11-28","29-130","GSW","","SAC",19,0,"5:53",0,2,0,0,0,NA,0,0,NA,1,1,2,1,0,0,0,0,0,0.3,-9,4
21,10,"2015-12-02","29-134","GSW","@","CHO",17,0,"5:57",0,1,0,0,0,NA,0,0,NA,0,4,4,0,0,1,1,1,0,-0.2,-4,6.5
23,11,"2015-12-06","29-138","GSW","@","BRK",16,0,"2:11",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,-2,3.3
26,12,"2015-12-12","29-144","GSW","@","MIL",-13,0,"5:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,1,0,0.3,-9,2
27,13,"2015-12-16","29-148","GSW","","PHO",25,0,"4:06",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,0.9,-12,3.8
28,14,"2015-12-18","29-150","GSW","","MIL",9,0,"3:39",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,2,0.9,-4,2
31,15,"2015-12-28","29-160","GSW","","SAC",19,0,"8:09",1,2,0.5,0,0,NA,1,2,0.5,1,1,2,3,0,0,1,4,3,2.1,2,9.5
32,16,"2015-12-30","29-162","GSW","@","DAL",-23,0,"10:08",0,2,0,0,0,NA,4,6,0.667,1,3,4,1,0,0,0,2,4,3.3,-6,10.5
34,17,"2016-01-02","29-165","GSW","","DEN",3,0,"12:16",2,4,0.5,0,0,NA,5,8,0.625,0,3,3,2,0,0,0,2,9,7.3,-13,15.8
36,18,"2016-01-05","29-168","GSW","@","LAL",21,0,"12:12",2,2,1,0,0,NA,0,0,NA,0,3,3,0,0,1,0,4,4,3.4,-9,9.8
40,19,"2016-01-13","29-176","GSW","@","DEN",-2,1,"12:49",1,4,0.25,0,0,NA,2,2,1,1,3,4,1,0,1,0,3,4,3.4,3,12.5
43,20,"2016-01-18","29-181","GSW","@","CLE",34,0,"6:44",0,1,0,0,0,NA,1,2,0.5,0,3,3,1,0,0,0,3,1,0.3,-3,6.3
44,21,"2016-01-20","29-183","GSW","@","CHI",31,0,"3:53",0,0,NA,0,0,NA,1,2,0.5,0,3,3,1,0,1,0,0,1,2.9,7,8.3
45,22,"2016-01-25","29-188","GSW","","SAS",30,0,"6:59",1,2,0.5,0,0,NA,2,2,1,0,2,2,1,1,0,1,1,4,3.9,3,9.5
46,23,"2016-01-27","29-190","GSW","","DAL",20,0,"3:28",3,3,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,6,5.4,3,7.3
47,24,"2016-01-30","29-193","GSW","@","PHI",3,0,"10:39",1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,0,1,4,2,0.1,3,4.3
48,25,"2016-01-31","29-194","GSW","@","NYK",21,0,"3:11",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,1,0,0,1,1.3,2,3
52,26,"2016-02-10","29-204","GSW","@","PHO",8,0,"3:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,0,-0.1,-8,1.5
53,27,"2016-02-19","29-213","GSW","@","POR",-32,0,"6:21",0,1,0,0,0,NA,2,4,0.5,1,1,2,0,1,0,0,0,2,2.5,-5,6.5
54,28,"2016-02-20","29-214","GSW","@","LAC",3,0,"1:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-10,0
56,29,"2016-03-04","29-227","TOR","","POR",2,0,"1:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
58,30,"2016-03-08","29-231","TOR","","BRK",5,1,"24:05",4,6,0.667,1,2,0.5,0,0,NA,1,4,5,2,1,2,2,3,9,8.9,-2,23.8
61,31,"2016-03-14","29-237","TOR","","CHI",-2,0,"12:26",2,2,1,0,0,NA,3,3,1,1,3,4,0,1,0,0,1,7,8.6,5,14
62,32,"2016-03-15","29-238","TOR","@","MIL",18,0,"23:06",1,3,0.333,0,0,NA,0,0,NA,2,4,6,0,1,1,1,5,2,1.6,5,13
63,33,"2016-03-17","29-240","TOR","@","IND",7,0,"10:47",0,0,NA,0,0,NA,4,4,1,1,1,2,0,0,0,1,3,4,2.8,-12,6
64,34,"2016-03-18","29-241","TOR","","BOS",14,0,"24:27",1,3,0.333,0,2,0,3,3,1,0,5,5,1,1,2,0,3,5,6.7,10,18.8
65,35,"2016-03-20","29-243","TOR","","ORL",5,0,"27:41",2,7,0.286,0,0,NA,4,5,0.8,5,5,10,1,2,0,1,3,8,9,13,25.5
66,36,"2016-03-23","29-246","TOR","@","BOS",-12,0,"24:02",3,5,0.6,0,0,NA,0,1,0,3,7,10,1,0,1,1,2,6,7.1,-4,21.5
68,37,"2016-03-26","29-249","TOR","@","NOP",24,0,"6:49",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,1,0,0,1,2,1.9,-3,5.3
69,38,"2016-03-28","29-251","TOR","","OKC",-19,0,"3:41",1,1,1,0,0,NA,0,0,NA,1,1,2,0,0,1,0,2,2,2.6,4,6.5
70,39,"2016-03-30","29-253","TOR","","ATL",8,1,"15:13",1,3,0.333,0,0,NA,0,0,NA,1,2,3,0,0,1,0,3,2,1.1,10,7.8
71,40,"2016-04-01","29-255","TOR","@","MEM",4,1,"21:46",3,5,0.6,0,1,0,0,0,NA,1,5,6,0,0,1,1,1,6,5.2,10,15
72,41,"2016-04-02","29-256","TOR","@","SAS",-7,0,"12:44",2,3,0.667,1,1,1,0,0,NA,0,0,0,1,0,0,0,1,5,4,-4,7
