"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","24-228","CLE","@","CHI",-2,0,"24:55",1,4,0.25,0,0,NA,0,0,NA,2,10,12,0,1,0,1,4,2,2.4,-6,18.5
2,2,"2015-10-28","24-229","CLE","@","MEM",30,0,"19:59",2,2,1,0,0,NA,1,2,0.5,3,5,8,1,0,0,2,4,5,4.7,19,15.5
3,3,"2015-10-30","24-231","CLE","","MIA",10,0,"26:03",6,9,0.667,0,0,NA,1,2,0.5,2,7,9,1,0,1,0,1,13,13.2,14,27.8
4,4,"2015-11-02","24-234","CLE","@","PHI",7,0,"26:18",4,7,0.571,0,0,NA,0,2,0,0,9,9,1,0,3,0,2,8,8.6,5,26.8
5,5,"2015-11-04","24-236","CLE","","NYK",10,0,"25:36",4,6,0.667,0,0,NA,2,2,1,4,9,13,1,0,1,1,1,10,12.9,15,30.8
6,6,"2015-11-06","24-238","CLE","","PHI",6,0,"23:07",1,1,1,0,0,NA,1,2,0.5,2,9,11,0,0,0,0,2,3,5.6,-3,16.8
7,7,"2015-11-08","24-240","CLE","","IND",4,0,"30:27",7,8,0.875,0,0,NA,2,4,0.5,3,5,8,1,2,0,0,3,16,17.5,6,31.5
8,8,"2015-11-10","24-242","CLE","","UTA",4,0,"27:34",2,5,0.4,0,0,NA,4,5,0.8,4,3,7,0,0,3,1,2,8,8.9,5,22.3
9,9,"2015-11-13","24-245","CLE","@","NYK",6,0,"20:31",1,4,0.25,0,0,NA,2,6,0.333,2,8,10,1,1,0,1,1,4,4.1,9,19.5
10,10,"2015-11-14","24-246","CLE","@","MIL",-3,0,"25:30",3,4,0.75,0,0,NA,0,0,NA,0,4,4,0,0,0,0,3,6,4.4,-7,11
11,11,"2015-11-17","24-249","CLE","@","DET",-5,0,"20:58",2,5,0.4,0,0,NA,0,0,NA,1,8,9,0,1,0,0,1,4,5,-3,17.3
12,12,"2015-11-19","24-251","CLE","","MIL",15,0,"25:38",5,7,0.714,0,0,NA,2,3,0.667,4,7,11,1,1,0,2,4,12,11.7,2,29.8
13,13,"2015-11-21","24-253","CLE","","ATL",12,1,"40:18",4,9,0.444,0,0,NA,1,2,0.5,6,10,16,5,0,2,2,2,9,13.2,9,39.5
14,14,"2015-11-23","24-255","CLE","","ORL",14,1,"34:19",3,4,0.75,0,0,NA,3,4,0.75,3,11,14,1,0,0,1,4,9,10.5,23,27.5
15,15,"2015-11-25","24-257","CLE","@","TOR",-4,1,"37:24",4,8,0.5,0,0,NA,0,0,NA,3,8,11,2,1,1,0,4,8,10,1,28.8
16,16,"2015-11-27","24-259","CLE","@","CHO",5,0,"29:35",3,7,0.429,0,0,NA,1,2,0.5,3,9,12,1,1,0,3,5,7,4.4,5,24
17,17,"2015-11-28","24-260","CLE","","BRK",2,0,"31:37",4,11,0.364,0,0,NA,2,5,0.4,6,5,11,2,0,0,2,3,10,6.6,1,27.3
18,18,"2015-12-01","24-263","CLE","","WAS",-12,0,"27:18",2,6,0.333,0,0,NA,2,4,0.5,3,8,11,0,0,0,2,2,6,3.5,8,18.8
19,19,"2015-12-04","24-266","CLE","@","NOP",-6,0,"32:02",2,4,0.5,0,0,NA,1,2,0.5,4,6,10,1,1,0,1,3,5,6.7,-5,20.5
20,20,"2015-12-05","24-267","CLE","@","MIA",-15,0,"22:20",3,4,0.75,0,0,NA,0,2,0,2,4,6,0,1,0,0,4,6,5.6,-16,15.5
21,21,"2015-12-08","24-270","CLE","","POR",5,0,"19:16",1,3,0.333,0,0,NA,0,0,NA,1,5,6,0,0,0,1,2,2,0.7,8,9
22,22,"2015-12-11","24-273","CLE","@","ORL",35,0,"19:39",1,3,0.333,0,0,NA,0,0,NA,1,5,6,0,1,0,0,0,2,3.5,11,11.5
23,23,"2015-12-15","24-277","CLE","@","BOS",12,0,"22:27",0,2,0,0,0,NA,0,0,NA,1,8,9,0,0,0,0,0,0,1.7,-4,11.3
24,24,"2015-12-17","24-279","CLE","","OKC",4,0,"34:51",7,10,0.7,0,0,NA,0,2,0,11,4,15,1,0,1,1,3,14,17.1,13,37.3
25,25,"2015-12-20","24-282","CLE","","PHI",22,0,"21:43",2,4,0.5,0,0,NA,2,2,1,2,4,6,1,0,1,0,2,6,7.2,36,17
26,26,"2015-12-23","24-285","CLE","","NYK",7,0,"29:28",2,5,0.4,0,0,NA,6,6,1,7,7,14,0,0,0,0,1,10,13.9,7,29
27,27,"2015-12-25","24-287","CLE","@","GSW",-6,0,"26:50",3,6,0.5,0,0,NA,2,2,1,3,7,10,1,1,0,0,5,8,8.9,9,24
28,28,"2015-12-26","24-288","CLE","@","POR",-29,0,"21:54",2,3,0.667,0,0,NA,0,0,NA,4,7,11,1,0,0,1,3,4,6.1,-18,18.8
29,29,"2015-12-28","24-290","CLE","@","PHO",4,1,"31:36",2,3,0.667,0,0,NA,1,3,0.333,4,6,10,0,0,0,1,1,5,6.1,-1,17
30,30,"2015-12-29","24-291","CLE","@","DEN",6,1,"34:39",4,7,0.571,0,0,NA,1,6,0.167,2,5,7,0,1,1,0,1,9,7.9,5,21.8
31,31,"2016-01-02","24-295","CLE","","ORL",25,1,"28:51",4,6,0.667,0,0,NA,2,8,0.25,6,6,12,0,0,0,0,0,10,11,17,26.5
32,32,"2016-01-04","24-297","CLE","","TOR",22,1,"31:26",4,6,0.667,0,0,NA,6,6,1,4,7,11,0,0,1,2,3,14,13.8,12,30.3
33,33,"2016-01-06","24-299","CLE","@","WAS",6,1,"35:41",4,7,0.571,0,0,NA,4,6,0.667,1,2,3,1,0,0,0,3,12,8.7,-3,17.3
34,34,"2016-01-08","24-301","CLE","@","MIN",26,1,"29:05",2,3,0.667,0,0,NA,2,2,1,4,3,7,1,0,0,1,1,6,7.7,11,15.8
35,35,"2016-01-10","24-303","CLE","@","PHI",10,1,"37:24",2,5,0.4,0,0,NA,6,8,0.75,7,3,10,1,0,0,0,5,10,11,12,25.5
36,36,"2016-01-12","24-305","CLE","@","DAL",3,1,"23:02",1,2,0.5,0,0,NA,0,0,NA,1,5,6,1,0,0,0,2,2,3.1,-19,11
37,37,"2016-01-14","24-307","CLE","@","SAS",-4,1,"35:24",7,11,0.636,0,0,NA,4,5,0.8,4,10,14,1,1,0,2,3,18,17,1,39.5
38,38,"2016-01-15","24-308","CLE","@","HOU",14,0,"22:24",4,4,1,0,0,NA,2,2,1,3,2,5,1,0,1,0,4,10,11.3,7,19.8
39,39,"2016-01-18","24-311","CLE","","GSW",-34,0,"12:21",0,1,0,0,0,NA,2,2,1,1,1,2,0,0,0,0,4,2,0.7,-15,4.5
40,40,"2016-01-20","24-313","CLE","@","BRK",13,0,"27:47",6,8,0.75,0,0,NA,2,2,1,3,7,10,1,0,0,0,0,14,15.7,14,29.5
41,41,"2016-01-21","24-314","CLE","","LAC",13,0,"23:45",2,6,0.333,0,0,NA,4,6,0.667,5,7,12,0,0,0,2,4,8,5.8,7,22
42,42,"2016-01-23","24-316","CLE","","CHI",-13,0,"21:46",0,2,0,0,0,NA,1,4,0.25,4,1,5,0,0,0,1,4,1,-1.1,-19,6.8
43,43,"2016-01-25","24-318","CLE","","MIN",7,1,"34:04",8,10,0.8,0,0,NA,3,7,0.429,7,5,12,2,0,0,0,2,19,20.6,9,38.5
44,44,"2016-01-27","24-320","CLE","","PHO",22,1,"28:26",2,4,0.5,0,0,NA,1,2,0.5,2,3,5,0,0,1,1,1,5,4.2,12,12.8
45,45,"2016-01-29","24-322","CLE","@","DET",8,1,"31:25",3,5,0.6,0,0,NA,5,5,1,3,11,14,0,0,1,1,2,11,13,16,31.5
46,46,"2016-01-30","24-323","CLE","","SAS",14,1,"34:42",3,4,0.75,0,0,NA,4,4,1,2,5,7,1,0,1,1,1,10,11.3,15,21.8
47,47,"2016-02-01","24-325","CLE","@","IND",5,1,"40:55",7,7,1,0,0,NA,0,1,0,7,5,12,0,0,0,3,3,14,13.7,5,29
48,48,"2016-02-03","24-327","CLE","@","CHO",-9,1,"34:07",2,4,0.5,0,0,NA,0,0,NA,2,2,4,0,0,0,0,2,4,3.2,-6,9
49,49,"2016-02-05","24-329","CLE","","BOS",-1,1,"31:59",1,3,0.333,0,0,NA,1,2,0.5,4,6,10,0,1,2,0,3,3,6.7,-4,21.5
50,50,"2016-02-06","24-330","CLE","","NOP",15,1,"32:51",0,4,0,0,0,NA,0,0,NA,7,8,15,1,0,0,1,4,0,2.6,0,19.8
51,51,"2016-02-08","24-332","CLE","","SAC",20,1,"21:33",1,2,0.5,0,0,NA,0,0,NA,3,7,10,0,1,1,1,3,2,4.7,8,18
52,52,"2016-02-10","24-334","CLE","","LAL",9,1,"34:24",6,6,1,0,0,NA,3,3,1,7,6,13,4,0,1,0,2,15,22.6,18,40.8
53,53,"2016-02-18","24-342","CLE","","CHI",11,1,"30:48",8,10,0.8,0,0,NA,0,1,0,1,9,10,0,3,2,0,3,16,18.4,14,40
54,54,"2016-02-21","24-345","CLE","@","OKC",23,1,"35:57",4,6,0.667,0,0,NA,6,8,0.75,5,9,14,1,0,1,0,2,14,17.4,19,36.5
55,55,"2016-02-22","24-346","CLE","","DET",-8,1,"21:13",0,2,0,0,0,NA,0,0,NA,2,4,6,0,0,1,1,1,0,0.5,-22,9
56,56,"2016-02-24","24-348","CLE","","CHO",11,1,"23:15",3,6,0.5,0,0,NA,0,0,NA,4,6,10,2,0,0,1,2,6,7.2,-3,21
57,57,"2016-02-26","24-350","CLE","@","TOR",-2,1,"28:52",3,6,0.5,0,0,NA,0,0,NA,3,7,10,2,0,0,1,3,6,6.4,7,21
58,58,"2016-02-28","24-352","CLE","@","WAS",-14,1,"21:28",1,4,0.25,0,0,NA,0,2,0,0,2,2,2,0,0,0,2,2,0,-16,7.5
59,59,"2016-02-29","24-353","CLE","","IND",4,0,"31:01",6,7,0.857,0,0,NA,2,3,0.667,3,8,11,0,0,1,0,2,14,15.5,7,31.3
60,60,"2016-03-04","24-357","CLE","","WAS",25,0,"22:26",4,9,0.444,0,0,NA,2,2,1,2,5,7,0,1,2,0,1,10,10.2,10,24.8
61,61,"2016-03-05","24-358","CLE","","BOS",17,0,"27:32",4,6,0.667,0,0,NA,4,5,0.8,4,1,5,0,1,0,3,3,12,8.9,15,18.8
62,62,"2016-03-07","24-360","CLE","","MEM",-3,0,"26:55",5,6,0.833,0,0,NA,1,3,0.333,0,6,6,0,0,3,2,3,11,8.7,11,23.5
63,63,"2016-03-09","24-362","CLE","@","SAC",9,1,"37:21",6,8,0.75,0,0,NA,6,8,0.75,7,8,15,0,1,0,2,5,18,18.3,12,39.3
64,64,"2016-03-10","24-363","CLE","@","LAL",12,1,"34:04",3,5,0.6,0,0,NA,4,6,0.667,4,10,14,1,1,0,1,0,10,13.4,21,32
65,65,"2016-03-13","25-000","CLE","@","LAC",24,0,"26:20",3,6,0.5,0,0,NA,4,6,0.667,6,5,11,2,0,2,0,1,10,14.3,23,32.3
66,66,"2016-03-14","25-001","CLE","@","UTA",-9,0,"19:50",1,1,1,0,0,NA,0,0,NA,1,2,3,0,0,0,0,3,2,1.8,-10,5.8
67,67,"2016-03-16","25-003","CLE","","DAL",1,1,"37:25",0,2,0,0,0,NA,0,0,NA,4,4,8,2,0,0,1,5,0,1,-17,12.5
68,68,"2016-03-18","25-005","CLE","@","ORL",6,0,"27:42",3,6,0.5,0,0,NA,5,9,0.556,4,11,15,1,4,2,2,2,11,15.8,14,43.8
69,69,"2016-03-19","25-006","CLE","@","MIA",-21,0,"17:58",1,2,0.5,0,0,NA,0,0,NA,1,1,2,1,0,0,0,4,2,1.1,-9,6
70,70,"2016-03-21","25-008","CLE","","DEN",33,0,"21:30",4,5,0.8,0,0,NA,0,0,NA,1,6,7,1,2,1,0,3,8,10.8,2,24.3
71,71,"2016-03-23","25-010","CLE","","MIL",9,0,"30:28",6,9,0.667,0,0,NA,1,1,1,5,5,10,0,0,2,0,2,13,14.7,-5,31
72,72,"2016-03-24","25-011","CLE","@","BRK",-9,0,"25:50",3,5,0.6,0,0,NA,0,0,NA,3,1,4,3,0,0,1,2,6,6.4,-16,15
73,73,"2016-03-26","25-013","CLE","@","NYK",14,0,"22:07",0,0,NA,0,0,NA,6,8,0.75,2,5,7,0,0,1,0,4,6,7.2,5,16.8
74,74,"2016-03-29","25-016","CLE","","HOU",-6,0,"39:19",4,8,0.5,0,0,NA,8,9,0.889,5,5,10,0,1,1,3,5,16,13.3,-2,32.5
75,75,"2016-03-31","25-018","CLE","","BRK",20,0,"23:49",2,4,0.5,0,0,NA,0,0,NA,2,4,6,0,2,1,1,1,4,5.9,21,17
76,76,"2016-04-01","25-019","CLE","@","ATL",2,0,"33:32",4,4,1,0,0,NA,1,6,0.167,5,9,14,1,1,2,0,4,9,13.5,4,34
77,77,"2016-04-03","25-021","CLE","","CHO",9,0,"28:07",1,2,0.5,0,0,NA,2,6,0.333,5,1,6,0,2,0,1,1,4,5.8,12,15
78,78,"2016-04-05","25-023","CLE","@","MIL",29,0,"17:43",5,6,0.833,0,0,NA,1,1,1,2,5,7,1,0,2,0,1,11,13.4,18,25.3
79,79,"2016-04-06","25-024","CLE","@","IND",-14,0,"22:27",4,5,0.8,0,0,NA,1,2,0.5,2,3,5,0,0,0,2,1,9,6.6,-11,14.3
80,80,"2016-04-09","25-027","CLE","@","CHI",-3,1,"30:52",1,3,0.333,0,0,NA,1,4,0.25,3,5,8,3,0,3,0,4,3,6.3,3,23.5
81,81,"2016-04-11","25-029","CLE","","ATL",15,1,"36:04",2,6,0.333,0,0,NA,5,7,0.714,2,8,10,1,3,1,0,2,9,12.2,5,31
82,82,"2016-04-13","25-031","CLE","","DET",-2,1,"0:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,0,0
