"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2016-03-04","23-225","DEN","","BRK",-1,0,"5:28",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-0.5,-1,NA
2,2,"2016-03-06","23-227","DEN","","DAL",2,0,"13:09",0,4,0,0,2,0,0,0,NA,0,1,1,1,0,0,0,2,0,-2.6,-11,2.8
3,3,"2016-03-08","23-229","DEN","","NYK",16,0,"14:18",2,5,0.4,0,3,0,1,1,1,0,0,0,1,1,0,0,3,5,2.8,-2,8.5
4,4,"2016-03-10","23-231","DEN","","PHO",18,0,"14:56",3,7,0.429,2,4,0.5,2,2,1,2,0,2,2,0,0,0,3,10,7.9,8,16.5
5,5,"2016-03-12","23-233","DEN","","WAS",16,0,"19:03",2,5,0.4,2,4,0.5,2,2,1,0,0,0,1,3,2,0,4,8,8.8,24,20.5
6,6,"2016-03-14","23-235","DEN","@","MIA",-5,0,"12:31",1,2,0.5,1,1,1,1,2,0.5,0,1,1,1,0,0,0,0,4,3.6,-11,7.3
7,7,"2016-03-15","23-236","DEN","@","ORL",-6,0,"12:40",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,3,0.9,-3,4.8
8,8,"2016-03-17","23-238","DEN","@","ATL",-18,0,"16:10",0,4,0,0,3,0,0,0,NA,0,2,2,0,1,0,1,2,0,-3,1,4
9,9,"2016-03-19","23-240","DEN","@","CHO",8,0,"9:49",0,2,0,0,1,0,0,0,NA,1,0,1,1,0,0,0,1,0,-0.4,7,2.8
10,10,"2016-03-21","23-242","DEN","@","CLE",-33,0,"19:36",0,1,0,0,1,0,0,0,NA,1,2,3,0,0,1,0,2,0,0.5,-13,5.8
11,11,"2016-03-23","23-244","DEN","","PHI",1,0,"14:35",1,4,0.25,1,3,0.333,0,0,NA,0,2,2,1,0,0,1,2,3,0.1,-15,7
12,12,"2016-03-25","23-246","DEN","@","LAL",11,0,"22:44",3,5,0.6,2,4,0.5,0,0,NA,1,1,2,1,0,1,0,4,8,6.5,26,15
13,13,"2016-03-27","23-248","DEN","@","LAC",-15,0,"25:25",1,1,1,0,0,NA,0,0,NA,2,0,2,1,0,0,1,3,2,1.6,2,5.5
14,14,"2016-03-28","23-249","DEN","","DAL",-9,0,"6:48",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,2,0.9,-6,2
15,15,"2016-03-30","23-251","DEN","@","MEM",4,0,"13:33",0,1,0,0,1,0,0,0,NA,0,0,0,2,0,0,0,1,0,0.3,5,3
16,16,"2016-03-31","23-252","DEN","@","NOP",-6,0,"15:31",1,2,0.5,0,1,0,0,0,NA,0,3,3,0,1,0,1,2,2,1.1,7,7.3
17,17,"2016-04-02","23-254","DEN","","SAC",-9,0,"19:13",4,6,0.667,1,2,0.5,5,6,0.833,1,2,3,0,0,0,1,3,14,10.1,-8,17.8
18,18,"2016-04-05","23-257","DEN","","OKC",-22,0,"23:54",4,8,0.5,2,3,0.667,0,2,0,0,2,2,2,1,0,0,2,10,7.4,-2,18.5
19,19,"2016-04-08","23-260","DEN","","SAS",4,0,"9:13",1,4,0.25,1,1,1,2,2,1,0,1,1,0,0,1,0,1,5,3.2,-14,8.8
20,20,"2016-04-10","23-262","DEN","","UTA",-16,0,"10:33",0,2,0,0,2,0,0,0,NA,0,3,3,1,0,1,1,0,0,-0.1,2,6.8
21,21,"2016-04-13","23-265","DEN","@","POR",-8,0,"6:17",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,-13,1.3
