"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","30-176","PHO","","DAL",-16,1,"9:10",1,3,0.333,0,1,0,0,2,0,1,0,1,0,0,0,0,2,2,-0.6,-13,3.3
2,2,"2015-10-30","30-178","PHO","","POR",18,1,"23:45",2,6,0.333,0,3,0,0,0,NA,0,4,4,1,2,0,2,2,4,1.7,15,13.5
3,3,"2015-10-31","30-179","PHO","@","POR",11,1,"30:59",2,4,0.5,0,2,0,0,0,NA,2,4,6,0,0,0,0,1,4,4.2,5,11.5
4,4,"2015-11-02","30-181","PHO","@","LAC",-6,1,"26:37",1,2,0.5,1,1,1,3,4,0.75,1,2,3,2,1,0,0,2,6,7.5,0,15.3
5,5,"2015-11-04","30-183","PHO","","SAC",21,1,"20:35",3,4,0.75,3,4,0.75,1,3,0.333,0,0,0,2,1,0,2,2,10,7.2,8,15.5
6,6,"2015-11-06","30-185","PHO","","DET",-8,1,"33:45",2,4,0.5,1,2,0.5,0,0,NA,2,8,10,2,1,0,1,2,5,7.4,4,22.5
7,7,"2015-11-08","30-187","PHO","@","OKC",-21,1,"21:26",1,5,0.2,1,2,0.5,0,0,NA,1,3,4,1,1,0,1,1,3,1.8,-24,11.5
8,8,"2015-11-12","30-191","PHO","","LAC",14,1,"31:08",3,7,0.429,1,4,0.25,0,0,NA,2,4,6,0,3,0,0,2,7,8.1,21,21
9,9,"2015-11-14","30-193","PHO","","DEN",24,1,"24:02",2,5,0.4,0,2,0,0,0,NA,0,6,6,4,0,0,1,1,4,4.5,31,17
10,10,"2015-11-16","30-195","PHO","","LAL",19,1,"23:43",3,7,0.429,1,4,0.25,4,4,1,3,4,7,1,1,0,0,4,11,10.7,3,23.8
11,11,"2015-11-18","30-197","PHO","","CHI",-6,1,"33:52",8,15,0.533,1,4,0.25,3,3,1,4,3,7,0,0,0,0,2,20,15.6,-17,29.3
12,12,"2015-11-20","30-199","PHO","@","DEN",7,1,"24:55",1,4,0.25,0,0,NA,4,4,1,1,3,4,2,1,0,2,3,6,4.4,7,15
13,13,"2015-11-22","30-201","PHO","@","NOP",-6,1,"40:14",4,11,0.364,2,4,0.5,2,2,1,3,5,8,0,1,1,0,4,12,9.6,4,27
14,14,"2015-11-23","30-202","PHO","@","SAS",-14,1,"29:38",0,5,0,0,2,0,0,0,NA,1,1,2,1,3,0,3,2,0,-2.6,-16,8.5
15,15,"2015-11-25","30-204","PHO","","NOP",-6,1,"24:32",2,5,0.4,0,0,NA,0,0,NA,1,4,5,1,1,0,2,4,4,1.3,-7,12.8
16,16,"2015-11-27","30-206","PHO","","GSW",-19,1,"15:43",1,4,0.25,0,0,NA,0,0,NA,1,1,2,0,0,0,1,2,2,-1.2,-14,4
17,17,"2015-11-29","30-208","PHO","@","TOR",5,1,"22:12",2,4,0.5,0,1,0,1,2,0.5,1,4,5,0,1,0,2,3,5,2.3,6,12.3
18,18,"2015-12-01","30-210","PHO","@","BRK",-3,1,"31:15",4,6,0.667,1,3,0.333,0,0,NA,1,2,3,1,1,0,1,0,9,8.4,-2,16.3
19,19,"2015-12-02","30-211","PHO","@","DET",-5,1,"39:01",1,3,0.333,0,2,0,1,2,0.5,2,4,6,5,1,1,4,4,3,3.1,-14,20
20,20,"2015-12-04","30-213","PHO","@","WAS",-3,1,"37:21",3,6,0.5,1,1,1,2,3,0.667,4,9,13,1,1,0,3,6,9,7.4,9,27.8
21,21,"2015-12-06","30-215","PHO","@","MEM",-2,1,"27:28",3,7,0.429,0,4,0,0,0,NA,4,5,9,2,1,0,3,0,6,6,9,20.8
22,22,"2015-12-07","30-216","PHO","@","CHI",2,1,"17:56",0,1,0,0,0,NA,0,0,NA,0,1,1,0,2,0,4,1,0,-2.8,-12,3.3
23,23,"2015-12-09","30-218","PHO","","ORL",3,1,"31:44",5,9,0.556,1,3,0.333,0,0,NA,3,5,8,0,1,1,1,2,11,10.2,17,25
24,24,"2015-12-11","30-220","PHO","","POR",-10,1,"22:18",1,3,0.333,0,1,0,0,0,NA,1,3,4,2,1,1,0,1,2,4.6,-16,14
25,25,"2015-12-13","30-222","PHO","","MIN",7,1,"33:50",1,6,0.167,1,2,0.5,0,0,NA,3,4,7,0,2,0,0,5,3,2.5,14,16.3
