"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-001","BOS","","PHI",17,0,"22:01",2,5,0.4,0,1,0,2,2,1,1,3,4,2,0,0,3,0,6,3.3,23,12.5
2,2,"2015-10-30","27-003","BOS","","TOR",-10,0,"27:30",2,11,0.182,0,1,0,2,4,0.5,1,3,4,1,1,0,4,2,6,-3.2,-6,12.5
3,3,"2015-11-01","27-005","BOS","","SAS",-8,0,"15:49",1,4,0.25,0,1,0,0,0,NA,1,3,4,3,0,1,1,2,2,2.2,0,13
4,4,"2015-11-04","27-008","BOS","@","IND",-2,0,"21:23",5,10,0.5,1,2,0.5,0,0,NA,0,4,4,4,0,1,1,1,11,9.3,-2,24
5,5,"2015-11-06","27-010","BOS","","WAS",20,0,"29:33",7,12,0.583,2,4,0.5,0,0,NA,0,6,6,2,3,0,2,3,16,13.4,26,32.5
6,6,"2015-11-10","27-014","BOS","@","MIL",16,0,"28:38",6,12,0.5,1,4,0.25,0,0,NA,0,5,5,6,4,0,1,2,13,14.9,32,36.3
7,7,"2015-11-11","27-015","BOS","","IND",-11,1,"32:55",9,13,0.692,0,0,NA,2,2,1,0,3,3,3,1,2,2,2,20,17.1,-10,33.3
8,8,"2015-11-13","27-017","BOS","","ATL",13,0,"24:13",2,11,0.182,0,3,0,1,1,1,2,3,5,4,0,0,1,3,5,1,8,16.8
9,9,"2015-11-15","27-019","BOS","@","OKC",15,0,"24:01",1,5,0.2,0,0,NA,0,0,NA,0,3,3,3,2,0,2,1,2,1.5,12,13.3
10,10,"2015-11-16","27-020","BOS","@","HOU",16,0,"18:04",2,5,0.4,0,2,0,3,3,1,0,5,5,2,0,0,2,3,7,4,11,15.3
11,11,"2015-11-18","27-022","BOS","","DAL",-4,0,"23:53",3,5,0.6,0,0,NA,0,0,NA,1,2,3,3,1,0,3,0,6,5.1,-17,14.8
12,12,"2015-11-20","27-024","BOS","","BRK",25,0,"25:37",5,7,0.714,0,1,0,2,2,1,1,4,5,7,0,1,2,0,12,14.6,1,29.8
