"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-29","19-219","IND","","MEM",-9,0,"17:58",4,6,0.667,0,0,NA,0,2,0,1,3,4,0,2,1,2,4,8,5.3,3,18
3,2,"2015-10-31","19-221","IND","","UTA",-21,0,"22:41",4,8,0.5,0,0,NA,2,2,1,1,3,4,0,0,1,1,1,10,6.9,-5,16.5
4,3,"2015-11-03","19-224","IND","@","DET",12,0,"15:29",3,4,0.75,0,0,NA,0,0,NA,0,4,4,0,1,3,0,3,6,7.5,2,19
5,4,"2015-11-04","19-225","IND","","BOS",2,0,"18:29",2,6,0.333,0,0,NA,3,4,0.75,3,1,4,1,0,1,0,1,7,6.6,0,15.5
6,5,"2015-11-06","19-227","IND","","MIA",3,0,"12:45",1,4,0.25,0,0,NA,0,0,NA,0,2,2,0,0,0,1,3,2,-2,-22,4
7,6,"2015-11-08","19-229","IND","@","CLE",-4,0,"18:17",3,4,0.75,0,0,NA,0,0,NA,0,1,1,0,0,1,0,2,6,4.6,-7,9.3
8,7,"2015-11-09","19-230","IND","","ORL",13,0,"19:48",4,6,0.667,0,0,NA,2,2,1,0,4,4,0,0,0,2,2,10,5.8,4,14
9,8,"2015-11-11","19-232","IND","@","BOS",11,0,"1:19",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
31,9,"2015-12-30","19-281","IND","@","CHI",-2,0,"21:30",2,8,0.25,0,0,NA,4,6,0.667,1,4,5,1,0,3,0,4,8,5.5,-5,21.8
32,10,"2015-12-31","19-282","IND","","MIL",-4,0,"17:08",2,6,0.333,0,0,NA,4,6,0.667,2,7,9,0,0,0,1,2,8,5.5,-3,18.8
33,11,"2016-01-02","19-284","IND","","DET",12,0,"10:19",1,5,0.2,0,0,NA,2,2,1,1,3,4,0,0,2,1,2,4,2.1,3,12.5
34,12,"2016-01-04","19-286","IND","@","MIA",-3,0,"6:46",0,2,0,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,0,-0.5,0,3.8
35,13,"2016-01-06","19-288","IND","@","ORL",9,0,"12:31",3,3,1,0,0,NA,0,0,NA,1,4,5,0,0,1,1,1,6,6.3,-2,13.8
36,14,"2016-01-08","19-290","IND","@","NOP",5,0,"10:40",2,3,0.667,0,0,NA,1,2,0.5,1,2,3,1,0,1,0,1,5,5.6,-8,12.3
37,15,"2016-01-10","19-292","IND","@","HOU",-4,0,"12:47",2,3,0.667,0,0,NA,0,0,NA,1,1,2,1,0,1,0,1,4,4.7,-2,10
38,16,"2016-01-12","19-294","IND","","PHO",19,0,"2:27",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,4,3,0,4
39,17,"2016-01-13","19-295","IND","@","BOS",-9,0,"10:22",3,5,0.6,0,0,NA,3,5,0.6,0,5,5,0,0,0,0,1,9,7,1,15.3
40,18,"2016-01-15","19-297","IND","","WAS",-14,0,"18:15",4,8,0.5,0,0,NA,2,2,1,1,2,3,1,0,0,1,1,10,6.6,5,14.8
41,19,"2016-01-17","19-299","IND","@","DEN",-3,0,"28:45",11,13,0.846,0,0,NA,3,6,0.5,3,4,7,2,1,2,1,3,25,24,-11,42.3
42,20,"2016-01-19","19-301","IND","@","PHO",3,0,"30:50",7,11,0.636,0,0,NA,1,1,1,1,3,4,0,0,4,1,4,15,11.9,8,27.5
43,21,"2016-01-22","19-304","IND","@","GSW",-12,0,"27:40",12,17,0.706,0,1,0,7,9,0.778,3,5,8,0,1,2,1,3,31,26.9,1,46.5
44,22,"2016-01-23","19-305","IND","@","SAC",-11,0,"31:45",5,13,0.385,0,1,0,1,2,0.5,0,6,6,0,1,5,0,5,11,7.8,-11,30.5
45,23,"2016-01-26","19-308","IND","","LAC",-2,0,"18:08",7,11,0.636,0,0,NA,2,4,0.5,0,6,6,0,0,1,1,2,16,11,-6,25
46,24,"2016-01-28","19-310","IND","","ATL",19,1,"26:28",9,17,0.529,0,0,NA,2,3,0.667,0,6,6,1,0,1,2,3,20,11.3,10,30
47,25,"2016-01-30","19-312","IND","","DEN",4,1,"40:10",3,11,0.273,0,0,NA,2,5,0.4,2,7,9,3,0,4,1,4,8,6.1,-2,31.3
48,26,"2016-02-01","19-314","IND","","CLE",-5,1,"36:30",7,16,0.438,0,0,NA,0,0,NA,6,4,10,0,1,4,0,5,14,12.8,-3,38
49,27,"2016-02-03","19-316","IND","@","BRK",14,1,"30:36",4,11,0.364,0,0,NA,1,2,0.5,1,6,7,0,0,3,2,2,9,4.3,-1,22.8
50,28,"2016-02-05","19-318","IND","@","ATL",-6,1,"22:57",6,11,0.545,0,0,NA,0,0,NA,4,3,7,0,1,1,1,4,12,9.5,-3,24.3
51,29,"2016-02-06","19-319","IND","","DET",8,1,"31:59",8,13,0.615,0,0,NA,0,0,NA,0,4,4,3,0,1,1,2,16,12.3,5,27
52,30,"2016-02-08","19-321","IND","","LAL",2,1,"29:52",6,8,0.75,0,0,NA,2,4,0.5,1,12,13,1,0,0,3,4,14,10.4,18,31.8
53,31,"2016-02-10","19-323","IND","","CHO",-22,1,"23:00",4,11,0.364,0,0,NA,2,2,1,3,2,5,0,0,0,1,1,10,5.2,-18,15.8
54,32,"2016-02-19","19-332","IND","@","OKC",3,1,"35:34",7,12,0.583,1,1,1,1,3,0.333,0,5,5,1,0,6,2,2,16,13.2,3,35.3
55,33,"2016-02-21","19-334","IND","@","ORL",3,1,"30:42",5,9,0.556,0,1,0,2,2,1,0,8,8,1,1,3,2,4,12,10.3,3,30.5
