"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","33-115","MEM","","CLE",-30,0,"14:44",2,5,0.4,0,1,0,1,1,1,0,0,0,2,0,0,4,1,5,-0.7,-12,6
2,2,"2015-10-29","33-116","MEM","@","IND",9,0,"17:48",5,6,0.833,1,2,0.5,2,2,1,0,2,2,6,1,0,1,1,13,15.2,6,26.5
3,3,"2015-10-31","33-118","MEM","","BRK",10,0,"15:18",3,8,0.375,2,3,0.667,0,0,NA,0,2,2,3,0,1,0,0,8,7,4,18
4,4,"2015-11-02","33-120","MEM","@","GSW",-50,0,"15:07",0,5,0,0,1,0,0,0,NA,0,2,2,5,1,0,0,1,0,1.2,1,12
5,5,"2015-11-03","33-121","MEM","@","SAC",14,0,"21:12",3,7,0.429,0,2,0,0,0,NA,0,0,0,3,1,0,3,5,6,0.4,-1,11
6,6,"2015-11-05","33-123","MEM","@","POR",-19,0,"15:51",4,5,0.8,1,1,1,0,0,NA,0,0,0,6,0,0,0,2,9,10.5,0,18.5
7,7,"2015-11-07","33-125","MEM","@","UTA",-10,0,"7:37",2,3,0.667,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,4,1.7,-8,3.5
8,8,"2015-11-09","33-127","MEM","@","LAC",-2,0,"12:44",1,7,0.143,0,1,0,0,0,NA,2,1,3,1,0,0,2,1,2,-2.5,-8,6.3
10,9,"2015-11-12","33-130","MIA","","UTA",1,0,"17:22",1,3,0.333,0,0,NA,0,0,NA,0,3,3,1,0,0,1,0,2,0.9,11,6.8
13,10,"2015-11-21","33-139","MIA","","PHI",5,0,"6:05",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,2,1,0,2.8
15,11,"2015-11-25","33-143","MIA","@","DET",-23,0,"9:40",1,2,0.5,0,1,0,0,0,NA,0,0,0,4,0,0,0,1,2,3.4,-1,8
16,12,"2015-11-27","33-145","MIA","@","NYK",19,0,"4:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,1,1,0,-0.7,-1,1
19,13,"2015-12-05","33-153","MIA","","CLE",15,0,"3:43",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-2,2
