"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-175","TOR","","IND",7,1,"32:17",8,11,0.727,0,0,NA,5,6,0.833,1,14,15,0,0,1,2,4,21,18.1,8,42.3
2,2,"2015-10-30","23-177","TOR","@","BOS",10,1,"23:16",2,6,0.333,0,0,NA,2,2,1,1,9,10,2,0,0,2,4,6,3.8,6,20.5
3,3,"2015-11-01","23-179","TOR","","MIL",19,1,"28:59",7,12,0.583,0,0,NA,5,8,0.625,4,4,8,0,2,0,2,3,19,15,21,32
4,4,"2015-11-03","23-181","TOR","@","DAL",11,1,"33:40",6,10,0.6,0,0,NA,4,5,0.8,2,6,8,0,0,2,4,3,16,10.4,16,28
5,5,"2015-11-04","23-182","TOR","@","OKC",5,1,"28:41",6,9,0.667,0,0,NA,5,5,1,5,6,11,1,0,0,1,5,17,16.1,6,33.3
6,6,"2015-11-06","23-184","TOR","@","ORL",-5,1,"23:02",3,6,0.5,0,0,NA,2,3,0.667,4,9,13,0,0,2,0,3,8,10.3,10,28.3
7,7,"2015-11-08","23-186","TOR","@","MIA",-20,1,"28:29",8,12,0.667,0,0,NA,1,2,0.5,1,4,5,0,1,0,0,1,17,13.9,-7,25.3
8,8,"2015-11-10","23-188","TOR","","NYK",-2,1,"31:48",6,8,0.75,0,0,NA,4,4,1,4,6,10,0,0,0,2,1,16,15,-1,29
9,9,"2015-11-11","23-189","TOR","@","PHI",16,1,"22:40",4,8,0.5,0,0,NA,3,4,0.75,2,10,12,1,0,1,0,2,11,11.6,19,31
10,10,"2015-11-13","23-191","TOR","","NOP",19,1,"27:46",8,11,0.727,0,0,NA,4,6,0.667,6,4,10,0,0,2,4,3,20,16.3,16,36
11,11,"2015-11-15","23-193","TOR","@","SAC",-6,1,"20:20",2,9,0.222,0,0,NA,0,0,NA,3,2,5,0,0,0,0,2,4,0.4,-5,10.3
12,12,"2015-11-17","23-195","TOR","@","GSW",-5,1,"31:11",3,9,0.333,0,0,NA,3,4,0.75,5,6,11,0,0,0,3,5,9,3.8,-1,21.3
13,13,"2015-11-18","23-196","TOR","@","UTA",-4,1,"32:31",5,10,0.5,0,0,NA,1,1,1,4,5,9,0,1,2,1,1,11,11.3,-7,27.8
14,14,"2015-11-20","23-198","TOR","@","LAL",11,1,"17:36",1,3,0.333,0,0,NA,1,2,0.5,0,3,3,2,0,0,1,0,3,2.2,-5,9.3
32,15,"2015-12-28","23-236","TOR","@","CHI",-7,0,"20:55",4,7,0.571,0,0,NA,1,2,0.5,1,3,4,1,0,2,2,2,9,6.2,5,18.5
33,16,"2015-12-30","23-238","TOR","","WAS",3,1,"20:53",4,7,0.571,0,0,NA,0,0,NA,5,4,9,1,0,1,0,3,8,9.6,0,22.8
34,17,"2016-01-01","23-240","TOR","","CHO",10,1,"24:03",3,9,0.333,0,0,NA,4,5,0.8,7,5,12,2,0,0,1,2,10,10.5,8,29
35,18,"2016-01-03","23-242","TOR","","CHI",-2,1,"23:21",3,5,0.6,0,0,NA,2,2,1,4,5,9,1,1,3,2,1,8,11.4,2,27.8
36,19,"2016-01-04","23-243","TOR","@","CLE",-22,1,"26:57",4,8,0.5,0,0,NA,1,3,0.333,5,3,8,1,0,2,1,0,9,9.7,-20,24
37,20,"2016-01-06","23-245","TOR","@","BRK",17,1,"29:33",8,13,0.615,0,0,NA,6,6,1,4,7,11,0,1,2,3,1,22,20,20,41.8
38,21,"2016-01-08","23-247","TOR","@","WAS",9,1,"30:01",1,4,0.25,0,0,NA,5,6,0.833,0,3,3,3,1,4,6,4,7,3.4,-1,22.3
39,22,"2016-01-09","23-248","TOR","@","PHI",13,1,"28:52",7,10,0.7,0,0,NA,3,5,0.6,3,6,9,2,1,2,1,3,17,17.5,16,36.8
40,23,"2016-01-14","23-253","TOR","@","ORL",3,1,"30:05",6,11,0.545,0,0,NA,1,3,0.333,3,6,9,2,1,3,1,2,13,13.5,-2,34.8
41,24,"2016-01-18","23-257","TOR","","BRK",12,1,"26:46",3,11,0.273,0,0,NA,0,0,NA,5,7,12,2,1,1,1,3,6,6,0,27.5
42,25,"2016-01-20","23-259","TOR","","BOS",6,1,"28:46",9,9,1,0,0,NA,1,2,0.5,2,10,12,1,1,0,1,1,19,20.6,20,38.5
43,26,"2016-01-22","23-261","TOR","","MIA",20,1,"26:38",2,7,0.286,0,0,NA,5,6,0.833,3,10,13,3,0,3,1,3,9,11.6,18,35.3
44,27,"2016-01-24","23-263","TOR","","LAC",18,1,"25:03",8,11,0.727,0,0,NA,4,6,0.667,1,7,8,0,0,1,1,5,20,15.2,-6,31.5
45,28,"2016-01-26","23-265","TOR","","WAS",17,1,"25:35",5,9,0.556,0,0,NA,3,4,0.75,3,9,12,0,0,1,4,4,13,8.2,-2,29.5
46,29,"2016-01-28","23-267","TOR","","NYK",10,1,"28:19",4,16,0.25,0,0,NA,3,3,1,8,10,18,0,0,1,0,4,11,9.1,-2,37
47,30,"2016-01-30","23-269","TOR","","DET",4,1,"26:50",2,4,0.5,0,0,NA,4,8,0.5,3,6,9,0,0,0,2,3,8,5.1,-10,18.3
48,31,"2016-02-01","23-271","TOR","@","DEN",-19,1,"18:58",4,8,0.5,0,0,NA,2,4,0.5,4,4,8,0,0,1,1,1,10,8.5,-19,21.5
49,32,"2016-02-02","23-272","TOR","@","PHO",7,1,"19:02",5,8,0.625,0,0,NA,4,5,0.8,3,3,6,0,0,0,0,2,14,12.2,-10,21.5
50,33,"2016-02-04","23-274","TOR","@","POR",7,1,"24:44",5,10,0.5,0,0,NA,4,4,1,6,5,11,0,0,2,1,2,14,14.3,0,32.8
51,34,"2016-02-08","23-278","TOR","@","DET",14,1,"25:22",7,9,0.778,0,0,NA,1,2,0.5,0,8,8,3,3,1,1,3,15,17.1,13,37
52,35,"2016-02-10","23-280","TOR","@","MIN",-5,1,"24:16",4,4,1,0,0,NA,4,4,1,2,5,7,2,1,1,2,3,12,13.6,-10,26.8
53,36,"2016-02-19","23-289","TOR","@","CHI",-10,1,"32:30",9,14,0.643,0,0,NA,7,8,0.875,6,6,12,1,0,1,2,4,25,22.2,2,44
54,37,"2016-02-21","23-291","TOR","","MEM",13,1,"31:17",4,7,0.571,0,0,NA,2,2,1,3,9,12,1,1,1,1,2,10,12.1,1,31.5
55,38,"2016-02-22","23-292","TOR","@","NYK",27,1,"25:18",9,14,0.643,0,0,NA,2,2,1,1,5,6,0,0,3,2,1,20,15.7,14,32.5
56,39,"2016-02-24","23-294","TOR","","MIN",9,1,"19:00",6,11,0.545,0,0,NA,2,2,1,4,3,7,1,0,0,2,5,14,9.1,-14,23.3
57,40,"2016-02-26","23-296","TOR","","CLE",2,1,"28:24",4,5,0.8,0,0,NA,3,4,0.75,4,5,9,0,1,0,2,3,11,10.8,4,23.3
58,41,"2016-02-28","23-298","TOR","@","DET",-13,1,"20:30",5,6,0.833,0,0,NA,1,1,1,1,4,5,0,1,0,0,4,11,10.1,-27,19.3
59,42,"2016-03-02","23-301","TOR","","UTA",10,1,"25:15",4,8,0.5,0,0,NA,2,2,1,2,6,8,0,0,1,0,3,10,8.7,6,22
60,43,"2016-03-04","23-303","TOR","","POR",2,1,"26:38",7,8,0.875,0,0,NA,3,6,0.5,4,6,10,1,0,1,1,3,17,16.8,18,34
61,44,"2016-03-06","23-305","TOR","","HOU",-6,1,"28:12",5,9,0.556,0,0,NA,2,2,1,2,8,10,0,0,3,1,3,12,11.4,-6,31.5
62,45,"2016-03-08","23-307","TOR","","BRK",5,1,"21:27",4,8,0.5,0,0,NA,2,2,1,1,2,3,2,0,0,0,2,10,7.9,-3,16.8
63,46,"2016-03-10","23-309","TOR","","ATL",8,1,"23:41",3,5,0.6,0,0,NA,4,6,0.667,4,6,10,0,0,0,1,3,10,9.3,1,23.5
64,47,"2016-03-12","23-311","TOR","","MIA",8,1,"32:25",7,11,0.636,0,0,NA,6,6,1,2,8,10,1,0,1,1,3,20,18.1,5,37
65,48,"2016-03-14","23-313","TOR","","CHI",-2,1,"9:35",3,3,1,0,0,NA,2,2,1,1,1,2,0,0,1,1,0,8,7.8,-2,12
70,49,"2016-03-23","23-322","TOR","@","BOS",-12,1,"20:42",5,10,0.5,0,0,NA,0,1,0,3,4,7,0,1,2,2,1,10,7.9,0,23.8
71,50,"2016-03-25","23-324","TOR","@","HOU",-3,1,"29:51",6,15,0.4,0,0,NA,4,6,0.667,8,10,18,2,2,1,0,6,16,17.4,-6,49
72,51,"2016-03-26","23-325","TOR","@","NOP",24,1,"26:27",5,8,0.625,0,0,NA,0,0,NA,1,8,9,1,0,5,1,1,10,12.3,27,32.3
73,52,"2016-03-28","23-327","TOR","","OKC",-19,1,"26:30",5,13,0.385,0,0,NA,0,0,NA,3,7,10,0,0,0,0,2,10,6.3,-19,24
74,53,"2016-03-30","23-329","TOR","","ATL",8,1,"30:58",9,13,0.692,0,0,NA,1,2,0.5,1,8,9,0,1,1,3,6,19,12.5,11,32.8
75,54,"2016-04-01","23-331","TOR","@","MEM",4,1,"36:03",1,5,0.2,0,0,NA,9,10,0.9,4,10,14,0,3,7,0,2,11,20.4,18,50
76,55,"2016-04-02","23-332","TOR","@","SAS",-7,1,"28:43",8,11,0.727,0,0,NA,0,0,NA,2,4,6,0,0,2,2,2,16,12.7,-8,26.5
77,56,"2016-04-05","23-335","TOR","","CHO",6,1,"28:23",5,8,0.625,0,0,NA,2,3,0.667,2,10,12,0,0,3,3,3,12,10.3,15,33
78,57,"2016-04-07","23-337","TOR","@","ATL",-8,1,"21:26",3,6,0.5,0,0,NA,7,8,0.875,3,5,8,0,0,1,0,1,13,13.5,-11,25
79,58,"2016-04-08","23-338","TOR","","IND",13,1,"21:23",5,7,0.714,0,0,NA,0,0,NA,0,4,4,0,0,1,4,3,10,3.8,4,15
80,59,"2016-04-10","23-340","TOR","@","NYK",4,1,"27:51",6,11,0.545,0,0,NA,2,5,0.4,2,5,7,2,0,3,1,3,14,11.7,6,31.3
81,60,"2016-04-12","23-342","TOR","","PHI",24,1,"17:10",8,16,0.5,0,0,NA,1,1,1,6,5,11,0,0,1,1,3,17,13.2,14,33.8
