"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","33-029","CLE","@","CHI",-2,0,"11:33",0,1,0,0,0,NA,2,2,1,1,1,2,0,0,1,0,1,2,2.6,9,6.5
2,2,"2015-10-28","33-030","CLE","@","MEM",30,0,"10:52",2,6,0.333,0,0,NA,0,0,NA,2,3,5,2,0,0,1,2,4,2.5,17,12.8
3,3,"2015-10-30","33-032","CLE","","MIA",10,0,"15:50",1,2,0.5,0,0,NA,0,0,NA,2,6,8,0,0,0,0,1,2,3.8,11,12
4,4,"2015-11-02","33-035","CLE","@","PHI",7,0,"3:59",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,2,0,0,-2.7,-9,-1
5,5,"2015-11-04","33-037","CLE","","NYK",10,0,"5:05",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,1,0,1,1,0,0.2,5,4
6,6,"2015-11-06","33-039","CLE","","PHI",6,0,"6:55",1,1,1,0,0,NA,0,0,NA,0,0,0,0,1,0,1,1,2,1.3,-4,3.5
8,7,"2015-11-10","33-043","CLE","","UTA",4,0,"5:33",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,1,0,1,2,0.9,9,5.3
9,8,"2015-11-13","33-046","CLE","@","NYK",6,0,"3:24",0,3,0,0,0,NA,0,0,NA,2,1,3,0,0,0,0,0,0,-0.4,-5,3.8
10,9,"2015-11-14","33-047","CLE","@","MIL",-3,0,"5:09",1,2,0.5,0,0,NA,0,0,NA,1,0,1,1,0,0,0,0,2,2.4,6,4.8
12,10,"2015-11-19","33-052","CLE","","MIL",15,0,"11:07",4,4,1,0,0,NA,1,2,0.5,1,1,2,1,0,0,0,2,9,8.3,1,13
13,11,"2015-11-21","33-054","CLE","","ATL",12,0,"19:06",2,4,0.5,0,0,NA,3,3,1,0,3,3,1,0,0,1,1,7,5.2,3,11.8
14,12,"2015-11-23","33-056","CLE","","ORL",14,0,"12:38",2,2,1,0,0,NA,0,2,0,3,5,8,0,0,0,0,0,4,6.2,-8,14
15,13,"2015-11-25","33-058","CLE","@","TOR",-4,0,"8:07",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-8,0
17,14,"2015-11-28","33-061","CLE","","BRK",2,0,"4:16",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,1,0,0,-0.1,0,3.3
18,15,"2015-12-01","33-064","CLE","","WAS",-12,0,"9:20",1,2,0.5,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,2,1.9,6,6
19,16,"2015-12-04","33-067","CLE","@","NOP",-6,0,"3:51",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,2,-6,2
20,17,"2015-12-05","33-068","CLE","@","MIA",-15,0,"14:07",0,1,0,0,0,NA,0,0,NA,0,6,6,0,1,0,0,1,0,1.7,16,9.5
21,18,"2015-12-08","33-071","CLE","","POR",5,0,"6:02",0,0,NA,0,0,NA,0,0,NA,1,1,2,2,0,1,1,1,0,1.7,0,7
22,19,"2015-12-11","33-074","CLE","@","ORL",35,0,"10:25",1,3,0.333,0,0,NA,2,2,1,2,1,3,1,1,0,1,1,4,4.3,1,10.8
23,20,"2015-12-15","33-078","CLE","@","BOS",12,0,"7:08",2,3,0.667,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,4,2.5,-4,6.5
