"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-285","MIL","","NYK",-25,0,"29:19",4,10,0.4,2,4,0.5,8,8,1,1,6,7,5,0,0,2,2,18,15.8,-16,34.3
2,2,"2015-10-30","28-287","MIL","","WAS",-5,0,"16:36",0,3,0,0,1,0,0,0,NA,0,2,2,5,0,0,2,4,0,-1.6,-10,9
3,3,"2015-11-01","28-289","MIL","@","TOR",-19,0,"25:27",2,7,0.286,0,4,0,5,5,1,0,3,3,4,1,0,3,2,9,5.8,-10,19.3
4,4,"2015-11-02","28-290","MIL","@","BRK",7,0,"26:42",0,8,0,0,5,0,0,0,NA,1,0,1,8,1,0,1,1,0,0.3,-5,14.8
5,5,"2015-11-04","28-292","MIL","","PHI",4,0,"22:00",4,12,0.333,1,4,0.25,2,3,0.667,1,0,1,5,1,0,1,5,11,6,20,21.8
6,6,"2015-11-06","28-294","MIL","@","NYK",7,0,"30:33",3,8,0.375,1,4,0.25,1,1,1,0,4,4,5,1,0,1,2,8,7.5,8,22.5
7,7,"2015-11-07","28-295","MIL","","BRK",8,0,"28:14",0,10,0,0,7,0,1,1,1,0,2,2,3,1,0,2,1,1,-4.7,5,9
8,8,"2015-11-10","28-298","MIL","","BOS",-16,0,"18:36",1,3,0.333,0,0,NA,0,0,NA,0,1,1,2,0,0,3,2,2,-1.8,-20,4.8
9,9,"2015-11-11","28-299","MIL","@","DEN",-1,0,"32:50",6,14,0.429,3,8,0.375,0,0,NA,0,2,2,9,1,0,2,1,15,13.1,5,33.5
10,10,"2015-11-14","28-302","MIL","","CLE",3,0,"23:50",4,8,0.5,2,5,0.4,3,5,0.6,0,3,3,4,0,0,1,2,13,10.1,4,23.3
11,11,"2015-11-17","28-305","MIL","@","WAS",-29,0,"19:38",5,7,0.714,2,3,0.667,0,0,NA,0,2,2,3,0,0,0,2,12,11,-10,20
12,12,"2015-11-19","28-307","MIL","@","CLE",-15,0,"21:16",0,3,0,0,1,0,0,0,NA,0,1,1,5,1,0,3,3,0,-1.5,-10,9.3
13,13,"2015-11-21","28-309","MIL","@","IND",-37,0,"14:58",2,2,1,0,0,NA,0,0,NA,0,1,1,3,0,0,4,2,4,1,-22,7.8
14,14,"2015-11-23","28-311","MIL","","DET",21,0,"21:55",4,8,0.5,1,2,0.5,1,1,1,1,3,4,3,0,0,2,1,10,7.3,8,19
15,15,"2015-11-25","28-313","MIL","","SAC",-11,0,"15:47",3,4,0.75,2,3,0.667,1,1,1,0,2,2,7,0,0,3,1,9,9.5,5,21.5
16,16,"2015-11-27","28-315","MIL","@","ORL",-24,0,"13:16",1,5,0.2,0,3,0,0,0,NA,0,1,1,0,0,0,0,2,2,-1.6,-11,3.3
75,17,"2016-03-30","29-074","MIL","","PHO",11,0,"13:05",0,2,0,0,1,0,0,0,NA,0,3,3,3,1,0,1,1,0,1.2,-2,9.8
76,18,"2016-04-01","29-076","MIL","","ORL",3,0,"11:52",0,5,0,0,4,0,0,0,NA,0,1,1,4,1,0,3,1,0,-2.8,-10,7.8
77,19,"2016-04-03","29-078","MIL","","CHI",-4,0,"5:54",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,-0.7,-11,1.5
79,20,"2016-04-08","29-083","MIL","@","BOS",-15,0,"15:11",2,3,0.667,1,2,0.5,0,1,0,0,0,0,1,0,0,2,2,5,1.2,-17,6
80,21,"2016-04-10","29-085","MIL","@","PHI",1,0,"13:44",0,2,0,0,2,0,0,0,NA,0,2,2,4,0,0,1,0,0,1,9,8
81,22,"2016-04-11","29-086","MIL","@","ORL",-9,0,"16:47",3,7,0.429,2,5,0.4,0,0,NA,1,2,3,3,0,0,2,3,8,4.5,4,16.3
82,23,"2016-04-13","29-088","MIL","","IND",-5,0,"22:25",1,5,0.2,1,4,0.25,0,0,NA,0,1,1,4,1,0,1,2,3,2.2,-8,12.3
