"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","19-073","MIL","","NYK",-25,0,"12:41",3,5,0.6,1,2,0.5,0,0,NA,1,1,2,0,0,1,1,0,7,5.4,-13,11.5
3,2,"2015-11-01","19-077","MIL","@","TOR",-19,0,"3:33",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,0,0
5,3,"2015-11-04","19-080","MIL","","PHI",4,0,"16:33",1,3,0.333,1,2,0.5,0,0,NA,1,1,2,0,0,0,0,0,3,2.3,1,6
7,4,"2015-11-07","19-083","MIL","","BRK",8,0,"1:44",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,0.3,-7,1.5
8,5,"2015-11-10","19-086","MIL","","BOS",-16,0,"6:25",1,3,0.333,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,1.3,-9,3.5
9,6,"2015-11-11","19-087","MIL","@","DEN",-1,0,"9:59",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-1.7,-4,-0.5
11,7,"2015-11-17","19-093","MIL","@","WAS",-29,0,"11:14",1,4,0.25,1,2,0.5,2,2,1,0,0,0,0,0,0,1,2,5,0.8,-10,5
13,8,"2015-11-21","19-097","MIL","@","IND",-37,0,"5:10",3,4,0.75,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,0,7,6.4,-5,10.3
14,9,"2015-11-23","19-099","MIL","","DET",21,0,"4:13",0,1,0,0,1,0,0,0,NA,0,1,1,0,1,1,1,0,0,0.3,-3,4.8
16,10,"2015-11-27","19-103","MIL","@","ORL",-24,0,"2:58",1,3,0.333,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,0.2,0,3.3
