"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-065","DAL","@","PHO",16,0,"14:39",4,5,0.8,2,3,0.667,0,0,NA,0,1,1,0,0,0,0,3,10,7.2,4,12.3
2,2,"2015-10-29","31-066","DAL","@","LAC",-16,0,"23:00",3,11,0.273,0,6,0,1,2,0.5,0,5,5,0,0,0,0,4,7,0,-4,13.3
3,3,"2015-11-01","31-069","DAL","@","LAL",10,0,"11:56",1,6,0.167,1,4,0.25,0,0,NA,0,2,2,1,0,1,0,2,3,0.4,3,9.5
4,4,"2015-11-03","31-071","DAL","","TOR",-11,0,"4:55",2,4,0.5,0,2,0,0,0,NA,1,1,2,0,0,0,0,2,4,2.2,-7,6.5
5,5,"2015-11-05","31-073","DAL","","CHO",-14,0,"12:50",3,8,0.375,1,5,0.2,0,0,NA,1,6,7,0,1,0,2,1,7,3.7,-4,17.3
7,6,"2015-11-10","31-078","DAL","@","NOP",-15,0,"26:28",6,14,0.429,1,4,0.25,2,2,1,0,9,9,2,0,1,1,1,15,11,-9,31.3
8,7,"2015-11-11","31-079","DAL","","LAC",10,0,"12:03",2,4,0.5,0,2,0,0,0,NA,0,3,3,1,0,0,0,0,4,3.6,0,9.3
9,8,"2015-11-13","31-081","DAL","","LAL",8,0,"14:20",2,6,0.333,2,6,0.333,0,0,NA,0,3,3,1,0,0,1,0,6,3.2,8,11.8
10,9,"2015-11-14","31-082","DAL","@","HOU",12,1,"25:25",8,16,0.5,3,7,0.429,0,0,NA,2,3,5,1,0,3,2,4,19,12.5,4,33.3
11,10,"2015-11-16","31-084","DAL","@","PHI",6,0,"8:15",1,5,0.2,1,2,0.5,0,0,NA,2,1,3,0,0,0,0,2,3,0.8,14,7.3
13,11,"2015-11-20","31-088","DAL","","UTA",9,0,"2:54",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,4,0
14,12,"2015-11-22","31-090","DAL","@","OKC",-3,0,"3:47",2,2,1,2,2,1,0,0,NA,0,0,0,1,0,0,0,1,6,5.7,1,8.5
15,13,"2015-11-24","31-092","DAL","@","MEM",-14,0,"9:25",1,4,0.25,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,2,-0.4,-7,2
16,14,"2015-11-25","31-093","DAL","@","SAS",-5,0,"11:56",3,7,0.429,0,3,0,0,0,NA,1,4,5,0,0,0,1,2,6,2.4,-2,11.8
17,15,"2015-11-28","31-096","DAL","","DEN",11,0,"6:44",0,1,0,0,1,0,0,0,NA,0,2,2,1,0,0,0,1,0,0.2,-2,4
18,16,"2015-11-30","31-098","DAL","@","SAC",-14,0,"9:28",3,4,0.75,1,2,0.5,0,0,NA,0,2,2,0,1,0,1,1,7,5.6,-7,11.5
19,17,"2015-12-01","31-099","DAL","@","POR",3,0,"17:32",4,13,0.308,2,8,0.25,0,0,NA,0,3,3,0,2,0,0,1,10,5,7,18.8
20,18,"2015-12-04","31-102","DAL","","HOU",-4,0,"7:16",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,2,1,0,2,2.4,-15,6.8
21,19,"2015-12-06","31-104","DAL","@","WAS",12,0,"14:22",3,4,0.75,1,2,0.5,3,3,1,0,4,4,0,0,1,2,3,10,7.1,-6,16.5
22,20,"2015-12-07","31-105","DAL","@","NYK",7,0,"4:02",1,1,1,1,1,1,0,0,NA,0,0,0,0,1,0,0,0,3,3.7,0,5.5
23,21,"2015-12-09","31-107","DAL","","ATL",-3,0,"4:34",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,1,2
24,22,"2015-12-12","31-110","DAL","","WAS",-3,0,"6:05",1,6,0.167,0,3,0,0,0,NA,1,1,2,0,0,0,1,0,2,-1.8,-10,4
26,23,"2015-12-16","31-114","DAL","@","IND",-26,0,"15:03",4,8,0.5,1,3,0.333,0,0,NA,1,3,4,0,0,0,1,1,9,5.2,-10,14
27,24,"2015-12-18","31-116","DAL","","MEM",9,0,"11:41",4,7,0.571,2,5,0.4,0,0,NA,0,1,1,2,0,0,1,0,10,7.4,-6,14.8
28,25,"2015-12-22","31-120","DAL","@","TOR",-4,0,"11:54",4,10,0.4,1,6,0.167,0,0,NA,0,2,2,3,2,0,0,2,9,7.5,9,20.5
29,26,"2015-12-23","31-121","DAL","@","BRK",1,0,"24:48",5,11,0.455,2,6,0.333,2,2,1,0,4,4,0,1,0,0,4,14,8.9,-4,22
30,27,"2015-12-26","31-124","DAL","","CHI",7,0,"3:31",0,2,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,3,0,-1.9,-8,1.3
31,28,"2015-12-28","31-126","DAL","","MIL",10,0,"6:54",3,5,0.6,1,1,1,0,0,NA,1,2,3,0,0,0,0,1,7,5.6,0,11.3
32,29,"2015-12-30","31-128","DAL","","GSW",23,0,"12:24",2,7,0.286,1,3,0.333,0,0,NA,0,4,4,0,1,2,0,2,5,3.7,2,16.5
33,30,"2016-01-01","31-130","DAL","@","MIA",-24,0,"20:49",4,11,0.364,1,6,0.167,0,0,NA,0,2,2,0,0,0,2,2,9,0.7,-7,11
34,31,"2016-01-02","31-131","DAL","","NOP",-7,0,"6:28",0,4,0,0,2,0,0,0,NA,0,1,1,1,0,0,0,1,0,-2.2,0,2.8
