"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-322","OKC","","SAS",6,0,"21:24",4,8,0.5,0,2,0,0,0,NA,1,3,4,2,0,0,3,2,8,3.2,15,14.5
2,2,"2015-10-30","23-324","OKC","@","ORL",3,0,"28:34",1,6,0.167,1,3,0.333,0,0,NA,0,7,7,2,0,1,3,3,3,-0.8,24,15.8
3,3,"2015-11-01","23-326","OKC","","DEN",24,0,"23:55",3,8,0.375,1,2,0.5,3,3,1,0,1,1,4,1,0,0,0,10,9.7,9,19.8
4,4,"2015-11-02","23-327","OKC","@","HOU",-5,0,"32:23",3,8,0.375,1,1,1,2,4,0.5,1,3,4,1,1,0,1,5,9,4.1,0,17.5
5,5,"2015-11-04","23-329","OKC","","TOR",-5,0,"23:56",3,8,0.375,1,3,0.333,0,0,NA,3,3,6,1,2,0,1,2,7,6.5,-11,20
6,6,"2015-11-05","23-330","OKC","@","CHI",-6,0,"27:17",2,3,0.667,0,0,NA,0,0,NA,1,4,5,1,0,0,1,3,4,3.1,-8,11.3
7,7,"2015-11-08","23-333","OKC","","PHO",21,0,"24:45",6,9,0.667,2,3,0.667,5,6,0.833,0,0,0,2,3,1,0,3,19,18.6,7,31
8,8,"2015-11-10","23-335","OKC","@","WAS",24,0,"23:23",7,10,0.7,4,5,0.8,7,7,1,0,2,2,1,0,0,2,1,25,19.7,6,30
9,9,"2015-11-13","23-338","OKC","","PHI",17,0,"29:14",4,13,0.308,1,3,0.333,5,5,1,1,2,3,2,0,0,0,1,14,8.8,11,21.3
10,10,"2015-11-15","23-340","OKC","","BOS",-15,0,"29:00",3,11,0.273,1,2,0.5,0,0,NA,0,2,2,0,1,0,3,4,7,-2.5,-20,10.5
11,11,"2015-11-16","23-341","OKC","@","MEM",-8,0,"37:43",6,14,0.429,1,3,0.333,1,2,0.5,1,6,7,2,1,0,3,2,14,7.3,-14,26.8
12,12,"2015-11-18","23-343","OKC","","NOP",7,0,"30:32",2,10,0.2,0,1,0,0,0,NA,0,4,4,2,1,0,2,2,4,-1.4,1,13
13,13,"2015-11-20","23-345","OKC","","NYK",-3,1,"30:02",6,15,0.4,0,6,0,4,5,0.8,2,2,4,1,3,0,4,0,16,9.2,0,26.5
14,14,"2015-11-22","23-347","OKC","","DAL",3,1,"29:13",5,12,0.417,2,4,0.5,2,2,1,0,2,2,2,1,0,1,2,14,8.8,-8,22
15,15,"2015-11-23","23-348","OKC","@","UTA",22,0,"28:31",5,9,0.556,1,2,0.5,1,2,0.5,0,3,3,6,4,1,2,2,12,14.3,34,34.3
16,16,"2015-11-25","23-350","OKC","","BRK",11,0,"27:23",6,13,0.462,2,6,0.333,2,2,1,0,3,3,2,1,0,2,2,16,9.8,13,24.8
17,17,"2015-11-27","23-352","OKC","","DET",16,0,"27:04",4,13,0.308,0,4,0,0,0,NA,1,3,4,3,1,0,2,2,8,2.4,17,18.5
18,18,"2015-11-30","23-355","OKC","@","ATL",-6,0,"31:18",0,7,0,0,1,0,1,2,0.5,1,5,6,3,2,0,0,4,1,0.4,6,17
19,19,"2015-12-03","23-358","OKC","@","MIA",-2,0,"26:42",6,9,0.667,1,2,0.5,0,0,NA,0,3,3,2,1,0,0,1,13,12,-5,22.3
