"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-053","PHO","","DAL",-16,0,"20:07",4,13,0.308,1,3,0.333,0,0,NA,1,3,4,0,0,0,1,0,9,2.1,-4,14
2,2,"2015-10-30","22-055","PHO","","POR",18,0,"21:51",7,10,0.7,1,2,0.5,2,4,0.5,1,5,6,1,0,0,1,2,17,13.1,4,26
3,3,"2015-10-31","22-056","PHO","@","POR",11,0,"18:46",0,6,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,3,0,-5.1,2,1.3
4,4,"2015-11-02","22-058","PHO","@","LAC",-6,0,"21:29",5,11,0.455,0,1,0,1,2,0.5,4,1,5,1,1,0,0,2,11,8.9,-5,20.8
5,5,"2015-11-04","22-060","PHO","","SAC",21,0,"26:39",6,9,0.667,1,2,0.5,0,0,NA,0,4,4,2,1,0,1,1,13,11.3,15,23
6,6,"2015-11-06","22-062","PHO","","DET",-8,0,"16:28",2,6,0.333,0,0,NA,1,2,0.5,2,1,3,0,1,0,0,3,5,2.7,-14,10.8
7,7,"2015-11-08","22-064","PHO","@","OKC",-21,0,"23:12",7,10,0.7,0,0,NA,3,3,1,0,2,2,0,0,0,2,0,17,11.4,1,18.5
8,8,"2015-11-12","22-068","PHO","","LAC",14,0,"25:15",7,10,0.7,1,1,1,3,3,1,0,1,1,0,1,1,4,3,18,10.6,5,21.8
9,9,"2015-11-14","22-070","PHO","","DEN",24,0,"17:00",3,7,0.429,0,1,0,2,2,1,4,3,7,0,1,0,1,2,8,7.2,2,18.3
10,10,"2015-11-16","22-072","PHO","","LAL",19,0,"24:17",9,13,0.692,0,0,NA,1,2,0.5,2,2,4,0,2,0,0,1,19,16.7,16,28
12,11,"2015-11-20","22-076","PHO","@","DEN",7,0,"11:05",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,1,0,0.3,-11,3
