"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-194","ORL","","WAS",-1,0,"21:01",1,6,0.167,0,2,0,0,0,NA,0,0,0,1,1,0,1,2,2,-1.9,17,5
2,2,"2015-10-30","31-196","ORL","","OKC",-3,0,"20:58",1,5,0.2,1,3,0.333,0,0,NA,0,3,3,3,1,0,0,1,3,3.5,2,13.8
3,3,"2015-11-01","31-198","ORL","@","CHI",-5,0,"13:54",2,4,0.5,1,2,0.5,0,2,0,1,2,3,2,0,0,0,0,5,4.9,-10,12.3
4,4,"2015-11-03","31-200","ORL","@","NOP",9,0,"20:27",1,1,1,0,0,NA,3,3,1,0,2,2,2,0,0,1,0,5,5.7,6,10
5,5,"2015-11-04","31-201","ORL","@","HOU",-5,0,"20:29",3,5,0.6,1,2,0.5,0,0,NA,0,0,0,6,4,0,2,1,7,10.5,7,23.5
6,6,"2015-11-06","31-203","ORL","","TOR",5,0,"27:22",4,10,0.4,2,4,0.5,2,2,1,1,4,5,2,0,0,0,4,12,8.3,14,22.3
7,7,"2015-11-07","31-204","ORL","@","PHI",8,0,"15:24",0,3,0,0,1,0,0,0,NA,2,1,3,7,1,0,1,1,0,4.1,-1,15.8
8,8,"2015-11-09","31-206","ORL","@","IND",-13,0,"16:52",2,4,0.5,0,2,0,0,0,NA,0,0,0,2,1,0,1,1,4,3,-8,8.5
53,9,"2016-02-19","31-308","ORL","","DAL",6,0,"7:40",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-13,1.3
54,10,"2016-02-21","31-310","ORL","","IND",-3,0,"11:43",0,1,0,0,1,0,2,2,1,0,0,0,1,1,0,1,0,2,2,-5,5
55,11,"2016-02-23","31-312","ORL","@","PHI",9,0,"18:39",1,3,0.333,0,0,NA,1,1,1,1,4,5,0,2,0,2,1,3,2.8,13,12.3
56,12,"2016-02-25","31-314","ORL","","GSW",-16,0,"15:19",1,1,1,0,0,NA,4,4,1,0,2,2,3,0,0,0,2,6,7.6,-5,13
57,13,"2016-02-26","31-315","ORL","@","NYK",-13,0,"14:25",0,4,0,0,2,0,0,0,NA,0,3,3,2,0,0,1,1,0,-1.9,-18,6.3
58,14,"2016-02-28","31-317","ORL","","PHI",14,0,"23:50",1,2,0.5,1,2,0.5,0,0,NA,0,2,2,2,1,0,1,2,3,3.2,7,10.5
59,15,"2016-03-01","31-319","ORL","@","DAL",-13,0,"29:48",1,4,0.25,1,3,0.333,4,4,1,1,1,2,6,0,1,1,1,7,9.1,-11,20.5
60,16,"2016-03-02","31-320","ORL","","CHI",13,0,"17:15",0,6,0,0,1,0,0,0,NA,0,1,1,0,0,1,0,1,0,-3.6,-14,3.3
