"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-112","PHO","","DAL",-16,0,"15:15",0,2,0,0,1,0,0,0,NA,0,3,3,2,1,0,1,1,0,0.5,8,8.3
2,2,"2015-10-30","29-114","PHO","","POR",18,0,"16:48",1,2,0.5,0,1,0,1,1,1,0,3,3,0,0,0,4,0,3,-1.1,1,4.8
3,3,"2015-10-31","29-115","PHO","@","POR",11,0,"6:12",0,1,0,0,1,0,0,0,NA,0,0,0,1,1,0,0,0,0,1,0,3.5
4,4,"2015-11-02","29-117","PHO","@","LAC",-6,0,"7:33",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,0,-1.5,-8,2
5,5,"2015-11-04","29-119","PHO","","SAC",21,0,"6:53",1,1,1,0,0,NA,2,2,1,1,2,3,1,0,0,1,1,4,4.3,5,8.8
6,6,"2015-11-06","29-121","PHO","","DET",-8,0,"5:42",0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,0,-2.2,-2,2
8,7,"2015-11-12","29-127","PHO","","LAC",14,0,"5:47",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,2,1.4,-2,3
9,8,"2015-11-14","29-129","PHO","","DEN",24,0,"8:20",0,1,0,0,0,NA,0,2,0,0,1,1,3,0,0,1,0,0,-0.1,-5,5.3
14,9,"2015-11-23","29-138","PHO","@","SAS",-14,0,"1:28",0,1,0,0,1,0,0,0,NA,0,0,0,1,1,0,0,0,0,1,3,3.5
16,10,"2015-11-27","29-142","PHO","","GSW",-19,0,"10:57",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,0,0.2,5,4
26,11,"2015-12-14","29-159","PHO","@","DAL",-10,0,"12:30",2,3,0.667,2,2,1,3,4,0.75,0,0,0,1,0,0,2,3,9,4.8,7,10.5
27,12,"2015-12-16","29-161","PHO","@","GSW",-25,0,"6:20",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,12,1.5
32,13,"2015-12-26","29-171","PHO","","PHI",-7,0,"17:14",1,4,0.25,1,1,1,0,0,NA,0,0,0,3,1,0,1,2,3,1.9,-3,9.5
33,14,"2015-12-28","29-173","PHO","","CLE",-4,0,"10:45",1,2,0.5,0,0,NA,0,0,NA,2,1,3,2,0,0,1,1,2,2.7,2,8.3
34,15,"2015-12-30","29-175","PHO","@","SAS",-33,0,"13:35",0,3,0,0,2,0,0,0,NA,0,2,2,0,0,0,1,1,0,-2.9,-17,2
36,16,"2016-01-02","29-178","PHO","@","SAC",-23,0,"8:20",2,2,1,2,2,1,0,0,NA,0,0,0,1,0,0,1,1,6,4.7,-1,8
37,17,"2016-01-03","29-179","PHO","@","LAL",-20,0,"3:50",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-9,-0.5
40,18,"2016-01-12","29-188","PHO","@","IND",-19,0,"2:27",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,0,2
41,19,"2016-01-15","29-191","PHO","@","BOS",-14,0,"23:37",4,6,0.667,1,1,1,1,2,0.5,1,5,6,5,2,0,3,2,10,10.9,0,28
42,20,"2016-01-17","29-193","PHO","@","MIN",-30,0,"16:24",1,2,0.5,0,0,NA,0,0,NA,0,0,0,3,1,0,2,1,2,1.7,-14,7.5
43,21,"2016-01-19","29-195","PHO","","IND",-3,0,"10:01",0,2,0,0,1,0,0,0,NA,0,0,0,2,0,0,0,0,0,0,4,3
44,22,"2016-01-21","29-197","PHO","","SAS",-28,0,"20:58",1,5,0.2,0,3,0,0,0,NA,0,0,0,1,0,0,2,5,2,-4.4,-28,2.5
45,23,"2016-01-23","29-199","PHO","","ATL",3,0,"6:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,0,-0.1,-7,1.5
46,24,"2016-01-26","29-202","PHO","@","PHI",-10,0,"22:53",5,8,0.625,2,4,0.5,0,0,NA,1,1,2,1,0,0,1,3,12,7.9,1,16.5
47,25,"2016-01-27","29-203","PHO","@","CLE",-22,0,"20:42",4,6,0.667,2,3,0.667,0,0,NA,0,2,2,1,1,0,4,1,10,5.3,-5,15
