"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-350","OKC","","SAS",6,1,"36:59",12,23,0.522,3,6,0.5,6,7,0.857,1,1,2,10,2,0,5,3,33,25.1,7,55
2,2,"2015-10-30","26-352","OKC","@","ORL",3,1,"47:35",17,36,0.472,1,5,0.2,13,16,0.813,5,6,11,8,1,1,6,3,48,33.8,2,76.8
3,3,"2015-11-01","26-354","OKC","","DEN",24,1,"25:26",7,13,0.538,1,4,0.25,0,0,NA,2,7,9,8,3,0,4,0,15,16.8,22,42.8
4,4,"2015-11-02","26-355","OKC","@","HOU",-5,1,"31:57",10,16,0.625,3,6,0.5,2,2,1,2,6,8,11,2,0,7,5,25,21.7,4,55
5,5,"2015-11-04","26-357","OKC","","TOR",-5,1,"35:20",8,21,0.381,3,9,0.333,3,4,0.75,0,5,5,16,2,0,8,4,22,15.2,3,55.3
6,6,"2015-11-05","26-358","OKC","@","CHI",-6,1,"38:34",7,18,0.389,0,2,0,6,6,1,2,6,8,10,1,0,2,2,20,18.6,8,47.5
7,7,"2015-11-08","26-361","OKC","","PHO",21,1,"33:58",9,20,0.45,0,3,0,3,4,0.75,4,2,6,13,4,0,2,3,21,23.5,26,56.5
8,8,"2015-11-10","26-363","OKC","@","WAS",24,1,"27:46",7,17,0.412,3,4,0.75,5,6,0.833,2,9,11,11,1,0,5,0,22,20.3,23,57.8
9,9,"2015-11-13","27-001","OKC","","PHI",17,1,"34:47",8,22,0.364,2,6,0.333,3,4,0.75,4,13,17,11,3,0,6,1,21,19.4,16,67.3
10,10,"2015-11-15","27-003","OKC","","BOS",-15,1,"32:37",5,20,0.25,2,10,0.2,15,17,0.882,1,3,4,5,3,2,4,4,27,18.1,-7,48.5
11,11,"2015-11-16","27-004","OKC","@","MEM",-8,1,"38:32",13,19,0.684,5,8,0.625,9,13,0.692,1,3,4,14,3,0,8,1,40,36.3,2,72
12,12,"2015-11-18","27-006","OKC","","NOP",7,1,"36:04",14,25,0.56,0,3,0,15,20,0.75,3,6,9,8,1,1,4,1,43,35.9,-5,68.3
13,13,"2015-11-20","27-008","OKC","","NYK",-3,1,"37:37",11,29,0.379,2,10,0.2,10,12,0.833,3,4,7,7,4,1,3,4,34,25.6,4,62.8
14,14,"2015-11-22","27-010","OKC","","DAL",3,1,"36:53",12,22,0.545,2,5,0.4,5,6,0.833,0,5,5,11,5,1,7,1,31,27.5,4,64.8
15,15,"2015-11-23","27-011","OKC","@","UTA",22,1,"27:18",5,10,0.5,0,2,0,10,10,1,2,5,7,9,1,0,4,3,20,20,9,42.3
16,16,"2015-11-25","27-013","OKC","","BRK",11,1,"35:14",10,16,0.625,0,3,0,7,8,0.875,1,5,6,13,5,0,3,1,27,32.3,16,64
17,17,"2015-11-27","27-015","OKC","","DET",16,1,"28:37",5,14,0.357,1,3,0.333,3,5,0.6,2,2,4,4,1,0,11,6,14,-2.2,9,22
18,18,"2015-11-30","27-018","OKC","@","ATL",-6,1,"35:57",11,24,0.458,1,5,0.2,11,11,1,2,9,11,7,2,0,6,3,34,25.4,-2,61.3
19,19,"2015-12-03","27-021","OKC","@","MIA",-2,1,"34:27",8,18,0.444,0,3,0,9,9,1,1,4,5,6,1,0,7,1,25,15.3,8,38.8
20,20,"2015-12-06","27-024","OKC","","SAC",3,1,"37:52",7,13,0.538,1,3,0.333,4,5,0.8,0,11,11,10,3,0,3,2,19,21.8,13,57.3
21,21,"2015-12-08","27-026","OKC","@","MEM",37,1,"24:56",5,7,0.714,1,2,0.5,2,2,1,1,4,5,16,2,0,3,1,13,21.8,26,47.8
22,22,"2015-12-10","27-028","OKC","","ATL",13,1,"38:28",8,17,0.471,3,4,0.75,4,6,0.667,2,4,6,10,3,0,2,2,23,23.3,15,53.5
23,23,"2015-12-11","27-029","OKC","@","UTA",4,1,"35:02",8,19,0.421,2,4,0.5,6,6,1,1,6,7,7,2,0,3,2,24,19.5,8,46.8
24,24,"2015-12-13","27-031","OKC","","UTA",6,1,"40:22",9,25,0.36,0,4,0,7,9,0.778,2,9,11,5,2,2,1,2,25,19.5,19,55.3
25,25,"2015-12-16","27-034","OKC","","POR",16,1,"26:53",5,15,0.333,0,3,0,3,3,1,1,2,3,5,2,2,3,2,13,8.9,12,30.8
26,26,"2015-12-17","27-035","OKC","@","CLE",-4,1,"34:28",10,18,0.556,1,3,0.333,6,6,1,0,3,3,10,3,0,4,4,27,23.7,-4,51.8
27,27,"2015-12-19","27-037","OKC","","LAL",40,1,"27:43",5,11,0.455,0,1,0,3,6,0.5,0,1,1,11,1,0,4,2,13,10.3,18,32.3
28,28,"2015-12-21","27-039","OKC","@","LAC",1,1,"37:19",11,25,0.44,2,5,0.4,9,11,0.818,1,4,5,7,3,0,1,4,33,26.3,8,56.3
29,29,"2015-12-23","27-041","OKC","@","LAL",35,1,"29:33",10,19,0.526,0,1,0,3,5,0.6,3,5,8,8,2,0,2,2,23,21.3,33,48
30,30,"2015-12-25","27-043","OKC","","CHI",-9,1,"39:57",9,23,0.391,1,7,0.143,7,13,0.538,1,6,7,8,6,0,6,3,26,18,-4,56.3
