"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-137","MIA","","CHO",10,1,"20:15",2,4,0.5,0,0,NA,0,0,NA,0,6,6,0,0,2,2,3,4,2,4,14.5
2,2,"2015-10-30","26-139","MIA","@","CLE",-10,1,"36:02",4,7,0.571,0,0,NA,3,4,0.75,1,8,9,2,0,6,2,2,11,13.2,6,36.3
3,3,"2015-11-01","26-141","MIA","","HOU",20,1,"33:31",12,15,0.8,0,0,NA,1,3,0.333,1,14,15,1,3,2,3,2,25,24.7,20,55.3
4,4,"2015-11-03","26-143","MIA","","ATL",-6,1,"31:02",11,12,0.917,0,0,NA,1,2,0.5,5,9,14,0,0,4,3,0,23,24.6,-4,48.5
5,5,"2015-11-05","26-145","MIA","@","MIN",12,1,"29:42",5,9,0.556,0,0,NA,2,2,1,1,8,9,0,0,4,7,5,12,4.6,14,27.8
6,6,"2015-11-06","26-146","MIA","@","IND",-3,1,"33:07",4,10,0.4,0,0,NA,0,1,0,1,11,12,0,1,4,1,1,8,8.6,-23,32.5
7,7,"2015-11-08","26-148","MIA","","TOR",20,1,"24:38",8,15,0.533,0,0,NA,4,5,0.8,6,5,11,0,1,6,0,2,20,22.4,2,49.3
8,8,"2015-11-10","26-150","MIA","","LAL",13,1,"27:07",8,12,0.667,0,0,NA,3,6,0.5,7,8,15,0,0,3,0,1,19,21.6,22,45.3
9,9,"2015-11-12","26-152","MIA","","UTA",1,1,"29:18",4,10,0.4,0,0,NA,1,4,0.25,3,11,14,0,1,5,2,3,9,9.1,-9,37.5
10,10,"2015-11-17","26-157","MIA","","MIN",-12,1,"33:49",10,14,0.714,0,0,NA,2,9,0.222,4,10,14,0,0,10,4,2,22,21.4,10,62
11,11,"2015-11-19","26-159","MIA","","SAC",7,1,"18:24",4,7,0.571,0,0,NA,4,4,1,2,3,5,0,2,4,0,3,12,14.6,-11,30.3
12,12,"2015-11-21","26-161","MIA","","PHI",5,1,"29:22",4,7,0.571,0,0,NA,5,8,0.625,2,7,9,0,1,8,3,1,13,15.2,3,40.8
13,13,"2015-11-23","26-163","MIA","","NYK",17,1,"33:50",3,8,0.375,0,0,NA,5,10,0.5,3,8,11,1,1,5,1,3,11,12.1,4,39.3
14,14,"2015-11-25","26-165","MIA","@","DET",-23,1,"29:37",7,9,0.778,0,0,NA,1,2,0.5,5,8,13,0,0,3,3,2,15,15.3,-23,37.3
15,15,"2015-11-27","26-167","MIA","@","NYK",19,1,"31:21",1,6,0.167,0,0,NA,4,6,0.667,5,9,14,0,0,6,1,1,6,10.4,14,35
16,16,"2015-11-30","26-170","MIA","","BOS",-10,1,"25:46",2,4,0.5,0,0,NA,2,4,0.5,3,5,8,0,1,3,1,3,6,7.7,-15,23.5
17,17,"2015-12-03","26-173","MIA","","OKC",2,1,"28:44",5,8,0.625,0,0,NA,1,2,0.5,1,7,8,0,0,2,2,3,11,8,-15,24
18,18,"2015-12-05","26-175","MIA","","CLE",15,1,"21:13",2,3,0.667,0,0,NA,3,7,0.429,2,7,9,0,1,5,0,2,7,11.3,12,30.3
19,19,"2015-12-07","26-177","MIA","","WAS",-11,1,"23:02",7,7,1,0,0,NA,0,3,0,0,4,4,0,0,3,0,1,14,13.6,2,25
20,20,"2015-12-09","26-179","MIA","@","CHO",-18,1,"22:56",3,5,0.6,0,0,NA,0,0,NA,1,7,8,1,0,3,6,2,6,2.5,-12,20.5
21,21,"2015-12-11","26-181","MIA","@","IND",-13,1,"17:29",4,4,1,0,0,NA,0,1,0,2,8,10,0,0,2,1,3,8,9.4,-12,24
22,22,"2015-12-13","26-183","MIA","","MEM",3,1,"28:00",4,5,0.8,0,0,NA,1,3,0.333,4,7,11,0,2,0,1,3,9,11,-18,26.3
23,23,"2015-12-14","26-184","MIA","@","ATL",12,1,"25:57",4,11,0.364,0,0,NA,0,2,0,5,8,13,0,0,3,2,4,8,5.5,11,29.3
24,24,"2015-12-16","26-186","MIA","@","BRK",6,1,"29:30",7,10,0.7,0,0,NA,6,8,0.75,5,8,13,0,0,1,2,4,20,18,-8,38.8
25,25,"2015-12-18","26-188","MIA","","TOR",-14,1,"31:24",4,6,0.667,0,0,NA,0,0,NA,1,12,13,0,0,5,0,2,8,12.4,0,34.3
26,26,"2015-12-20","26-190","MIA","","POR",7,1,"37:38",10,13,0.769,0,0,NA,2,4,0.5,3,8,11,1,2,5,2,3,22,23.6,11,51.8
27,27,"2015-12-22","26-192","MIA","","DET",-1,1,"35:16",7,13,0.538,0,0,NA,2,2,1,6,10,16,0,0,4,2,2,16,16.9,0,44.5
28,28,"2015-12-25","26-195","MIA","","NOP",6,1,"24:31",3,7,0.429,0,0,NA,2,4,0.5,6,11,17,0,0,4,3,4,8,9.2,1,35.8
29,29,"2015-12-26","26-196","MIA","@","ORL",7,1,"37:14",2,5,0.4,0,0,NA,3,3,1,1,5,6,0,0,3,0,3,7,7.4,15,20.5
30,30,"2015-12-28","26-198","MIA","","BRK",-6,1,"33:11",7,10,0.7,0,0,NA,4,6,0.667,6,5,11,0,1,5,3,4,18,18.6,-1,43.8
31,31,"2015-12-29","26-199","MIA","@","MEM",-9,1,"36:50",2,4,0.5,0,0,NA,1,2,0.5,2,9,11,1,0,5,3,6,5,5.5,-5,28.8
32,32,"2016-01-01","26-202","MIA","","DAL",24,1,"32:19",12,16,0.75,0,0,NA,1,2,0.5,4,15,19,0,0,1,4,4,25,20.6,23,50.3
33,33,"2016-01-03","26-204","MIA","@","WAS",22,1,"29:52",3,9,0.333,0,0,NA,0,2,0,3,10,13,1,1,6,0,1,6,10.7,17,37.8
35,34,"2016-01-06","26-207","MIA","","NYK",-8,1,"28:26",3,6,0.5,0,0,NA,2,2,1,4,4,8,1,0,1,4,1,8,6,-18,19.5
36,35,"2016-01-08","26-209","MIA","@","PHO",8,1,"18:32",2,8,0.25,0,0,NA,1,2,0.5,2,7,9,0,0,0,1,2,5,1.5,-9,15.8
37,36,"2016-01-09","26-210","MIA","@","UTA",-15,1,"30:47",4,8,0.5,0,0,NA,2,6,0.333,5,6,11,0,1,4,1,3,10,11.3,-5,34.8
39,37,"2016-01-13","26-214","MIA","@","LAC",-14,0,"26:47",3,5,0.6,0,0,NA,4,6,0.667,0,11,11,1,1,3,5,4,10,7.4,-3,32.3
40,38,"2016-01-15","26-216","MIA","@","DEN",3,1,"38:29",8,13,0.615,0,0,NA,3,5,0.6,6,11,17,2,1,11,4,2,19,25.1,10,69.8
41,39,"2016-01-17","26-218","MIA","@","OKC",-25,1,"33:01",7,9,0.778,0,0,NA,0,0,NA,3,8,11,0,1,4,3,1,14,15.4,-10,37.8
42,40,"2016-01-19","26-220","MIA","","MIL",-12,1,"35:22",8,9,0.889,0,0,NA,7,11,0.636,7,11,18,1,0,2,1,1,23,27.2,-10,52
43,41,"2016-01-20","26-221","MIA","@","WAS",-19,1,"10:38",1,1,1,0,0,NA,0,0,NA,0,2,2,1,1,1,2,0,2,2.7,-10,9
