"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2016-03-17","23-049","PHO","@","UTA",-34,0,"2:12",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,1,0,0,0,1,1.6,0,3
9,2,"2016-03-25","23-057","PHO","@","SAC",-22,0,"11:03",2,3,0.667,0,0,NA,2,4,0.5,2,3,5,0,1,0,1,4,6,4.6,-12,13.8
11,3,"2016-03-28","23-060","PHO","@","MIN",-5,0,"2:46",0,1,0,0,0,NA,0,0,NA,2,0,2,0,0,0,2,2,0,-2.1,-2,1.5
13,4,"2016-04-01","23-064","PHO","","WAS",-7,0,"0:41",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
14,5,"2016-04-03","23-066","PHO","","UTA",-15,0,"1:23",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,4,3.3
15,6,"2016-04-05","23-068","PHO","@","ATL",-13,0,"7:20",0,1,0,0,0,NA,1,2,0.5,1,2,3,1,0,0,0,1,1,1.5,11,6.3
16,7,"2016-04-07","23-070","PHO","@","HOU",9,0,"3:17",0,2,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,0,-0.8,-4,2.5
17,8,"2016-04-09","23-072","PHO","@","NOP",21,0,"8:26",1,4,0.25,0,0,NA,1,1,1,2,5,7,2,0,2,0,3,3,5.1,2,18.8
18,9,"2016-04-11","23-074","PHO","","SAC",-4,0,"8:43",1,3,0.333,0,0,NA,0,0,NA,3,3,6,0,1,0,1,0,2,3.3,-2,11
19,10,"2016-04-13","23-076","PHO","","LAC",9,0,"22:18",5,9,0.556,0,0,NA,4,5,0.8,3,9,12,2,1,3,2,4,14,15,2,40.5
