"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-156","NYK","@","MIL",25,0,"21:19",8,17,0.471,1,3,0.333,7,9,0.778,4,3,7,1,0,1,2,1,24,17.2,20,35.8
2,2,"2015-10-29","24-157","NYK","","ATL",-11,0,"18:07",3,9,0.333,0,3,0,3,4,0.75,0,2,2,0,1,0,1,0,9,4.1,-2,13
3,3,"2015-10-31","24-159","NYK","@","WAS",7,0,"15:22",2,5,0.4,1,2,0.5,2,4,0.5,0,1,1,1,1,0,1,2,7,3.7,2,11.8
4,4,"2015-11-02","24-161","NYK","","SAS",-10,0,"10:30",3,7,0.429,0,1,0,0,0,NA,0,2,2,0,0,1,1,0,6,2.6,-12,10
5,5,"2015-11-04","24-163","NYK","@","CLE",-10,0,"10:56",2,4,0.5,1,1,1,2,2,1,0,2,2,0,0,0,1,1,7,4.2,1,9.5
6,6,"2015-11-06","24-165","NYK","","MIL",-7,0,"20:06",4,11,0.364,0,3,0,7,8,0.875,1,0,1,0,1,0,0,1,15,9.8,-4,18.3
7,7,"2015-11-08","24-167","NYK","","LAL",4,0,"15:08",1,4,0.25,0,0,NA,4,6,0.667,0,1,1,1,0,0,1,0,6,2.8,-3,8.3
8,8,"2015-11-10","24-169","NYK","@","TOR",2,0,"7:45",1,3,0.333,1,2,0.5,2,2,1,0,2,2,3,1,0,0,0,5,7,-2,14.5
9,9,"2015-11-11","24-170","NYK","@","CHO",-2,0,"4:02",0,1,0,0,0,NA,0,0,NA,0,0,0,0,2,0,2,1,0,-1.1,-12,3
10,10,"2015-11-13","24-172","NYK","","CLE",-6,0,"16:20",1,6,0.167,0,2,0,3,6,0.5,1,6,7,1,2,1,0,1,5,5.5,-7,21.3
11,11,"2015-11-15","24-174","NYK","","NOP",8,0,"5:59",0,2,0,0,0,NA,0,0,NA,1,1,2,2,1,0,0,1,0,1.6,2,7.5
12,12,"2015-11-17","24-176","NYK","","CHO",8,0,"5:42",1,3,0.333,0,0,NA,2,2,1,0,0,0,0,0,1,0,1,4,2.6,-15,6
13,13,"2015-11-20","24-179","NYK","@","OKC",3,0,"15:49",3,5,0.6,2,3,0.667,1,4,0.25,0,3,3,2,0,0,1,1,9,6.4,1,16.3
14,14,"2015-11-21","24-180","NYK","@","HOU",5,0,"10:32",1,5,0.2,0,2,0,4,4,1,1,3,4,0,0,0,0,1,6,4.1,-5,11
15,15,"2015-11-23","24-182","NYK","@","MIA",-17,0,"4:15",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-9,1.3
17,16,"2015-11-27","24-186","NYK","","MIA",-19,0,"17:41",3,6,0.5,1,3,0.333,2,2,1,0,2,2,0,0,0,1,1,9,5.2,-6,11.5
18,17,"2015-11-29","24-188","NYK","","HOU",-5,0,"15:02",4,5,0.8,1,1,1,3,3,1,0,4,4,1,0,0,1,2,12,10.2,2,18.5
19,18,"2015-12-02","24-191","NYK","","PHI",12,0,"18:38",3,7,0.429,0,2,0,2,4,0.5,1,1,2,1,0,0,0,1,8,4.8,5,12
20,19,"2015-12-04","24-193","NYK","","BRK",17,0,"16:36",3,7,0.429,0,3,0,2,2,1,0,0,0,0,1,0,0,1,8,4.9,3,10
