"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","32-312","CLE","@","CHI",-2,1,"37:09",7,15,0.467,3,7,0.429,2,3,0.667,0,4,4,7,1,1,1,2,19,16.9,5,39.5
2,2,"2015-10-28","32-313","CLE","@","MEM",30,1,"22:38",3,8,0.375,3,6,0.5,0,0,NA,0,2,2,5,0,0,2,1,9,6.3,1,19.5
3,3,"2015-10-30","32-315","CLE","","MIA",10,1,"25:48",2,10,0.2,0,4,0,2,2,1,0,0,0,3,1,0,1,3,6,0.7,-4,12
4,4,"2015-11-02","32-318","CLE","@","PHI",7,1,"27:56",8,10,0.8,2,3,0.667,3,3,1,0,1,1,3,1,0,2,2,21,17.8,19,28.8
5,5,"2015-11-04","32-320","CLE","","NYK",10,1,"36:05",8,19,0.421,2,8,0.25,4,4,1,0,6,6,4,0,0,1,2,22,14.7,3,36
6,6,"2015-11-06","32-322","CLE","","PHI",6,1,"30:32",8,12,0.667,0,2,0,0,0,NA,0,2,2,8,2,0,2,2,16,16.2,2,33.5
7,7,"2015-11-08","32-324","CLE","","IND",4,1,"37:43",4,15,0.267,2,5,0.4,0,0,NA,1,4,5,8,0,0,2,2,10,5.8,11,28.3
8,8,"2015-11-10","32-326","CLE","","UTA",4,1,"35:44",8,9,0.889,4,4,1,9,10,0.9,0,6,6,6,2,0,5,1,29,28.1,12,49
9,9,"2015-11-13","32-329","CLE","@","NYK",6,1,"32:02",7,13,0.538,2,6,0.333,4,4,1,0,2,2,3,0,0,3,2,20,12.6,7,26.5
10,10,"2015-11-14","32-330","CLE","@","MIL",-3,1,"29:22",2,8,0.25,0,3,0,0,0,NA,2,3,5,4,0,0,3,3,4,0.1,-1,14.8
11,11,"2015-11-17","32-333","CLE","@","DET",-5,1,"28:48",6,13,0.462,2,8,0.25,1,2,0.5,0,5,5,7,0,0,2,3,15,11.1,-4,31.8
15,12,"2015-11-25","32-341","CLE","@","TOR",-4,0,"31:37",7,12,0.583,1,3,0.333,0,0,NA,0,3,3,3,0,1,3,1,15,9.7,-1,24.3
16,13,"2015-11-27","32-343","CLE","@","CHO",5,1,"20:48",3,4,0.75,0,0,NA,0,0,NA,0,1,1,3,0,1,3,4,6,2.9,-3,12.3
17,14,"2015-11-28","32-344","CLE","","BRK",2,1,"28:26",7,13,0.538,0,1,0,0,0,NA,0,2,2,1,2,1,3,3,14,7.5,-1,22.5
18,15,"2015-12-01","32-347","CLE","","WAS",-12,1,"27:52",5,10,0.5,2,3,0.667,0,0,NA,0,3,3,3,0,0,1,1,12,8.6,-18,20.8
19,16,"2015-12-04","32-350","CLE","@","NOP",-6,0,"22:35",4,10,0.4,0,2,0,0,0,NA,0,1,1,3,0,0,1,2,8,3.2,-13,13.3
20,17,"2015-12-05","32-351","CLE","@","MIA",-15,0,"11:41",2,7,0.286,1,2,0.5,0,0,NA,0,0,0,1,0,0,1,4,5,-1,-10,6.5
