"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-31","25-238","UTA","@","IND",21,0,"1:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0
9,2,"2015-11-13","25-251","UTA","@","ORL",-9,0,"24:22",4,7,0.571,0,0,NA,0,0,NA,4,3,7,0,1,2,0,2,8,10,11,22.8
10,3,"2015-11-15","25-253","UTA","@","ATL",1,0,"6:07",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0.7,0,2
11,4,"2015-11-18","25-256","UTA","","TOR",4,0,"7:52",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,1,1,1,2,1.3,-4,4.8
12,5,"2015-11-20","25-258","UTA","@","DAL",-9,0,"1:49",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-3,0
13,6,"2015-11-23","25-261","UTA","","OKC",-22,0,"14:14",1,2,0.5,0,0,NA,2,4,0.5,2,3,5,0,1,1,1,1,4,4.8,1,13.8
14,7,"2015-11-25","25-263","UTA","@","LAC",11,0,"1:15",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-6,0
15,8,"2015-11-28","25-266","UTA","","NOP",14,0,"7:07",0,2,0,0,0,NA,0,2,0,2,1,3,1,2,1,1,3,0,0.7,6,10.8
17,9,"2015-12-03","25-271","UTA","","ORL",-9,0,"10:00",2,3,0.667,0,0,NA,0,0,NA,1,2,3,0,0,3,0,1,4,5.7,3,13.8
18,10,"2015-12-05","25-273","UTA","","IND",3,0,"9:28",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,0,1,2,1,2,-0.1,0,5.5
19,11,"2015-12-08","25-276","UTA","@","SAC",-8,0,"13:15",0,3,0,0,0,NA,0,0,NA,3,2,5,0,0,0,0,1,0,0.2,8,6.3
20,12,"2015-12-09","25-277","UTA","","NYK",21,0,"19:53",4,5,0.8,0,0,NA,0,0,NA,3,6,9,2,0,1,3,1,8,8.7,10,22.8
21,13,"2015-12-11","25-279","UTA","","OKC",-4,0,"11:21",3,3,1,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,6,4.4,7,6.8
22,14,"2015-12-13","25-281","UTA","@","OKC",-6,0,"10:25",1,1,1,0,0,NA,0,0,NA,1,3,4,0,0,0,0,3,2,2.1,12,7
23,15,"2015-12-14","25-282","UTA","@","SAS",-37,0,"20:18",3,5,0.6,0,0,NA,3,4,0.75,1,4,5,0,1,2,2,3,9,7.4,2,20.3
24,16,"2015-12-16","25-284","UTA","","NOP",-10,1,"17:22",1,3,0.333,0,0,NA,2,2,1,0,3,3,0,1,1,0,3,4,3.7,4,11.8
25,17,"2015-12-18","25-286","UTA","","DEN",9,0,"8:48",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,1,2,3,0,-2.2,7,2.3
26,18,"2015-12-21","25-289","UTA","","PHO",21,0,"10:32",0,2,0,0,0,NA,0,0,NA,0,4,4,0,0,2,0,1,0,0.8,-4,9
27,19,"2015-12-23","25-291","UTA","@","GSW",-18,0,"13:13",3,3,1,0,0,NA,3,4,0.75,1,3,4,2,1,0,0,1,9,11.3,3,19
28,20,"2015-12-26","25-294","UTA","","LAC",-5,1,"18:32",2,5,0.4,0,0,NA,2,2,1,0,7,7,0,1,2,0,1,6,7.4,-1,20.8
29,21,"2015-12-28","25-296","UTA","","PHI",4,1,"23:38",4,7,0.571,0,0,NA,3,4,0.75,5,7,12,1,2,2,3,2,11,13.2,3,35.5
30,22,"2015-12-30","25-298","UTA","@","MIN",-14,1,"28:51",5,10,0.5,0,0,NA,3,5,0.6,3,6,9,1,1,2,1,5,13,11.2,-11,31.3
31,23,"2015-12-31","25-299","UTA","","POR",13,1,"34:51",4,7,0.571,0,0,NA,2,3,0.667,2,1,3,1,1,4,1,3,10,10.3,19,24.8
32,24,"2016-01-02","25-301","UTA","","MEM",5,1,"32:04",5,9,0.556,0,0,NA,2,4,0.5,3,7,10,2,1,4,3,6,12,10.9,-4,37.5
33,25,"2016-01-04","25-303","UTA","","HOU",-2,1,"34:54",2,8,0.25,0,0,NA,4,6,0.667,5,6,11,0,3,3,1,2,8,11,1,33.3
