"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","20-031","PHI","@","BOS",-17,0,"5:36",0,2,0,0,0,NA,0,0,NA,2,0,2,0,0,0,0,0,0,0,-12,2.5
2,2,"2015-10-30","20-033","PHI","","UTA",-28,0,"5:28",0,1,0,0,1,0,3,4,0.75,0,0,0,0,0,0,0,0,3,1.9,-5,3
3,3,"2015-11-02","20-036","PHI","","CLE",-7,0,"5:05",2,3,0.667,1,1,1,0,0,NA,0,0,0,1,0,0,0,0,5,4.4,11,7
5,4,"2015-11-06","20-040","PHI","@","CLE",-6,0,"0:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0
6,5,"2015-11-07","20-041","PHI","","ORL",-8,0,"0:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,0
7,6,"2015-11-09","20-043","PHI","","CHI",-23,0,"21:31",4,10,0.4,0,1,0,1,2,0.5,3,5,8,0,1,0,1,1,9,6.4,-9,20.5
8,7,"2015-11-11","20-045","PHI","","TOR",-16,0,"15:36",2,7,0.286,0,1,0,0,0,NA,0,3,3,1,0,0,0,1,4,1.1,0,9.3
9,8,"2015-11-13","20-047","PHI","@","OKC",-17,0,"18:47",5,7,0.714,1,1,1,4,5,0.8,4,4,8,0,1,2,0,1,15,17.7,1,31.5
10,9,"2015-11-14","20-048","PHI","@","SAS",-9,0,"13:16",2,5,0.4,1,2,0.5,0,0,NA,0,4,4,0,1,0,0,3,5,3.3,-5,12.5
12,10,"2015-11-18","20-052","PHI","","IND",-27,0,"10:41",1,2,0.5,0,0,NA,0,0,NA,0,3,3,1,1,2,1,2,2,3.2,3,12.8
13,11,"2015-11-20","20-054","PHI","@","CHO",-25,0,"4:04",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,-13,2
20,12,"2015-12-02","20-066","PHI","@","NYK",-12,0,"2:11",0,0,NA,0,0,NA,1,2,0.5,1,0,1,0,0,0,0,0,1,1.3,5,2.3
26,13,"2015-12-14","20-078","PHI","@","CHI",-19,0,"8:01",3,5,0.6,1,2,0.5,0,0,NA,0,2,2,0,1,0,0,0,7,6.3,8,12
27,14,"2015-12-16","20-080","PHI","@","ATL",-21,0,"2:29",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-2,1.3
39,15,"2016-03-27","20-182","PHI","@","GSW",-12,0,"4:37",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-9,NA
40,16,"2016-03-29","20-184","PHI","","CHO",-15,0,"6:52",1,4,0.25,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,-0.1,-2,3.3
46,17,"2016-04-12","20-198","PHI","@","TOR",-24,0,"19:27",2,5,0.4,0,1,0,4,8,0.5,3,2,5,0,0,2,0,1,8,7.4,-22,18.3
