"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-023","MEM","","CLE",-30,0,"16:41",2,5,0.4,0,0,NA,4,4,1,1,1,2,0,0,1,2,1,8,4.6,-22,11.5
2,2,"2015-10-29","28-024","MEM","@","IND",9,0,"15:24",4,4,1,0,0,NA,1,2,0.5,0,1,1,0,0,2,0,1,9,8.7,-4,14.3
3,3,"2015-10-31","28-026","MEM","","BRK",10,0,"16:21",3,5,0.6,0,0,NA,0,0,NA,3,2,5,0,0,0,1,0,6,5.4,-4,11.8
4,4,"2015-11-02","28-028","MEM","@","GSW",-50,0,"19:49",3,6,0.5,0,0,NA,1,2,0.5,0,6,6,1,0,2,0,2,7,6.7,-12,20
5,5,"2015-11-03","28-029","MEM","@","SAC",14,0,"27:41",4,5,0.8,0,0,NA,2,7,0.286,1,5,6,3,0,4,1,3,10,11,2,29.5
6,6,"2015-11-05","28-031","MEM","@","POR",-19,0,"17:39",2,4,0.5,0,0,NA,2,3,0.667,1,3,4,0,0,1,0,1,6,5.5,-4,13
7,7,"2015-11-07","28-033","MEM","@","UTA",-10,0,"6:05",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,-0.1,-8,2
54,8,"2016-02-19","28-137","MEM","","MIN",5,0,"16:54",3,4,0.75,0,0,NA,0,0,NA,1,1,2,0,1,0,0,1,6,6,-8,10.5
55,9,"2016-02-21","28-139","MEM","@","TOR",-13,0,"20:38",1,2,0.5,0,0,NA,0,0,NA,1,1,2,1,0,1,3,2,2,-0.4,-4,6.5
56,10,"2016-02-24","28-142","MEM","","LAL",9,0,"21:58",7,10,0.7,0,0,NA,1,4,0.25,4,2,6,1,0,2,2,3,15,11.9,-3,27
57,11,"2016-02-26","28-144","MEM","@","LAL",17,1,"18:21",3,3,1,0,0,NA,2,2,1,2,3,5,0,0,2,0,3,8,9.6,12,18.3
58,12,"2016-02-27","28-145","MEM","@","PHO",-5,1,"14:36",3,3,1,0,0,NA,0,0,NA,0,4,4,0,3,0,1,3,6,7.1,-2,16.5
