"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-01","23-189","TOR","","MIL",19,0,"2:22",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,0,0,-1.4,-2,0.8
7,2,"2015-11-08","23-196","TOR","@","MIA",-20,0,"2:39",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
9,3,"2015-11-11","23-199","TOR","@","PHI",16,0,"2:36",0,2,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,-0.4,-1,2.5
10,4,"2015-11-13","23-201","TOR","","NOP",19,0,"2:29",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,-2,1.3
30,5,"2015-12-22","23-240","TOR","","DAL",4,0,"6:39",0,2,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,-0.4,5,2.8
36,6,"2016-01-04","23-253","TOR","@","CLE",-22,0,"2:56",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,1.7,-4,3.5
37,7,"2016-01-06","23-255","TOR","@","BRK",17,0,"2:19",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,1,2.8
39,8,"2016-01-09","23-258","TOR","@","PHI",13,0,"1:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-1,1.5
43,9,"2016-01-22","23-271","TOR","","MIA",20,0,"1:36",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,2,2
44,10,"2016-01-24","23-273","TOR","","LAC",18,0,"3:54",0,0,NA,0,0,NA,1,4,0.25,0,0,0,0,0,0,2,1,1,-2.6,-2,0
45,11,"2016-01-26","23-275","TOR","","WAS",17,0,"1:57",0,1,0,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,1.3,0,2
48,12,"2016-02-01","23-281","TOR","@","DEN",-19,0,"5:31",2,2,1,2,2,1,0,0,NA,0,0,0,0,1,0,0,0,6,6.4,4,9
51,13,"2016-02-08","23-288","TOR","@","DET",14,0,"1:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-7,1.3
52,14,"2016-02-10","23-290","TOR","@","MIN",-5,0,"3:07",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-3,0
55,15,"2016-02-22","23-302","TOR","@","NYK",27,0,"3:21",1,2,0.5,0,0,NA,0,0,NA,1,0,1,1,1,0,0,0,2,3.4,3,6.8
56,16,"2016-02-24","23-304","TOR","","MIN",9,0,"0:16",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
58,17,"2016-02-28","23-308","TOR","@","DET",-13,0,"30:46",3,8,0.375,2,4,0.5,5,6,0.833,0,3,3,6,1,0,1,2,13,12.5,-1,28.3
66,18,"2016-03-15","23-324","TOR","@","MIL",18,0,"2:48",0,1,0,0,0,NA,2,2,1,0,1,1,0,0,0,1,0,2,0.6,2,2.8
68,19,"2016-03-18","23-327","TOR","","BOS",14,0,"1:33",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
69,20,"2016-03-20","23-329","TOR","","ORL",5,0,"15:52",3,5,0.6,0,0,NA,0,2,0,0,1,1,2,1,0,0,0,6,5.6,5,12.3
70,21,"2016-03-23","23-332","TOR","@","BOS",-12,0,"20:25",3,10,0.3,0,1,0,0,0,NA,1,7,8,0,0,0,2,0,6,1,4,15
72,22,"2016-03-26","23-335","TOR","@","NOP",24,0,"3:17",0,1,0,0,0,NA,0,0,NA,1,0,1,1,0,0,1,0,0,-0.3,2,2.3
73,23,"2016-03-28","23-337","TOR","","OKC",-19,0,"3:15",1,1,1,0,0,NA,2,3,0.667,0,0,0,0,0,0,0,0,4,3.3,4,4
76,24,"2016-04-02","23-342","TOR","@","SAS",-7,0,"22:03",5,8,0.625,0,0,NA,2,2,1,1,3,4,3,3,0,2,1,12,12.7,-7,26.5
79,25,"2016-04-08","23-348","TOR","","IND",13,0,"25:56",6,10,0.6,1,2,0.5,6,8,0.75,1,3,4,2,0,0,3,0,19,13.6,-2,26
81,26,"2016-04-12","23-352","TOR","","PHI",24,0,"21:44",3,7,0.429,0,0,NA,2,2,1,0,2,2,5,1,1,2,0,8,8.1,12,21
82,27,"2016-04-13","23-353","TOR","@","BRK",7,1,"37:07",7,14,0.5,0,3,0,4,4,1,2,3,5,7,0,2,1,1,18,18.2,8,38.3
