"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-123","IND","@","TOR",-7,0,"2:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,NA
3,2,"2015-10-31","23-126","IND","","UTA",-21,0,"1:56",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-4,-0.5
11,3,"2015-11-16","23-142","IND","@","CHI",-1,0,"12:05",1,2,0.5,0,1,0,3,4,0.75,0,1,1,0,0,0,0,1,5,3.5,-7,6.3
12,4,"2015-11-18","23-144","IND","@","PHI",27,0,"21:23",1,8,0.125,0,2,0,2,2,1,0,1,1,3,2,0,2,0,4,1.2,-2,12.8
14,5,"2015-11-24","23-150","IND","@","WAS",17,0,"0:42",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,2,2.8
15,6,"2015-11-27","23-153","IND","","CHI",12,0,"1:36",0,3,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-2.1,-4,0
18,7,"2015-12-03","23-159","IND","@","POR",-12,0,"1:09",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
23,8,"2015-12-14","23-170","IND","","TOR",16,0,"1:30",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,2,-0.1,-6,1.5
24,9,"2015-12-16","23-172","IND","","DAL",26,0,"3:10",2,2,1,1,1,1,0,0,NA,0,2,2,0,0,0,0,0,5,5,5,8
26,10,"2015-12-19","23-175","IND","@","MEM",-12,0,"1:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
27,11,"2015-12-21","23-177","IND","@","SAS",-14,0,"1:57",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,2,2,2,4
34,12,"2016-01-04","23-191","IND","@","MIA",-3,0,"11:14",1,5,0.2,0,0,NA,1,2,0.5,1,5,6,2,0,0,0,0,3,3.1,-4,13.5
37,13,"2016-01-10","23-197","IND","@","HOU",-4,0,"6:48",1,3,0.333,0,1,0,1,1,1,0,0,0,2,0,0,1,0,3,1.7,0,5.5
38,14,"2016-01-12","23-199","IND","","PHO",19,0,"2:27",1,1,1,0,0,NA,0,0,NA,0,0,0,2,1,0,0,1,2,3.7,0,7
40,15,"2016-01-15","23-202","IND","","WAS",-14,0,"3:13",2,2,1,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,6,5.4,4,6
