"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","30-149","LAL","","MIN",-1,0,"19:04",5,8,0.625,4,7,0.571,0,0,NA,0,2,2,0,0,0,0,3,14,9.8,5,18.5
2,2,"2015-10-30","30-151","LAL","@","SAC",-18,0,"21:44",5,11,0.455,3,7,0.429,4,4,1,0,2,2,3,3,0,0,0,17,17,-3,31.5
3,3,"2015-11-01","30-153","LAL","","DAL",-10,0,"18:56",2,5,0.4,2,4,0.5,2,2,1,0,0,0,0,0,1,1,2,8,4.2,-11,10.5
4,4,"2015-11-03","30-155","LAL","","DEN",-11,0,"15:12",0,3,0,0,3,0,3,3,1,0,3,3,0,1,0,1,0,3,1.8,-6,8.3
5,5,"2015-11-06","30-158","LAL","@","BRK",6,0,"15:39",3,9,0.333,2,5,0.4,2,2,1,0,1,1,0,0,1,0,1,10,5.5,6,14.3
6,6,"2015-11-08","30-160","LAL","@","NYK",-4,0,"18:32",4,10,0.4,2,5,0.4,0,0,NA,0,0,0,0,0,0,0,0,10,4.6,5,11
7,7,"2015-11-10","30-162","LAL","@","MIA",-13,0,"25:31",6,13,0.462,5,9,0.556,0,0,NA,0,2,2,2,1,1,1,0,17,13,4,28.5
8,8,"2015-11-11","30-163","LAL","@","ORL",-2,0,"21:13",4,7,0.571,2,5,0.4,0,0,NA,0,2,2,0,1,0,2,1,10,5.9,-3,14.5
9,9,"2015-11-13","30-165","LAL","@","DAL",-8,0,"16:37",0,4,0,0,1,0,0,0,NA,1,4,5,0,1,0,0,1,0,-0.3,-4,8.3
10,10,"2015-11-15","30-167","LAL","","DET",12,0,"25:54",4,6,0.667,2,2,1,3,3,1,0,2,2,0,1,0,1,1,13,10.6,20,18
11,11,"2015-11-16","30-168","LAL","@","PHO",-19,0,"25:16",4,9,0.444,1,5,0.2,2,2,1,0,3,3,0,0,0,2,2,11,4.4,-15,14.3
12,12,"2015-11-20","30-172","LAL","","TOR",-11,0,"14:24",3,6,0.5,2,3,0.667,0,0,NA,0,0,0,0,1,0,1,1,8,4.6,-20,10.5
13,13,"2015-11-22","30-174","LAL","","POR",-14,0,"19:33",1,6,0.167,0,1,0,0,0,NA,1,2,3,3,0,0,1,1,2,0.2,-6,9.8
14,14,"2015-11-24","30-176","LAL","@","GSW",-34,0,"23:19",3,10,0.3,1,6,0.167,0,0,NA,0,1,1,1,0,0,0,1,7,1.8,-14,10.3
15,15,"2015-11-28","30-180","LAL","@","POR",-12,0,"15:20",2,7,0.286,2,6,0.333,0,0,NA,0,1,1,0,1,0,0,1,6,2.8,-15,10.3
16,16,"2015-11-29","30-181","LAL","","IND",-4,0,"27:32",8,17,0.471,6,14,0.429,0,2,0,1,1,2,1,0,0,0,4,22,12.6,6,29
17,17,"2015-12-01","30-183","LAL","@","PHI",-12,0,"11:57",1,3,0.333,1,3,0.333,1,2,0.5,0,1,1,0,0,0,1,0,4,1.2,-2,5.3
20,18,"2015-12-06","30-188","LAL","@","DET",-20,0,"7:25",0,3,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,2,0,-2.9,-6,0
22,19,"2015-12-09","30-191","LAL","@","MIN",-1,0,"28:30",5,9,0.556,2,5,0.4,1,1,1,0,1,1,2,1,0,0,0,13,11.4,11,20.3
23,20,"2015-12-11","30-193","LAL","@","SAS",-22,0,"19:01",2,6,0.333,1,3,0.333,1,1,1,0,0,0,0,0,0,0,1,6,2.2,-4,6.5
24,21,"2015-12-12","30-194","LAL","@","HOU",-29,0,"27:21",5,10,0.5,3,7,0.429,0,0,NA,2,1,3,1,0,0,0,1,13,10,-35,19.8
25,22,"2015-12-15","30-197","LAL","","MIL",18,0,"20:34",3,8,0.375,3,6,0.5,1,2,0.5,0,1,1,0,0,0,0,1,10,5.1,-2,12.8
26,23,"2015-12-17","30-199","LAL","","HOU",-20,0,"15:58",1,4,0.25,0,3,0,0,0,NA,0,1,1,0,0,0,1,1,2,-1.5,4,2.8
27,24,"2015-12-19","30-201","LAL","@","OKC",-40,0,"20:37",5,13,0.385,3,9,0.333,1,1,1,0,0,0,0,0,0,1,0,14,5.9,-32,15
28,25,"2015-12-22","30-204","LAL","@","DEN",4,0,"16:12",2,8,0.25,0,5,0,0,0,NA,0,0,0,0,0,0,0,0,4,-0.8,-8,4
30,26,"2015-12-25","30-207","LAL","","LAC",-10,0,"21:56",0,5,0,0,4,0,0,0,NA,0,5,5,0,0,0,0,0,0,-2,7,6.3
31,27,"2015-12-27","30-209","LAL","@","MEM",-16,0,"17:09",2,7,0.286,1,4,0.25,2,2,1,1,1,2,0,1,1,0,0,7,5.6,-11,14
32,28,"2015-12-28","30-210","LAL","@","CHO",-10,0,"15:56",3,6,0.5,3,4,0.75,2,3,0.667,0,1,1,2,0,0,2,0,11,7.3,3,15.8
33,29,"2015-12-30","30-212","LAL","@","BOS",8,0,"18:59",3,6,0.5,2,3,0.667,0,0,NA,0,1,1,0,0,0,0,0,8,5.3,0,10.3
34,30,"2016-01-01","30-214","LAL","","PHI",9,0,"26:24",3,11,0.273,2,7,0.286,0,0,NA,1,2,3,1,4,0,1,0,8,6.5,1,21.8
35,31,"2016-01-03","30-216","LAL","","PHO",20,0,"17:56",1,7,0.143,1,4,0.25,0,0,NA,0,1,1,0,0,0,0,1,3,-1.6,-2,4.8
36,32,"2016-01-05","30-218","LAL","","GSW",-21,0,"15:21",0,6,0,0,3,0,1,3,0.333,0,3,3,1,1,0,3,1,1,-4.8,-10,6.8
39,33,"2016-01-10","30-223","LAL","","UTA",-12,0,"19:35",3,7,0.429,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,6,2.6,-11,7.3
40,34,"2016-01-12","30-225","LAL","","NOP",4,0,"8:49",0,2,0,0,1,0,0,0,NA,0,0,0,0,1,1,0,0,0,0.3,-4,4
42,35,"2016-01-16","30-229","LAL","@","UTA",-27,0,"12:00",1,4,0.25,0,2,0,0,0,NA,0,2,2,1,0,0,1,0,2,-0.1,3,5.5
45,36,"2016-01-23","30-236","LAL","@","POR",-18,0,"7:27",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,3,0
46,37,"2016-01-26","30-239","LAL","","DAL",-2,0,"25:44",2,6,0.333,2,5,0.4,2,2,1,1,5,6,2,1,0,0,1,8,8.8,1,21.5
47,38,"2016-01-28","30-241","LAL","","CHI",-23,0,"28:40",5,10,0.5,3,6,0.5,1,2,0.5,2,1,3,0,0,0,2,2,14,7.5,-11,18.3
48,39,"2016-01-29","30-242","LAL","@","LAC",-12,0,"13:47",1,4,0.25,1,3,0.333,2,2,1,0,2,2,2,0,0,0,1,5,4.2,-4,11
49,40,"2016-01-31","30-244","LAL","","CHO",-19,0,"25:02",0,6,0,0,5,0,2,2,1,0,3,3,1,0,0,0,1,2,-1,-20,7.3
50,41,"2016-02-02","30-246","LAL","","MIN",4,0,"14:16",1,4,0.25,0,2,0,0,0,NA,0,0,0,0,1,0,1,2,2,-1.2,-1,3.5
51,42,"2016-02-04","30-248","LAL","@","NOP",3,0,"15:53",2,3,0.667,1,2,0.5,6,6,1,0,4,4,1,1,0,1,1,11,11.2,-13,19.5
52,43,"2016-02-06","30-250","LAL","@","SAS",-4,0,"15:54",1,4,0.25,1,3,0.333,0,0,NA,0,1,1,1,0,0,0,0,3,1.6,-3,6.3
53,44,"2016-02-08","30-252","LAL","@","IND",-2,0,"14:47",1,7,0.143,0,5,0,0,0,NA,1,3,4,0,0,0,0,2,2,-1.7,3,7
55,45,"2016-02-19","30-263","LAL","","SAS",-6,0,"18:43",2,7,0.286,1,3,0.333,5,5,1,0,1,1,2,0,0,0,0,10,7.6,-3,14.8
56,46,"2016-02-21","30-265","LAL","@","CHI",-11,0,"20:33",1,6,0.167,1,4,0.25,0,0,NA,0,1,1,0,0,0,1,1,3,-1.9,-10,4.3
57,47,"2016-02-22","30-266","LAL","@","MIL",-7,0,"23:33",5,12,0.417,3,8,0.375,6,8,0.75,0,3,3,1,0,0,2,0,19,11.4,13,24.8
58,48,"2016-02-24","30-268","LAL","@","MEM",-9,0,"19:03",2,7,0.286,2,5,0.4,2,3,0.667,0,0,0,0,0,0,0,2,8,2.7,-2,9
59,49,"2016-02-26","30-270","LAL","","MEM",-17,0,"17:05",2,6,0.333,1,5,0.2,1,2,0.5,0,3,3,0,0,2,1,0,6,3.5,-18,13.8
60,50,"2016-03-01","30-274","LAL","","BRK",6,0,"24:27",1,5,0.2,1,4,0.25,0,1,0,0,2,2,1,1,0,1,2,3,0,9,9
