"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-284","BOS","","PHI",17,1,"10:39",2,4,0.5,0,0,NA,2,2,1,0,1,1,0,0,1,1,3,6,2.8,-6,8.8
2,2,"2015-10-30","25-286","BOS","","TOR",-10,1,"16:29",4,8,0.5,0,0,NA,2,2,1,0,0,0,1,0,0,0,3,10,5.5,-7,11.5
3,3,"2015-11-01","25-288","BOS","","SAS",-8,1,"6:28",0,2,0,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,0,-1.4,-3,2.3
4,4,"2015-11-04","25-291","BOS","@","IND",-2,0,"3:29",0,2,0,0,0,NA,0,0,NA,1,0,1,1,0,0,0,0,0,0,-1,2.8
5,5,"2015-11-06","25-293","BOS","","WAS",20,0,"4:32",3,4,0.75,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,2,7,5.2,-4,9.5
8,6,"2015-11-13","25-300","BOS","","ATL",13,0,"6:17",2,2,1,0,0,NA,1,1,1,0,2,2,1,0,0,1,0,5,4.7,4,8.5
10,7,"2015-11-16","25-303","BOS","@","HOU",16,0,"13:41",3,6,0.5,0,0,NA,3,4,0.75,1,4,5,0,1,0,2,2,9,5.7,-18,16.3
12,8,"2015-11-20","25-307","BOS","","BRK",25,0,"9:26",3,5,0.6,0,0,NA,0,0,NA,1,3,4,1,0,0,0,0,6,6,2,12.5
13,9,"2015-11-22","25-309","BOS","@","BRK",-10,0,"7:01",2,2,1,0,0,NA,1,2,0.5,1,0,1,1,0,0,0,1,5,5,9,7.8
14,10,"2015-11-24","25-311","BOS","@","ATL",-24,0,"5:24",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,2,-3,2
15,11,"2015-11-25","25-312","BOS","","PHI",4,0,"5:52",0,0,NA,0,0,NA,2,2,1,0,1,1,0,0,1,0,2,2,2.2,-4,5.3
16,12,"2015-11-27","25-314","BOS","","WAS",33,0,"5:56",0,3,0,0,0,NA,1,1,1,0,1,1,0,1,0,1,1,1,-1.2,6,3.8
19,13,"2015-12-03","25-320","BOS","@","SAC",17,0,"11:38",1,2,0.5,0,0,NA,3,4,0.75,0,3,3,0,0,0,1,4,5,1.9,5,8.3
20,14,"2015-12-05","25-322","BOS","@","SAS",-3,0,"6:23",2,3,0.667,0,0,NA,0,1,0,1,0,1,0,0,0,1,1,4,1.6,-10,4.8
21,15,"2015-12-07","25-324","BOS","@","NOP",18,0,"7:26",2,2,1,0,0,NA,0,0,NA,1,0,1,0,0,0,1,0,4,3.1,-5,4.8
25,16,"2015-12-15","25-332","BOS","","CLE",-12,0,"3:08",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,3,0
26,17,"2015-12-16","25-333","BOS","@","DET",-3,0,"9:30",5,7,0.714,0,0,NA,2,4,0.5,1,2,3,1,0,0,2,4,12,6.7,4,16.3
28,18,"2015-12-21","25-338","BOS","","MIN",14,0,"16:53",7,10,0.7,0,0,NA,0,0,NA,2,6,8,0,0,1,3,6,14,8.3,13,24.5
29,19,"2015-12-23","25-340","BOS","@","CHO",13,0,"11:40",1,4,0.25,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,2,0.3,1,3.3
