No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
19,Leandro Barbosa,SG,6-3,194,1982-11-28,12,
40,Harrison Barnes,SF,6-8,210,1992-05-30,3,University of North Carolina
12,Andrew Bogut,C,7-1,260,1984-11-28,10,University of Utah
21,Ian Clark,SG,6-3,175,1991-03-07,2,Belmont University
30,Stephen Curry,PG,6-3,185,1988-03-14,6,Davidson College
31,Festus Ezeli,C,6-11,255,1989-10-21,2,Vanderbilt University
23,Draymond Green,PF,6-7,230,1990-03-04,3,Michigan State University
9,Andre Iguodala,SF,6-6,207,1984-01-28,11,University of Arizona
34,Shaun Livingston,PG,6-7,182,1985-09-11,10,
36,Kevon Looney,PF,6-9,220,1996-02-06,R,University of California Los Angeles
20,James Michael McAdoo,PF,6-9,230,1993-01-04,1,University of North Carolina
4,Brandon Rush,SG,6-6,210,1985-07-07,7,University of Kansas
5,Marreese Speights,C,6-10,255,1987-08-04,7,University of Florida
1,Jason Thompson,C,6-11,250,1986-07-21,7,Rider University
11,Klay Thompson,SG,6-7,205,1990-02-08,4,Washington State University
18,Anderson Varejao,C,6-10,273,1982-09-28,11,
